Solver,Lambda,Lambda Multiplier,Lambda Scale,Time (s),Iterations,Residual,Relative Residual,Normal Equation Residual,Relative Normal Equation Residual,Objective,Info,Converged,Preconditioner,Matrix-Free,Condition Parameter,Dataset,Group,m,n,Nonzeros,Density,RHS Type,Run,RTOL,Max Iterations
CG,27.647788316042057,0.001,27647.788316042057,115.45438516000286,2291,130.03159803326358,0.00037782377389843807,12.013230675420603,9.847746908345826e-09,653446.5668811519,0,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,1,1e-08,10000
PCG,27.647788316042057,0.001,27647.788316042057,159.39639402832836,3144,130.03208198387514,0.0003778251800800832,12.027152167541583,9.859158936858227e-09,653446.5884065233,0,True,Jacobi diagonal,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,1,1e-08,10000
LSQR,27.647788316042057,0.001,27647.788316042057,152.81094754999503,2985,130.03119415839865,0.00037782260038732264,1.0383845378052612,8.512071730020159e-10,653446.5535566853,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,1,1e-08,10000
LSMR,27.647788316042057,0.001,27647.788316042057,120.20259656989947,2363,130.03300909254446,0.000377827873915286,0.9553602753940271,7.831487176565477e-10,653446.569657925,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,1,1e-08,10000
CG,27.647788316042057,0.001,27647.788316042057,115.98637415701523,2291,130.03159803326358,0.00037782377389843807,12.013230675420603,9.847746908345826e-09,653446.5668811519,0,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,2,1e-08,10000
PCG,27.647788316042057,0.001,27647.788316042057,159.39919280121103,3144,130.03208198387514,0.0003778251800800832,12.027152167541583,9.859158936858227e-09,653446.5884065233,0,True,Jacobi diagonal,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,2,1e-08,10000
LSQR,27.647788316042057,0.001,27647.788316042057,152.88230837369338,2985,130.03119415839865,0.00037782260038732264,1.0383845378052612,8.512071730020159e-10,653446.5535566853,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,2,1e-08,10000
LSMR,27.647788316042057,0.001,27647.788316042057,120.13929448276758,2363,130.03300909254446,0.000377827873915286,0.9553602753940271,7.831487176565477e-10,653446.569657925,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,2,1e-08,10000
CG,27.647788316042057,0.001,27647.788316042057,115.67950624413788,2291,130.03159803326358,0.00037782377389843807,12.013230675420603,9.847746908345826e-09,653446.5668811519,0,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
PCG,27.647788316042057,0.001,27647.788316042057,159.40343944588676,3144,130.03208198387514,0.0003778251800800832,12.027152167541583,9.859158936858227e-09,653446.5884065233,0,True,Jacobi diagonal,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
LSQR,27.647788316042057,0.001,27647.788316042057,152.6918338132091,2985,130.03119415839865,0.00037782260038732264,1.0383845378052612,8.512071730020159e-10,653446.5535566853,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
LSMR,27.647788316042057,0.001,27647.788316042057,120.80142158130184,2363,130.03300909254446,0.000377827873915286,0.9553602753940271,7.831487176565477e-10,653446.569657925,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
CG,276.47788316042056,0.01,27647.788316042057,46.028143043164164,900,472.62886662666426,0.0013732848380171986,10.465804398692825,8.579256962196886e-09,6082400.289542208,0,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,1,1e-08,10000
PCG,276.47788316042056,0.01,27647.788316042057,73.24430630914867,1442,472.62823801446063,0.001373283011502423,11.88759780643243,9.744760398672266e-09,6082400.299969373,0,True,Jacobi diagonal,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,1,1e-08,10000
LSQR,276.47788316042056,0.01,27647.788316042057,54.71994950529188,1067,472.6288299203786,0.0013732847313622965,1.8552496766539273,1.5208256430852762e-09,6082400.285576885,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,1,1e-08,10000
LSMR,276.47788316042056,0.01,27647.788316042057,47.03422451997176,918,472.62910402422114,0.0013732855278067743,1.8024188494186864,1.477518007560082e-09,6082400.291213748,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,1,1e-08,10000
CG,276.47788316042056,0.01,27647.788316042057,45.47391815017909,900,472.62886662666426,0.0013732848380171986,10.465804398692825,8.579256962196886e-09,6082400.289542208,0,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,2,1e-08,10000
PCG,276.47788316042056,0.01,27647.788316042057,73.2576631968841,1442,472.62823801446063,0.001373283011502423,11.88759780643243,9.744760398672266e-09,6082400.299969373,0,True,Jacobi diagonal,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,2,1e-08,10000
LSQR,276.47788316042056,0.01,27647.788316042057,54.63928241096437,1067,472.6288299203786,0.0013732847313622965,1.8552496766539273,1.5208256430852762e-09,6082400.285576885,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,2,1e-08,10000
LSMR,276.47788316042056,0.01,27647.788316042057,46.74799306690693,918,472.62910402422114,0.0013732855278067743,1.8024188494186864,1.477518007560082e-09,6082400.291213748,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,2,1e-08,10000
CG,276.47788316042056,0.01,27647.788316042057,45.47449399298057,900,472.62886662666426,0.0013732848380171986,10.465804398692825,8.579256962196886e-09,6082400.289542208,0,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
PCG,276.47788316042056,0.01,27647.788316042057,73.2278524376452,1442,472.62823801446063,0.001373283011502423,11.88759780643243,9.744760398672266e-09,6082400.299969373,0,True,Jacobi diagonal,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
LSQR,276.47788316042056,0.01,27647.788316042057,54.650409711990505,1067,472.6288299203786,0.0013732847313622965,1.8552496766539273,1.5208256430852762e-09,6082400.285576885,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
LSMR,276.47788316042056,0.01,27647.788316042057,46.70631799194962,918,472.62910402422114,0.0013732855278067743,1.8024188494186864,1.477518007560082e-09,6082400.291213748,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
CG,2764.778831604206,0.1,27647.788316042057,17.437975343782455,345,1660.9431809494822,0.00482608712304433,11.293026888498147,9.257365785426428e-09,55031282.89307937,0,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,1,1e-08,10000
PCG,2764.778831604206,0.1,27647.788316042057,32.88885562913492,646,1660.9432984160067,0.004826087464358642,11.92642626245265,9.776589705713818e-09,55031282.89597569,0,True,Jacobi diagonal,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,1,1e-08,10000
LSQR,2764.778831604206,0.1,27647.788316042057,19.577512245159596,381,1660.9431779194758,0.004826087114240251,3.1937545069123154,2.6180539541134e-09,55031282.89204437,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,1,1e-08,10000
LSMR,2764.778831604206,0.1,27647.788316042057,17.67722347518429,346,1660.9432142445153,0.004826087219787392,3.300579766448579,2.7056230808333155e-09,55031282.89390909,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,1,1e-08,10000
CG,2764.778831604206,0.1,27647.788316042057,17.4317685412243,345,1660.9431809494822,0.00482608712304433,11.293026888498147,9.257365785426428e-09,55031282.89307937,0,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,2,1e-08,10000
PCG,2764.778831604206,0.1,27647.788316042057,32.86315001780167,646,1660.9432984160067,0.004826087464358642,11.92642626245265,9.776589705713818e-09,55031282.89597569,0,True,Jacobi diagonal,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,2,1e-08,10000
LSQR,2764.778831604206,0.1,27647.788316042057,19.60435576690361,381,1660.9431779194758,0.004826087114240251,3.1937545069123154,2.6180539541134e-09,55031282.89204437,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,2,1e-08,10000
LSMR,2764.778831604206,0.1,27647.788316042057,17.665983856189996,346,1660.9432142445153,0.004826087219787392,3.300579766448579,2.7056230808333155e-09,55031282.89390909,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,2,1e-08,10000
CG,2764.778831604206,0.1,27647.788316042057,17.455073929857463,345,1660.9431809494822,0.00482608712304433,11.293026888498147,9.257365785426428e-09,55031282.89307937,0,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
PCG,2764.778831604206,0.1,27647.788316042057,32.86708218976855,646,1660.9432984160067,0.004826087464358642,11.92642626245265,9.776589705713818e-09,55031282.89597569,0,True,Jacobi diagonal,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
LSQR,2764.778831604206,0.1,27647.788316042057,19.558690512087196,381,1660.9431779194758,0.004826087114240251,3.1937545069123154,2.6180539541134e-09,55031282.89204437,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
