Dataset,m,n,Nonzeros,Lambda,Lambda Multiplier,Solver,Preconditioner,Condition Parameter,Mean_Time,Std_Time,Mean_Iterations,Std_Iterations,Mean_Residual,Mean_Relative_Residual,Mean_Normal_Residual,Mean_Relative_Normal_Residual,Mean_Objective,Converged_Runs,Total_Runs,Convergence_Rate
JP,87616,67320,13734559,27.647788316042057,0.001,CG,None,not applicable for real JP matrix,115.706755187052,0.2670392328909949,2291.0,0.0,130.03159803326358,0.000377823773898438,12.013230675420603,9.847746908345826e-09,653446.5668811519,3,3,1.0
JP,87616,67320,13734559,27.647788316042057,0.001,LSMR,None,not applicable for real JP matrix,120.38110421132296,0.36537899116982914,2363.0,0.0,130.03300909254446,0.00037782787391528607,0.955360275394027,7.831487176565476e-10,653446.569657925,3,3,1.0
JP,87616,67320,13734559,27.647788316042057,0.001,LSQR,None,not applicable for real JP matrix,152.79502991229916,0.09622976639420283,2985.0,0.0,130.03119415839865,0.00037782260038732264,1.0383845378052612,8.512071730020159e-10,653446.5535566853,3,3,1.0
JP,87616,67320,13734559,27.647788316042057,0.001,PCG,Jacobi diagonal,not applicable for real JP matrix,159.39967542514205,0.003547417587084221,3144.0,0.0,130.03208198387514,0.0003778251800800832,12.027152167541582,9.859158936858227e-09,653446.5884065233,3,3,1.0
JP,87616,67320,13734559,276.47788316042056,0.01,CG,None,not applicable for real JP matrix,45.65885172877461,0.31981578926220605,900.0,0.0,472.6288666266643,0.0013732848380171986,10.465804398692825,8.579256962196886e-09,6082400.289542208,3,3,1.0
JP,87616,67320,13734559,276.47788316042056,0.01,LSMR,None,not applicable for real JP matrix,46.82951185960943,0.1785067448379446,918.0,0.0,472.62910402422114,0.0013732855278067743,1.8024188494186866,1.477518007560082e-09,6082400.291213748,3,3,1.0
JP,87616,67320,13734559,276.47788316042056,0.01,LSQR,None,not applicable for real JP matrix,54.66988054274892,0.04371647246322514,1067.0,0.0,472.6288299203786,0.0013732847313622967,1.8552496766539273,1.5208256430852762e-09,6082400.285576885,3,3,1.0
JP,87616,67320,13734559,276.47788316042056,0.01,PCG,Jacobi diagonal,not applicable for real JP matrix,73.24327398122598,0.014932167200537359,1442.0,0.0,472.6282380144606,0.0013732830115024228,11.88759780643243,9.744760398672266e-09,6082400.299969372,3,3,1.0
JP,87616,67320,13734559,2764.778831604206,0.1,CG,None,not applicable for real JP matrix,17.441605938288074,0.012069432347208068,345.0,0.0,1660.9431809494824,0.00482608712304433,11.293026888498147,9.257365785426428e-09,55031282.89307937,3,3,1.0
JP,87616,67320,13734559,2764.778831604206,0.1,LSMR,None,not applicable for real JP matrix,17.667805670760572,0.008651968283057275,346.0,0.0,1660.9432142445155,0.004826087219787392,3.3005797664485796,2.7056230808333155e-09,55031282.89390909,3,3,1.0
JP,87616,67320,13734559,2764.778831604206,0.1,LSQR,None,not applicable for real JP matrix,19.5801861747168,0.02294975596427223,381.0,0.0,1660.9431779194758,0.004826087114240251,3.1937545069123154,2.6180539541133997e-09,55031282.89204437,3,3,1.0
JP,87616,67320,13734559,2764.778831604206,0.1,PCG,Jacobi diagonal,not applicable for real JP matrix,32.87302927890172,0.01384631775499872,646.0,0.0,1660.9432984160067,0.004826087464358642,11.92642626245265,9.776589705713818e-09,55031282.89597569,3,3,1.0
JP,87616,67320,13734559,27647.788316042057,1.0,CG,None,not applicable for real JP matrix,6.612654462146263,0.039905597005961,130.0,0.0,5565.654948255968,0.016171736628420547,11.219136563348902,9.196794799926752e-09,483214308.3638484,3,3,1.0
JP,87616,67320,13734559,27647.788316042057,1.0,LSMR,None,not applicable for real JP matrix,6.672335967266311,0.04346863995585233,129.0,0.0,5565.654806358626,0.016171736216119306,6.122941645662682,5.0192309870837875e-09,483214308.36426,3,3,1.0
JP,87616,67320,13734559,27647.788316042057,1.0,LSQR,None,not applicable for real JP matrix,7.066564800683409,0.045554194285283366,136.0,0.0,5565.654801004982,0.016171736200563596,5.059194766055656,4.147233243267397e-09,483214308.3636551,3,3,1.0
JP,87616,67320,13734559,27647.788316042057,1.0,PCG,Jacobi diagonal,not applicable for real JP matrix,13.373569739982486,0.015028779058006207,261.0,0.0,5565.654399900849,0.016171735035103205,11.255991629685317,9.227006437027328e-09,483214308.36429614,3,3,1.0
JP,87616,67320,13734559,276477.8831604206,10.0,CG,None,not applicable for real JP matrix,2.5552930156700313,0.008201072473208592,50.0,0.0,21034.751673975803,0.061119215488261415,8.653703195922686,7.0938019252182845e-09,4000873493.9040637,3,3,1.0
JP,87616,67320,13734559,276477.8831604206,10.0,LSMR,None,not applicable for real JP matrix,2.524186269224932,0.0026203441393680134,48.0,0.0,21034.751687126045,0.061119215526471156,11.005646334407743,9.021787943002005e-09,4000873493.9042373,3,3,1.0
JP,87616,67320,13734559,276477.8831604206,10.0,LSQR,None,not applicable for real JP matrix,2.6426301246198514,0.003822529852959945,50.0,0.0,21034.751683429586,0.06111921551573061,8.931619930610466,7.3216218796289515e-09,4000873493.9040637,3,3,1.0
JP,87616,67320,13734559,276477.8831604206,10.0,PCG,Jacobi diagonal,not applicable for real JP matrix,4.200950670676927,0.001558742925192866,80.0,0.0,21034.75166619495,0.061119215465653125,11.003913463161005,9.020367436068966e-09,4000873493.90414,3,3,1.0
JP,87616,67320,13734559,2764778.8316042055,100.0,CG,None,not applicable for real JP matrix,1.035854815505445,0.004567472964031298,20.0,0.0,88160.52043414734,0.2561618948246645,6.408214799874916,5.253081305814075e-09,26204767139.77355,3,3,1.0
JP,87616,67320,13734559,2764778.8316042055,100.0,LSMR,None,not applicable for real JP matrix,1.052274772276481,1.8531882218189428e-05,19.0,0.0,88160.52043418474,0.25616189482477314,17.020575845539476,1.3952476872363775e-08,26204767139.7736,3,3,1.0
JP,87616,67320,13734559,2764778.8316042055,100.0,LSQR,None,not applicable for real JP matrix,1.0576204249324899,0.0018786794456271659,19.0,0.0,88160.52043415203,0.2561618948246781,18.164243901601232,1.4889989342368995e-08,26204767139.7736,3,3,1.0
JP,87616,67320,13734559,2764778.8316042055,100.0,PCG,Jacobi diagonal,not applicable for real JP matrix,1.3123028338886797,0.004000585388903623,23.0,0.0,88160.520405215,0.2561618947405978,12.053445808913642,9.880712932825407e-09,26204767139.77357,3,3,1.0
JP,87616,67320,13734559,27647788.31604206,1000.0,CG,None,not applicable for real JP matrix,0.48163107006500167,0.00162853621248449,9.0,0.0,244276.71866819265,0.7097778779826566,2.307475694906917,1.891534197132791e-09,83141530942.52243,3,3,1.0
JP,87616,67320,13734559,27647788.31604206,1000.0,LSMR,None,not applicable for real JP matrix,0.49143645198394853,0.001963940911151015,8.0,0.0,244276.71866819388,0.7097778779826599,17.601422955735767,1.4428621507242092e-08,83141530942.52243,3,3,1.0
JP,87616,67320,13734559,27647788.31604206,1000.0,LSQR,None,not applicable for real JP matrix,0.49581639453147847,0.0015982310419647018,8.0,0.0,244276.71866819295,0.7097778779826572,17.693483447271863,1.4504087336992642e-08,83141530942.52245,3,3,1.0
