Solver,Lambda,Time (s),Iterations,Residual,Relative Residual,Normal Equation Residual,Relative Normal Equation Residual,Objective,Info,Converged,Preconditioner,Matrix-Free,Dataset,Group,m,n,Nonzeros,Density,RHS Type,Run,RTOL,Max Iterations
PCG,1e-06,23.798949031624943,5000,0.019175000375424536,0.0002876171414561134,0.001615746646375418,8.7926247502432e-06,0.004223028622235476,5000,False,Jacobi diagonal,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,1,1e-08,5000
LSQR,1e-06,27.823083117138594,5000,0.012386590587128208,0.00018579377873822548,0.0011797272832681862,6.419879832441804e-06,0.003779293874017393,7,False,None,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,1,1e-08,5000
LSMR,1e-06,26.368927037809044,5000,0.01538064919734258,0.00023070342994874627,3.6194751781191945e-05,1.969658244713899e-07,0.0038357892204733957,7,False,None,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,1,1e-08,5000
PCG,1e-06,24.08554497687146,5000,0.019175000375424536,0.0002876171414561134,0.001615746646375418,8.7926247502432e-06,0.004223028622235476,5000,False,Jacobi diagonal,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,2,1e-08,5000
LSQR,1e-06,27.324947223067284,5000,0.012386590587128208,0.00018579377873822548,0.0011797272832681862,6.419879832441804e-06,0.003779293874017393,7,False,None,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,2,1e-08,5000
LSMR,1e-06,26.287386133801192,5000,0.01538064919734258,0.00023070342994874627,3.6194751781191945e-05,1.969658244713899e-07,0.0038357892204733957,7,False,None,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,2,1e-08,5000
PCG,1e-06,24.185570409987122,5000,0.019175000375424536,0.0002876171414561134,0.001615746646375418,8.7926247502432e-06,0.004223028622235476,5000,False,Jacobi diagonal,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,3,1e-08,5000
LSQR,1e-06,27.148644958157092,5000,0.012386590587128208,0.00018579377873822548,0.0011797272832681862,6.419879832441804e-06,0.003779293874017393,7,False,None,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,3,1e-08,5000
LSMR,1e-06,26.491291116923094,5000,0.01538064919734258,0.00023070342994874627,3.6194751781191945e-05,1.969658244713899e-07,0.0038357892204733957,7,False,None,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,3,1e-08,5000
PCG,1e-05,23.8821016731672,5000,0.024361425725748714,0.0003654113946206448,0.0008774823159792092,4.7751129465051395e-06,0.03618209604249976,5000,False,Jacobi diagonal,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,1,1e-08,5000
