Dataset,m,n,Nonzeros,Lambda,Solver,Preconditioner,Mean_Time,Std_Time,Mean_Iterations,Std_Iterations,Mean_Residual,Mean_Relative_Residual,Mean_Normal_Residual,Mean_Relative_Normal_Residual,Mean_Objective,All_Converged
Maragal_8,33212,75077,1308415,1e-06,LSMR,None,26.382534762844443,0.10263132158831939,5000.0,0.0,0.015380649197342578,0.00023070342994874627,3.6194751781191945e-05,1.969658244713899e-07,0.0038357892204733957,False
Maragal_8,33212,75077,1308415,1e-06,LSQR,None,27.432225099454325,0.3497829536214915,5000.0,0.0,0.012386590587128208,0.00018579377873822548,0.0011797272832681862,6.419879832441804e-06,0.003779293874017393,False
Maragal_8,33212,75077,1308415,1e-06,PCG,Jacobi diagonal,24.023354806161176,0.20067320586316065,5000.0,0.0,0.019175000375424536,0.0002876171414561134,0.001615746646375418,8.7926247502432e-06,0.004223028622235476,False
Maragal_8,33212,75077,1308415,1e-05,LSMR,None,26.604882978834212,0.039751800753889746,5000.0,0.0,0.022165531974635787,0.000332473888948108,1.7121783538602582e-05,9.317390077679574e-08,0.03606604641218013,False
Maragal_8,33212,75077,1308415,1e-05,LSQR,None,27.4534202820311,0.12676013300505437,5000.0,0.0,0.021279745158925226,0.00031918744999707125,0.00043122577255319197,2.346658994589033e-06,0.036060412717006614,False
Maragal_8,33212,75077,1308415,1e-05,PCG,Jacobi diagonal,24.237955097729962,0.32871362070941845,5000.0,0.0,0.024361425725748714,0.00036541139462064487,0.0008774823159792092,4.7751129465051395e-06,0.03618209604249976,False
Maragal_8,33212,75077,1308415,0.0001,LSMR,None,18.878367346711457,0.23412857592152125,3537.0,0.0,0.06069001323185802,0.0009103253078968577,2.777065989979945e-06,1.5112331634004736e-08,0.35122598134173905,True
Maragal_8,33212,75077,1308415,0.0001,LSQR,None,26.080850063978385,0.4049949651763106,4737.0,0.0,0.06068317951424846,0.0009102228049354028,3.131667854545641e-06,1.704201605442859e-08,0.3512259494695958,True
Maragal_8,33212,75077,1308415,0.0001,PCG,Jacobi diagonal,24.858782779580604,0.5462098240031291,5000.0,0.0,0.060687095737569495,0.0009102815466790715,0.0001948960251106419,1.0605917814875568e-06,0.3512289131721222,False
Maragal_8,33212,75077,1308415,0.001,LSMR,None,7.34761747221152,0.08869790190708389,1370.0,0.0,0.18130025114810733,0.002719429411189233,5.385563397805388e-06,2.9307341056083502e-08,3.4325044025728473,True
Maragal_8,33212,75077,1308415,0.001,LSQR,None,9.143149979102114,0.09299972141782487,1666.0,0.0,0.18129894998999965,0.0027194098943512574,5.761806111829164e-06,3.13547913830548e-08,3.432504388224952,True
Maragal_8,33212,75077,1308415,0.001,PCG,Jacobi diagonal,14.792025944528481,0.33854714184612383,3007.0,0.0,0.18129911142476177,0.0027194123158064804,1.8147179526811482e-06,9.875393534777934e-09,3.4325043881080943,True
Maragal_8,33212,75077,1308415,0.01,LSMR,None,2.9418638626423976,0.0866596057337005,533.0,0.0,0.8196133620516132,0.012293864285637612,1.0419900860233168e-05,5.67033689373842e-08,33.3690466872041,True
Maragal_8,33212,75077,1308415,0.01,LSQR,None,3.4014696795493364,0.15922380866029434,606.0,0.0,0.8196132094424485,0.012293861996562733,1.0156132116166406e-05,5.526798326437374e-08,33.36904668218667,True
Maragal_8,33212,75077,1308415,0.01,PCG,Jacobi diagonal,4.1647794847376645,0.18732924643991358,835.0,0.0,0.8196132463929536,0.012293862550805154,1.8105094065817804e-06,9.85249132626718e-09,33.36904668208161,True
Maragal_8,33212,75077,1308415,0.1,LSMR,None,1.1514842997615535,0.006941210836157831,206.0,0.0,6.1633655487365075,0.09244795547167944,1.8167425314292517e-05,9.88641095588744e-08,291.5890014626514,True
Maragal_8,33212,75077,1308415,0.1,LSQR,None,1.2729139304719865,0.006104508013934025,222.0,0.0,6.163365540330926,0.09244795534559919,1.8275255237634366e-05,9.945090208288753e-08,291.5890014612198,True
Maragal_8,33212,75077,1308415,0.1,PCG,Jacobi diagonal,1.095225074638923,0.006768909658691127,210.0,0.0,6.163365539903321,0.09244795533918526,1.6618934543904266e-06,9.04374801093986e-09,291.58900146110284,True
Maragal_8,33212,75077,1308415,1.0,LSMR,None,0.45830808331569034,0.002127990195109762,78.0,0.0,26.831431793297767,0.40246047261900636,2.4273904842644418e-05,1.320945563979793e-07,1478.554460659497,True
Maragal_8,33212,75077,1308415,1.0,LSQR,None,0.4908939680705468,0.0022036168881307333,82.0,0.0,26.831431793170697,0.40246047261710033,2.1702731480800952e-05,1.181026582317503e-07,1478.5544606592593,True
Maragal_8,33212,75077,1308415,1.0,PCG,Jacobi diagonal,0.33796211347604793,0.004752519123352895,59.0,0.0,26.831431800586774,0.4024604727283385,1.1386137969495579e-06,6.196147071996412e-09,1478.5544606592114,True
