Solver,Time (s),Iterations,Residual,Relative Error,Info,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
CG,2.8709312798455358,95,17.356566826709944,0.016185710435818772,0,Condition Parameter,1,1,51000,5000,10,0.95,random,exponential,1.0
CG,2.878428677096963,96,16.966973793643938,0.0161606186234091,0,Condition Parameter,1,2,51000,5000,10,0.95,random,exponential,1.0
CG,2.859162123175338,95,16.955788895516516,0.016330481302268943,0,Condition Parameter,1,3,51000,5000,10,0.95,random,exponential,1.0
CG,2.882485511014238,96,17.004659231060987,0.015483785011522403,0,Condition Parameter,1,4,51000,5000,10,0.95,random,exponential,1.0
CG,2.868945475202054,95,17.039872989808984,0.01588146011490821,0,Condition Parameter,1,5,51000,5000,10,0.95,random,exponential,1.0
CG,2.8464417080394924,95,17.16232071174154,0.016077034783260148,0,Condition Parameter,1,6,51000,5000,10,0.95,random,exponential,1.0
CG,2.8930638250894845,96,17.45601385752284,0.015814316354734268,0,Condition Parameter,1,7,51000,5000,10,0.95,random,exponential,1.0
CG,2.841488888952881,95,17.40592088963494,0.015121922547359418,0,Condition Parameter,1,8,51000,5000,10,0.95,random,exponential,1.0
CG,2.8791332449764013,96,17.598553055037822,0.01625678076153729,0,Condition Parameter,1,9,51000,5000,10,0.95,random,exponential,1.0
CG,2.878039186121896,96,16.93672692975524,0.01575596362970009,0,Condition Parameter,1,10,51000,5000,10,0.95,random,exponential,1.0
CG,9.931968902004883,331,23.655708551313275,0.3089749165927483,0,Condition Parameter,2,1,51000,5000,100,0.95,random,exponential,1.0
CG,9.934501811861992,332,23.460742897213365,0.3121964156488838,0,Condition Parameter,2,2,51000,5000,100,0.95,random,exponential,1.0
CG,9.956559750018641,332,23.51547819361434,0.3081564952073853,0,Condition Parameter,2,3,51000,5000,100,0.95,random,exponential,1.0
CG,9.946682553971186,333,23.52475486335593,0.30756854312959875,0,Condition Parameter,2,4,51000,5000,100,0.95,random,exponential,1.0
CG,9.89901959314011,330,23.50285725112771,0.3022464958762656,0,Condition Parameter,2,5,51000,5000,100,0.95,random,exponential,1.0
CG,9.953999721910805,333,23.50375656417257,0.30462178379728966,0,Condition Parameter,2,6,51000,5000,100,0.95,random,exponential,1.0
CG,9.897615022957325,331,23.796304290967367,0.3046166503255261,0,Condition Parameter,2,7,51000,5000,100,0.95,random,exponential,1.0
CG,9.8623630059883,331,23.54625270366561,0.29323357023049357,0,Condition Parameter,2,8,51000,5000,100,0.95,random,exponential,1.0
CG,9.98346709785983,333,24.504616881111275,0.3111750742745595,0,Condition Parameter,2,9,51000,5000,100,0.95,random,exponential,1.0
CG,9.963855485897511,335,23.441149340583028,0.3034891790632391,0,Condition Parameter,2,10,51000,5000,100,0.95,random,exponential,1.0
CG,10.46561633516103,350,20.98723488400751,0.5989018847497182,0,Condition Parameter,3,1,51000,5000,1000,0.95,random,exponential,1.0
CG,10.449093118077144,351,20.77147874590576,0.6054639025503619,0,Condition Parameter,3,2,51000,5000,1000,0.95,random,exponential,1.0
CG,10.538903827080503,351,20.916331896290885,0.6035993299903762,0,Condition Parameter,3,3,51000,5000,1000,0.95,random,exponential,1.0
CG,10.391741040162742,349,21.040120116680725,0.5977936587880529,0,Condition Parameter,3,4,51000,5000,1000,0.95,random,exponential,1.0
CG,10.413404067978263,348,21.143570500004067,0.5964132302124647,0,Condition Parameter,3,5,51000,5000,1000,0.95,random,exponential,1.0
CG,10.466492291074246,351,20.838255474201226,0.5978445385867741,0,Condition Parameter,3,6,51000,5000,1000,0.95,random,exponential,1.0
CG,10.475653862114996,350,21.081702158567733,0.5974223931031654,0,Condition Parameter,3,7,51000,5000,1000,0.95,random,exponential,1.0
CG,10.42171740392223,350,21.07150884147689,0.5896914188773019,0,Condition Parameter,3,8,51000,5000,1000,0.95,random,exponential,1.0
CG,10.4987759871874,350,21.288855390652948,0.6159398830280962,0,Condition Parameter,3,9,51000,5000,1000,0.95,random,exponential,1.0
CG,10.486005848040804,352,20.823951899751272,0.6022290516360527,0,Condition Parameter,3,10,51000,5000,1000,0.95,random,exponential,1.0
CG,10.333623557118699,345,18.48714962314981,0.7140308106507957,0,Condition Parameter,4,1,51000,5000,10000,0.95,random,exponential,1.0
CG,10.351184242870659,347,17.974874858126885,0.7232384149557157,0,Condition Parameter,4,2,51000,5000,10000,0.95,random,exponential,1.0
CG,10.293155872030184,344,18.264466189192813,0.7211762589290254,0,Condition Parameter,4,3,51000,5000,10000,0.95,random,exponential,1.0
CG,10.374901686096564,348,18.486623372998434,0.7167437221125584,0,Condition Parameter,4,4,51000,5000,10000,0.95,random,exponential,1.0
CG,10.28846838301979,343,18.647802662272724,0.7164248692184182,0,Condition Parameter,4,5,51000,5000,10000,0.95,random,exponential,1.0
CG,10.400676387129351,349,18.69949822716747,0.7139478556224484,0,Condition Parameter,4,6,51000,5000,10000,0.95,random,exponential,1.0
CG,10.37247396609746,347,18.4858689262519,0.7136108661339521,0,Condition Parameter,4,7,51000,5000,10000,0.95,random,exponential,1.0
CG,10.318574167089537,347,18.400918919900473,0.708656517670524,0,Condition Parameter,4,8,51000,5000,10000,0.95,random,exponential,1.0
CG,10.321460507111624,345,18.263003666157765,0.7287140185172486,0,Condition Parameter,4,9,51000,5000,10000,0.95,random,exponential,1.0
CG,10.366328085074201,348,18.32981759752775,0.720553066478822,0,Condition Parameter,4,10,51000,5000,10000,0.95,random,exponential,1.0
CG,10.321656771935523,345,17.97802780605756,0.7361056764926165,0,Condition Parameter,5,1,51000,5000,20000,0.95,random,exponential,1.0
CG,10.26840755296871,345,17.24522207721402,0.7457752743822236,0,Condition Parameter,5,2,51000,5000,20000,0.95,random,exponential,1.0
CG,10.317342648981139,344,17.676862063739573,0.7436423350414612,0,Condition Parameter,5,3,51000,5000,20000,0.95,random,exponential,1.0
CG,10.308028021128848,345,17.86497310488787,0.7398769827381027,0,Condition Parameter,5,4,51000,5000,20000,0.95,random,exponential,1.0
CG,10.266227341955528,343,18.064997364788198,0.7398069800580359,0,Condition Parameter,5,5,51000,5000,20000,0.95,random,exponential,1.0
CG,10.377178387949243,347,18.13931217888884,0.7375539223845352,0,Condition Parameter,5,6,51000,5000,20000,0.95,random,exponential,1.0
CG,10.35630382411182,345,17.844759044861046,0.7363303508927349,0,Condition Parameter,5,7,51000,5000,20000,0.95,random,exponential,1.0
CG,10.30971192009747,345,17.839258176933164,0.7313822988801755,0,Condition Parameter,5,8,51000,5000,20000,0.95,random,exponential,1.0
CG,10.327699201880023,344,17.643476213955,0.7497644406452314,0,Condition Parameter,5,9,51000,5000,20000,0.95,random,exponential,1.0
CG,10.343637896003202,347,17.640910528244394,0.7440536256422282,0,Condition Parameter,5,10,51000,5000,20000,0.95,random,exponential,1.0
