Solver,Time (s),Iterations,Residual,Relative Error,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
Direct,29.811954114120454,1,17.356566826635518,0.01618571317023561,Condition Parameter,1,1,51000,5000,10,0.95,random,exponential,1.0
Direct,28.066680838819593,1,16.966973793585108,0.016160617805686804,Condition Parameter,1,2,51000,5000,10,0.95,random,exponential,1.0
Direct,26.88974852114916,1,16.95578889545068,0.0163304806187469,Condition Parameter,1,3,51000,5000,10,0.95,random,exponential,1.0
Direct,28.453102487605065,1,17.004659231008848,0.015483786842790092,Condition Parameter,1,4,51000,5000,10,0.95,random,exponential,1.0
Direct,27.13086413126439,1,17.039872989747614,0.015881459601899996,Condition Parameter,1,5,51000,5000,10,0.95,random,exponential,1.0
Direct,26.860308061353862,1,17.162320711671406,0.016077033165554498,Condition Parameter,1,6,51000,5000,10,0.95,random,exponential,1.0
Direct,27.052476891316473,1,17.456013857464477,0.015814315623354773,Condition Parameter,1,7,51000,5000,10,0.95,random,exponential,1.0
Direct,26.858155963011086,1,17.405920889569213,0.015121924177282498,Condition Parameter,1,8,51000,5000,10,0.95,random,exponential,1.0
Direct,27.076412746682763,1,17.5985530549764,0.01625677978812279,Condition Parameter,1,9,51000,5000,10,0.95,random,exponential,1.0
Direct,27.599176530726254,1,16.936726929692465,0.015755962809874624,Condition Parameter,1,10,51000,5000,10,0.95,random,exponential,1.0
Direct,27.78069847309962,1,23.655708550312298,0.30897490741417916,Condition Parameter,2,1,51000,5000,100,0.95,random,exponential,1.0
Direct,27.5319369956851,1,23.46074289450826,0.31219640867697696,Condition Parameter,2,2,51000,5000,100,0.95,random,exponential,1.0
Direct,27.798221639357507,1,23.515478186676404,0.30815648604642576,Condition Parameter,2,3,51000,5000,100,0.95,random,exponential,1.0
Direct,29.24650529678911,1,23.524754863788743,0.30756853460186895,Condition Parameter,2,4,51000,5000,100,0.95,random,exponential,1.0
Direct,29.12421349203214,1,23.50285724999311,0.30224648466538695,Condition Parameter,2,5,51000,5000,100,0.95,random,exponential,1.0
Direct,29.761025252752006,1,23.503756566266443,0.3046217790865,Condition Parameter,2,6,51000,5000,100,0.95,random,exponential,1.0
Direct,30.92927596811205,1,23.7963042901826,0.30461664611032235,Condition Parameter,2,7,51000,5000,100,0.95,random,exponential,1.0
Direct,28.257347451057285,1,23.54625270230879,0.29323356727114663,Condition Parameter,2,8,51000,5000,100,0.95,random,exponential,1.0
Direct,30.400925321970135,1,24.50461688377362,0.3111750678169736,Condition Parameter,2,9,51000,5000,100,0.95,random,exponential,1.0
Direct,30.00857162894681,1,23.44114933773205,0.30348917501472433,Condition Parameter,2,10,51000,5000,100,0.95,random,exponential,1.0
Direct,30.139798076823354,1,20.987234887210477,0.5989017434873504,Condition Parameter,3,1,51000,5000,1000,0.95,random,exponential,1.0
Direct,30.048736207187176,1,20.77147874658667,0.60546376947716,Condition Parameter,3,2,51000,5000,1000,0.95,random,exponential,1.0
Direct,30.3401182978414,1,20.916331893028016,0.6035992114076422,Condition Parameter,3,3,51000,5000,1000,0.95,random,exponential,1.0
Direct,30.11508687073365,1,21.040120114207976,0.5977935215150808,Condition Parameter,3,4,51000,5000,1000,0.95,random,exponential,1.0
Direct,29.768045783042908,1,21.143570499706495,0.5964130978892492,Condition Parameter,3,5,51000,5000,1000,0.95,random,exponential,1.0
Direct,29.625891476403922,1,20.838255465511622,0.5978444043361368,Condition Parameter,3,6,51000,5000,1000,0.95,random,exponential,1.0
Direct,29.465728368610144,1,21.08170216015579,0.5974222598855009,Condition Parameter,3,7,51000,5000,1000,0.95,random,exponential,1.0
Direct,29.48079497087747,1,21.071508841965496,0.5896912919817037,Condition Parameter,3,8,51000,5000,1000,0.95,random,exponential,1.0
Direct,29.545889518223703,1,21.288855388543798,0.6159397508385475,Condition Parameter,3,9,51000,5000,1000,0.95,random,exponential,1.0
Direct,29.547855156939477,1,20.823951902822518,0.602228915407033,Condition Parameter,3,10,51000,5000,1000,0.95,random,exponential,1.0
Direct,29.3752035619691,1,18.48714962319754,0.714030709016117,Condition Parameter,4,1,51000,5000,10000,0.95,random,exponential,1.0
Direct,28.767639877274632,1,17.974874857900343,0.7232383213994256,Condition Parameter,4,2,51000,5000,10000,0.95,random,exponential,1.0
Direct,27.576233271043748,1,18.26446619060056,0.7211761610546804,Condition Parameter,4,3,51000,5000,10000,0.95,random,exponential,1.0
Direct,27.73315816698596,1,18.486623368991197,0.7167436331904949,Condition Parameter,4,4,51000,5000,10000,0.95,random,exponential,1.0
Direct,26.03161104908213,1,18.64780266092605,0.7164247709640604,Condition Parameter,4,5,51000,5000,10000,0.95,random,exponential,1.0
Direct,25.71238899277523,1,18.699498236265452,0.713947763630608,Condition Parameter,4,6,51000,5000,10000,0.95,random,exponential,1.0
Direct,25.7248097602278,1,18.48586892915785,0.713610774212858,Condition Parameter,4,7,51000,5000,10000,0.95,random,exponential,1.0
Direct,25.853907716926187,1,18.400918917216966,0.7086564247839294,Condition Parameter,4,8,51000,5000,10000,0.95,random,exponential,1.0
Direct,26.96955752093345,1,18.263003665134708,0.7287139149396534,Condition Parameter,4,9,51000,5000,10000,0.95,random,exponential,1.0
Direct,27.581890397239476,1,18.32981759605817,0.720552969490724,Condition Parameter,4,10,51000,5000,10000,0.95,random,exponential,1.0
Direct,27.54398008203134,1,17.978027802574857,0.7361055854154015,Condition Parameter,5,1,51000,5000,20000,0.95,random,exponential,1.0
Direct,27.356412883847952,1,17.24522207992014,0.7457751864770971,Condition Parameter,5,2,51000,5000,20000,0.95,random,exponential,1.0
Direct,27.147948917001486,1,17.676862063765693,0.7436422491597408,Condition Parameter,5,3,51000,5000,20000,0.95,random,exponential,1.0
Direct,28.005838710814714,1,17.86497310515676,0.7398768949492472,Condition Parameter,5,4,51000,5000,20000,0.95,random,exponential,1.0
Direct,28.814695130102336,1,18.06499736749124,0.7398068912237309,Condition Parameter,5,5,51000,5000,20000,0.95,random,exponential,1.0
Direct,29.004519511014223,1,18.139312174078178,0.7375538357572331,Condition Parameter,5,6,51000,5000,20000,0.95,random,exponential,1.0
Direct,29.742327311076224,1,17.844759042870447,0.7363302673312978,Condition Parameter,5,7,51000,5000,20000,0.95,random,exponential,1.0
Direct,30.817451753187925,1,17.83925817699304,0.7313822106007977,Condition Parameter,5,8,51000,5000,20000,0.95,random,exponential,1.0
Direct,28.382512814365327,1,17.643476213685584,0.7497643520983456,Condition Parameter,5,9,51000,5000,20000,0.95,random,exponential,1.0
Direct,30.195731168147177,1,17.640910526101532,0.7440535437396277,Condition Parameter,5,10,51000,5000,20000,0.95,random,exponential,1.0
