Solver,Time (s),Iterations,Residual,Relative Error,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
LSMR,3.1731966827064753,96,17.356566827003583,0.01618570961803838,Condition Parameter,1,1,51000,5000,10,0.95,random,exponential,1.0
LSMR,2.9526562918908894,97,16.966973793899324,0.016160618605540564,Condition Parameter,1,2,51000,5000,10,0.95,random,exponential,1.0
LSMR,2.920529473107308,96,16.955788895789187,0.01633048131856912,Condition Parameter,1,3,51000,5000,10,0.95,random,exponential,1.0
LSMR,2.950999083928764,97,17.004659231285736,0.015483784476340074,Condition Parameter,1,4,51000,5000,10,0.95,random,exponential,1.0
LSMR,2.9346382510848343,96,17.039872990058853,0.015881458921693688,Condition Parameter,1,5,51000,5000,10,0.95,random,exponential,1.0
LSMR,2.933118293993175,96,17.16232071202469,0.01607703511990742,Condition Parameter,1,6,51000,5000,10,0.95,random,exponential,1.0
LSMR,2.9627300770953298,97,17.456013857767672,0.015814316568119772,Condition Parameter,1,7,51000,5000,10,0.95,random,exponential,1.0
LSMR,2.9349915347993374,96,17.40592088991042,0.01512192253033545,Condition Parameter,1,8,51000,5000,10,0.95,random,exponential,1.0
LSMR,2.9668092830106616,97,17.598553055292815,0.01625678106889707,Condition Parameter,1,9,51000,5000,10,0.95,random,exponential,1.0
LSMR,2.9690900803543627,97,16.936726930015386,0.01575596336437535,Condition Parameter,1,10,51000,5000,10,0.95,random,exponential,1.0
LSMR,9.226668920833617,305,23.655708645335896,0.3089750333441059,Condition Parameter,2,1,51000,5000,100,0.95,random,exponential,1.0
LSMR,9.19597799424082,304,23.460742991650807,0.3121965405972415,Condition Parameter,2,2,51000,5000,100,0.95,random,exponential,1.0
LSMR,9.185023481026292,304,23.515478278853575,0.30815661874389944,Condition Parameter,2,3,51000,5000,100,0.95,random,exponential,1.0
LSMR,9.161484755109996,304,23.52475495959272,0.30756867716529224,Condition Parameter,2,4,51000,5000,100,0.95,random,exponential,1.0
LSMR,9.08000036329031,301,23.50285734915799,0.3022466347879707,Condition Parameter,2,5,51000,5000,100,0.95,random,exponential,1.0
LSMR,9.195835089311004,305,23.50375666132186,0.30462189114430377,Condition Parameter,2,6,51000,5000,100,0.95,random,exponential,1.0
LSMR,9.137160872109234,303,23.79630438756096,0.30461675199328486,Condition Parameter,2,7,51000,5000,100,0.95,random,exponential,1.0
LSMR,9.131586369592696,303,23.54625280049169,0.2932336757288349,Condition Parameter,2,8,51000,5000,100,0.95,random,exponential,1.0
LSMR,9.190426568035036,305,24.50461697882814,0.3111751838712107,Condition Parameter,2,9,51000,5000,100,0.95,random,exponential,1.0
LSMR,9.193848563823849,305,23.44114943474114,0.30348929658085533,Condition Parameter,2,10,51000,5000,100,0.95,random,exponential,1.0
LSMR,9.60753673594445,319,20.987234985690787,0.5989028324751119,Condition Parameter,3,1,51000,5000,1000,0.95,random,exponential,1.0
LSMR,9.576969253830612,318,20.77147884466152,0.6054648560655713,Condition Parameter,3,2,51000,5000,1000,0.95,random,exponential,1.0
LSMR,9.552624902222306,317,20.916331990799158,0.6036002753010458,Condition Parameter,3,3,51000,5000,1000,0.95,random,exponential,1.0
LSMR,9.595312157645822,317,21.040120218558446,0.597794705706424,Condition Parameter,3,4,51000,5000,1000,0.95,random,exponential,1.0
LSMR,9.560164466034621,316,21.14357060020609,0.5964142115515411,Condition Parameter,3,5,51000,5000,1000,0.95,random,exponential,1.0
LSMR,9.63703347183764,319,20.838255565976873,0.5978454723353995,Condition Parameter,3,6,51000,5000,1000,0.95,random,exponential,1.0
LSMR,9.54892977932468,317,21.081702265404846,0.5974234114834308,Condition Parameter,3,7,51000,5000,1000,0.95,random,exponential,1.0
LSMR,9.548778306692839,317,21.071508941679497,0.5896923722354169,Condition Parameter,3,8,51000,5000,1000,0.95,random,exponential,1.0
LSMR,9.612716551870108,319,21.288855486323442,0.6159408106965244,Condition Parameter,3,9,51000,5000,1000,0.95,random,exponential,1.0
LSMR,9.609886800404638,319,20.823952003751035,0.6022300244972941,Condition Parameter,3,10,51000,5000,1000,0.95,random,exponential,1.0
LSMR,9.49796731211245,315,18.487149712083056,0.7140314861240227,Condition Parameter,4,1,51000,5000,10000,0.95,random,exponential,1.0
LSMR,9.459328562952578,314,17.97487494412821,0.7232390676559299,Condition Parameter,4,2,51000,5000,10000,0.95,random,exponential,1.0
LSMR,9.460435685701668,314,18.26446627269502,0.7211768734073157,Condition Parameter,4,3,51000,5000,10000,0.95,random,exponential,1.0
LSMR,9.491683764848858,315,18.486623450878977,0.7167443592246775,Condition Parameter,4,4,51000,5000,10000,0.95,random,exponential,1.0
LSMR,9.436105182860047,313,18.647802743468944,0.7164254960021601,Condition Parameter,4,5,51000,5000,10000,0.95,random,exponential,1.0
LSMR,9.560190592892468,317,18.699498320854175,0.7139484923952673,Condition Parameter,4,6,51000,5000,10000,0.95,random,exponential,1.0
LSMR,9.467986539937556,314,18.485869015610586,0.7136115037973282,Condition Parameter,4,7,51000,5000,10000,0.95,random,exponential,1.0
LSMR,9.431008224841207,313,18.40091900669169,0.7086571822264073,Condition Parameter,4,8,51000,5000,10000,0.95,random,exponential,1.0
LSMR,9.503223955165595,315,18.26300374917385,0.7287146662043978,Condition Parameter,4,9,51000,5000,10000,0.95,random,exponential,1.0
LSMR,9.509133209940046,316,18.329817680887125,0.7205537118861993,Condition Parameter,4,10,51000,5000,10000,0.95,random,exponential,1.0
LSMR,9.479109312873334,315,17.978027882451947,0.7361062475417517,Condition Parameter,5,1,51000,5000,20000,0.95,random,exponential,1.0
LSMR,9.477616649121046,314,17.245222160540326,0.7457758425449331,Condition Parameter,5,2,51000,5000,20000,0.95,random,exponential,1.0
LSMR,9.448986472096294,313,17.67686214186677,0.7436429084503318,Condition Parameter,5,3,51000,5000,20000,0.95,random,exponential,1.0
LSMR,9.476218526717275,314,17.864973184971657,0.7398775582117935,Condition Parameter,5,4,51000,5000,20000,0.95,random,exponential,1.0
