Solver,Time (s),Iterations,Residual,Relative Error,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
LSQR,3.0471722870133817,100,17.356566826666445,0.01618571197805826,Condition Parameter,1,1,51000,5000,10,0.95,random,exponential,1.0
LSQR,3.0503473081626,100,16.96697379359988,0.01616061843619534,Condition Parameter,1,2,51000,5000,10,0.95,random,exponential,1.0
LSQR,3.0516724763438106,100,16.955788895462565,0.016330480958249866,Condition Parameter,1,3,51000,5000,10,0.95,random,exponential,1.0
LSQR,3.0475848228670657,100,17.004659231021854,0.015483785932336715,Condition Parameter,1,4,51000,5000,10,0.95,random,exponential,1.0
LSQR,3.014531975146383,99,17.03987298976273,0.015881460117640106,Condition Parameter,1,5,51000,5000,10,0.95,random,exponential,1.0
LSQR,3.0480603487230837,100,17.16232071168357,0.01607703394991748,Condition Parameter,1,6,51000,5000,10,0.95,random,exponential,1.0
LSQR,3.0402146172709763,100,17.456013857479437,0.015814316306482078,Condition Parameter,1,7,51000,5000,10,0.95,random,exponential,1.0
LSQR,3.041227438952774,100,17.405920889580912,0.01512192346867861,Condition Parameter,1,8,51000,5000,10,0.95,random,exponential,1.0
LSQR,3.0416480861604214,100,17.59855305499247,0.01625678001324186,Condition Parameter,1,9,51000,5000,10,0.95,random,exponential,1.0
LSQR,3.075973281171173,101,16.9367269297041,0.015755963297955755,Condition Parameter,1,10,51000,5000,10,0.95,random,exponential,1.0
LSQR,10.02015379909426,332,23.655708547588308,0.3089749161070121,Condition Parameter,2,1,51000,5000,100,0.95,random,exponential,1.0
LSQR,10.019352468661964,332,23.460742898190112,0.31219641566228307,Condition Parameter,2,2,51000,5000,100,0.95,random,exponential,1.0
LSQR,10.076596963219345,332,23.515478187672354,0.30815649522005734,Condition Parameter,2,3,51000,5000,100,0.95,random,exponential,1.0
LSQR,10.089945585932583,332,23.524754865854312,0.3075685436291161,Condition Parameter,2,4,51000,5000,100,0.95,random,exponential,1.0
LSQR,10.062828394118696,329,23.50285725054421,0.30224649645149465,Condition Parameter,2,5,51000,5000,100,0.95,random,exponential,1.0
LSQR,10.134964261669666,332,23.503756566963094,0.3046217839866736,Condition Parameter,2,6,51000,5000,100,0.95,random,exponential,1.0
LSQR,9.985025273170322,331,23.796304293645225,0.30461665033899527,Condition Parameter,2,7,51000,5000,100,0.95,random,exponential,1.0
