Solver,Time (s),Iterations,Residual,Relative Error,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
Direct,17.64710997371003,1,5.408952029000382,0.42987579185604957,Lambda,1,1,20000,5000,1000,0.95,random,exponential,0.0
Direct,17.961878198198974,1,5.199711433973302,0.39542352824644306,Lambda,1,2,20000,5000,1000,0.95,random,exponential,0.0
Direct,17.835864696186036,1,5.209113447883843,0.4205063996807867,Lambda,1,3,20000,5000,1000,0.95,random,exponential,0.0
Direct,17.826562020927668,1,5.1674774759974875,0.4065890749226233,Lambda,1,4,20000,5000,1000,0.95,random,exponential,0.0
Direct,17.860126995947212,1,5.210160347461719,0.4021922916940176,Lambda,1,5,20000,5000,1000,0.95,random,exponential,0.0
Direct,17.846266239881516,1,5.256693688066064,0.4065855697453605,Lambda,1,6,20000,5000,1000,0.95,random,exponential,0.0
Direct,17.551615338772535,1,5.307467995542103,0.4099627765745729,Lambda,1,7,20000,5000,1000,0.95,random,exponential,0.0
Direct,17.48294789995998,1,5.248753357705618,0.41534713318222277,Lambda,1,8,20000,5000,1000,0.95,random,exponential,0.0
Direct,17.52881039166823,1,5.4435986327682295,0.43898030439551544,Lambda,1,9,20000,5000,1000,0.95,random,exponential,0.0
Direct,17.550481914076954,1,5.041947191193522,0.41509720486027707,Lambda,1,10,20000,5000,1000,0.95,random,exponential,0.0
Direct,17.631712880916893,1,5.408952029010733,0.4298728551553156,Lambda,2,1,20000,5000,1000,0.95,random,exponential,1e-08
Direct,17.487595120910555,1,5.199711433982308,0.3954210330606303,Lambda,2,2,20000,5000,1000,0.95,random,exponential,1e-08
Direct,17.491890709847212,1,5.209113447893969,0.42050353794171186,Lambda,2,3,20000,5000,1000,0.95,random,exponential,1e-08
Direct,17.4745998759754,1,5.167477476008181,0.40658618558746706,Lambda,2,4,20000,5000,1000,0.95,random,exponential,1e-08
Direct,17.57314760191366,1,5.210160347471496,0.40218958267302224,Lambda,2,5,20000,5000,1000,0.95,random,exponential,1e-08
Direct,17.565540676005185,1,5.256693688076028,0.40658271327925016,Lambda,2,6,20000,5000,1000,0.95,random,exponential,1e-08
Direct,17.491385967005044,1,5.307467995551643,0.4099601707817679,Lambda,2,7,20000,5000,1000,0.95,random,exponential,1e-08
Direct,17.436135950963944,1,5.248753357715735,0.41534418276461604,Lambda,2,8,20000,5000,1000,0.95,random,exponential,1e-08
Direct,17.470918496139348,1,5.443598632779433,0.43897720795858874,Lambda,2,9,20000,5000,1000,0.95,random,exponential,1e-08
Direct,17.48508870182559,1,5.041947191203728,0.415094293718581,Lambda,2,10,20000,5000,1000,0.95,random,exponential,1e-08
Direct,17.4500952498056,1,5.408952132344294,0.4295825039957762,Lambda,3,1,20000,5000,1000,0.95,random,exponential,1e-06
Direct,17.451918026898056,1,5.199711523889295,0.3951743563203086,Lambda,3,2,20000,5000,1000,0.95,random,exponential,1e-06
Direct,17.516242601908743,1,5.209113548953923,0.42022062225029627,Lambda,3,3,20000,5000,1000,0.95,random,exponential,1e-06
Direct,17.48793244920671,1,5.167477582749946,0.4063005427394929,Lambda,3,4,20000,5000,1000,0.95,random,exponential,1e-06
Direct,17.49846895877272,1,5.210160445092153,0.4019217307635367,Lambda,3,5,20000,5000,1000,0.95,random,exponential,1e-06
Direct,17.473298538010567,1,5.256693787518738,0.4063003243477558,Lambda,3,6,20000,5000,1000,0.95,random,exponential,1e-06
Direct,17.482263086829334,1,5.307468090775463,0.40970252824520975,Lambda,3,7,20000,5000,1000,0.95,random,exponential,1e-06
Direct,17.53430833434686,1,5.24875345870655,0.4150524763530481,Lambda,3,8,20000,5000,1000,0.95,random,exponential,1e-06
Direct,17.43510640785098,1,5.443598744615894,0.43867107251249565,Lambda,3,9,20000,5000,1000,0.95,random,exponential,1e-06
Direct,17.623284672852606,1,5.041947293104062,0.41480647280182936,Lambda,3,10,20000,5000,1000,0.95,random,exponential,1e-06
Direct,17.448176682926714,1,5.4098387875059615,0.40397306614574696,Lambda,4,1,20000,5000,1000,0.95,random,exponential,0.0001
Direct,17.451793293934315,1,5.2004863292019,0.3735983203821779,Lambda,4,2,20000,5000,1000,0.95,random,exponential,0.0001
Direct,17.48228097287938,1,5.209974571789075,0.39544990666316027,Lambda,4,3,20000,5000,1000,0.95,random,exponential,0.0001
Direct,17.50641540205106,1,5.16838783249344,0.38132171881950716,Lambda,4,4,20000,5000,1000,0.95,random,exponential,0.0001
Direct,17.333655182272196,1,5.211005429303236,0.37820666956583754,Lambda,4,5,20000,5000,1000,0.95,random,exponential,0.0001
Direct,17.400243821088225,1,5.257541437013601,0.38162308604887496,Lambda,4,6,20000,5000,1000,0.95,random,exponential,0.0001
Direct,17.468363659922034,1,5.308292454441563,0.3869076511560431,Lambda,4,7,20000,5000,1000,0.95,random,exponential,0.0001
Direct,17.35272633098066,1,5.249617437011163,0.38932323275197295,Lambda,4,8,20000,5000,1000,0.95,random,exponential,0.0001
Direct,17.443351038731635,1,5.444552795912969,0.41172981364302497,Lambda,4,9,20000,5000,1000,0.95,random,exponential,0.0001
Direct,17.33296499401331,1,5.042821415993024,0.3894344801438076,Lambda,4,10,20000,5000,1000,0.95,random,exponential,0.0001
Direct,17.379225586075336,1,5.799800817767023,0.37275576415760137,Lambda,5,1,20000,5000,1000,0.95,random,exponential,0.01
Direct,17.425693860743195,1,5.581072690852295,0.3755874134914009,Lambda,5,2,20000,5000,1000,0.95,random,exponential,0.01
Direct,17.467660843860358,1,5.59387033784811,0.3720121068445933,Lambda,5,3,20000,5000,1000,0.95,random,exponential,0.01
Direct,17.42972628911957,1,5.553367030130994,0.3733092661155503,Lambda,5,4,20000,5000,1000,0.95,random,exponential,0.01
Direct,17.5472509348765,1,5.613824469123854,0.36101561980558894,Lambda,5,5,20000,5000,1000,0.95,random,exponential,0.01
Direct,17.436311600264162,1,5.642532590530465,0.36713149516313176,Lambda,5,6,20000,5000,1000,0.95,random,exponential,0.01
Direct,17.507669707294554,1,5.708364677490836,0.36625706580786893,Lambda,5,7,20000,5000,1000,0.95,random,exponential,0.01
Direct,17.48028063075617,1,5.6418556299594815,0.35318970480541184,Lambda,5,8,20000,5000,1000,0.95,random,exponential,0.01
Direct,17.629292595665902,1,5.866056995532796,0.3731503885925672,Lambda,5,9,20000,5000,1000,0.95,random,exponential,0.01
