Solver,Time (s),Iterations,Residual,Relative Error,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
LSMR,56.202462655026466,4658,5.408952557084958,0.4298853915582061,Lambda,1,1,20000,5000,1000,0.95,random,exponential,0.0
LSMR,55.82734787208028,4637,5.19971190594473,0.395360772764799,Lambda,1,2,20000,5000,1000,0.95,random,exponential,0.0
LSMR,56.573397543048486,4717,5.209113955424495,0.420455522075652,Lambda,1,3,20000,5000,1000,0.95,random,exponential,0.0
LSMR,55.236513413954526,4642,5.1674779445763805,0.406589609634008,Lambda,1,4,20000,5000,1000,0.95,random,exponential,0.0
LSMR,56.69966415897943,4635,5.210160832148908,0.4021100344472696,Lambda,1,5,20000,5000,1000,0.95,random,exponential,0.0
LSMR,56.118608243064955,4693,5.2566941826012465,0.4064943877187041,Lambda,1,6,20000,5000,1000,0.95,random,exponential,0.0
LSMR,54.75107535510324,4617,5.307468503024993,0.4098900274774036,Lambda,1,7,20000,5000,1000,0.95,random,exponential,0.0
LSMR,55.50442260201089,4660,5.248753889122456,0.41532654136378944,Lambda,1,8,20000,5000,1000,0.95,random,exponential,0.0
LSMR,56.23750529997051,4676,5.443599128831679,0.43896091011765004,Lambda,1,9,20000,5000,1000,0.95,random,exponential,0.0
LSMR,56.46640400402248,4699,5.041947669193971,0.41504932026348795,Lambda,1,10,20000,5000,1000,0.95,random,exponential,0.0
LSMR,55.92701155412942,4658,5.408952557251262,0.4298824564518654,Lambda,2,1,20000,5000,1000,0.95,random,exponential,1e-08
LSMR,55.66710021416657,4637,5.199711906101713,0.39535828339534174,Lambda,2,2,20000,5000,1000,0.95,random,exponential,1e-08
LSMR,56.93915296904743,4716,5.209113957168061,0.42045256807623627,Lambda,2,3,20000,5000,1000,0.95,random,exponential,1e-08
LSMR,55.91318878880702,4642,5.167477944735353,0.40658672205801893,Lambda,2,4,20000,5000,1000,0.95,random,exponential,1e-08
LSMR,55.56898224004544,4635,5.21016083230254,0.40210733192594866,Lambda,2,5,20000,5000,1000,0.95,random,exponential,1e-08
LSMR,56.594542988110334,4693,5.256694182773354,0.4064915385420387,Lambda,2,6,20000,5000,1000,0.95,random,exponential,1e-08
LSMR,55.47965637780726,4617,5.307468503180513,0.409887427514241,Lambda,2,7,20000,5000,1000,0.95,random,exponential,1e-08
LSMR,55.87061081989668,4660,5.248753889282227,0.4153235942244605,Lambda,2,8,20000,5000,1000,0.95,random,exponential,1e-08
LSMR,56.3482799208723,4676,5.443599129004059,0.43895781682835133,Lambda,2,9,20000,5000,1000,0.95,random,exponential,1e-08
LSMR,56.40514466096647,4699,5.041947669358326,0.4150464140032346,Lambda,2,10,20000,5000,1000,0.95,random,exponential,1e-08
LSMR,55.671597548993304,4655,5.40895268099516,0.4295921227249134,Lambda,3,1,20000,5000,1000,0.95,random,exponential,1e-06
LSMR,55.45937836589292,4635,5.199712013751844,0.3951118149906434,Lambda,3,2,20000,5000,1000,0.95,random,exponential,1e-06
LSMR,56.50375989614986,4714,5.209114078373076,0.42016985715283994,Lambda,3,3,20000,5000,1000,0.95,random,exponential,1e-06
LSMR,55.693314739037305,4639,5.167478070093634,0.406301283119433,Lambda,3,4,20000,5000,1000,0.95,random,exponential,1e-06
LSMR,55.730610148981214,4632,5.210160948513912,0.4018396705851709,Lambda,3,5,20000,5000,1000,0.95,random,exponential,1e-06
LSMR,56.4646578039974,4691,5.256694301880559,0.40620942271040744,Lambda,3,6,20000,5000,1000,0.95,random,exponential,1e-06
LSMR,55.435055854031816,4614,5.307468616919949,0.4096300033207673,Lambda,3,7,20000,5000,1000,0.95,random,exponential,1e-06
LSMR,55.74728249805048,4658,5.24875400834316,0.4150321301622439,Lambda,3,8,20000,5000,1000,0.95,random,exponential,1e-06
LSMR,56.608214108040556,4674,5.443599260814956,0.4386518027496453,Lambda,3,9,20000,5000,1000,0.95,random,exponential,1e-06
LSMR,56.512644393136725,4697,5.041947790370399,0.4147587688702212,Lambda,3,10,20000,5000,1000,0.95,random,exponential,1e-06
LSMR,53.22638229909353,4411,5.409840806990042,0.4039843648600007,Lambda,4,1,20000,5000,1000,0.95,random,exponential,0.0001
LSMR,52.77469918993302,4392,5.200488219110603,0.373541796319441,Lambda,4,2,20000,5000,1000,0.95,random,exponential,0.0001
LSMR,54.685893923044205,4463,5.209976612187904,0.3954166199933217,Lambda,4,3,20000,5000,1000,0.95,random,exponential,0.0001
LSMR,53.61859880993143,4406,5.168389723669378,0.3813407346453023,Lambda,4,4,20000,5000,1000,0.95,random,exponential,0.0001
LSMR,53.5037005150225,4395,5.211007313455346,0.37814106535533554,Lambda,4,5,20000,5000,1000,0.95,random,exponential,0.0001
LSMR,54.140887112822384,4441,5.25754343648897,0.38155044275696676,Lambda,4,6,20000,5000,1000,0.95,random,exponential,0.0001
LSMR,53.27027194015682,4373,5.30829436237843,0.38685326927879915,Lambda,4,7,20000,5000,1000,0.95,random,exponential,0.0001
LSMR,53.5823856908828,4399,5.249619391644288,0.38931797688384484,Lambda,4,8,20000,5000,1000,0.95,random,exponential,0.0001
LSMR,54.153144733048975,4428,5.444554825987623,0.4117174936536732,Lambda,4,9,20000,5000,1000,0.95,random,exponential,0.0001
LSMR,53.982175590936095,4444,5.042823366862009,0.38939881666178466,Lambda,4,10,20000,5000,1000,0.95,random,exponential,0.0001
LSMR,18.60479916096665,1528,5.799801826374288,0.3727592062391587,Lambda,5,1,20000,5000,1000,0.95,random,exponential,0.01
LSMR,18.343102825805545,1521,5.581073665940822,0.37559382685034093,Lambda,5,2,20000,5000,1000,0.95,random,exponential,0.01
LSMR,18.34980430500582,1534,5.593871351718724,0.37201426439107493,Lambda,5,3,20000,5000,1000,0.95,random,exponential,0.01
LSMR,18.140063274186105,1521,5.5533680317279135,0.37331326464547004,Lambda,5,4,20000,5000,1000,0.95,random,exponential,0.01
LSMR,18.411764563061297,1529,5.61382548896444,0.3610208135003374,Lambda,5,5,20000,5000,1000,0.95,random,exponential,0.01
LSMR,18.43603109801188,1523,5.642533589752057,0.3671350108448427,Lambda,5,6,20000,5000,1000,0.95,random,exponential,0.01
LSMR,18.29848153493367,1522,5.708365683010145,0.36626177738468185,Lambda,5,7,20000,5000,1000,0.95,random,exponential,0.01
LSMR,18.43315463606268,1531,5.641856661228281,0.35319257941856674,Lambda,5,8,20000,5000,1000,0.95,random,exponential,0.01
LSMR,18.536144245881587,1533,5.866058019786943,0.37315421953482253,Lambda,5,9,20000,5000,1000,0.95,random,exponential,0.01
LSMR,18.301860173000023,1518,5.456988203177982,0.36135714784277123,Lambda,5,10,20000,5000,1000,0.95,random,exponential,0.01
LSMR,7.041511887917295,586,8.110281668811872,0.5265896196729446,Lambda,6,1,20000,5000,1000,0.95,random,exponential,0.1
LSMR,7.086855472996831,585,7.8950262248809695,0.5311574965800205,Lambda,6,2,20000,5000,1000,0.95,random,exponential,0.1
LSMR,7.124383949209005,589,7.992120762373422,0.5264187609441264,Lambda,6,3,20000,5000,1000,0.95,random,exponential,0.1
LSMR,7.0483876501675695,583,7.92979942558854,0.523490122882949,Lambda,6,4,20000,5000,1000,0.95,random,exponential,0.1
LSMR,7.097270892933011,587,8.027145448881933,0.5192380364765442,Lambda,6,5,20000,5000,1000,0.95,random,exponential,0.1
LSMR,7.0594953841064125,585,7.99197826180407,0.523718857569801,Lambda,6,6,20000,5000,1000,0.95,random,exponential,0.1
LSMR,7.028212612960488,584,8.077674947058618,0.5238375084512141,Lambda,6,7,20000,5000,1000,0.95,random,exponential,0.1
LSMR,7.027635127073154,586,8.026291310214573,0.5124051988449361,Lambda,6,8,20000,5000,1000,0.95,random,exponential,0.1
LSMR,7.083572447998449,587,8.356235517318227,0.5372694874682975,Lambda,6,9,20000,5000,1000,0.95,random,exponential,0.1
LSMR,7.053170079132542,582,7.88021500669692,0.5261776348200736,Lambda,6,10,20000,5000,1000,0.95,random,exponential,0.1
LSMR,2.617704905103892,216,19.45103494385431,0.6573059815092649,Lambda,7,1,20000,5000,1000,0.95,random,exponential,1.0
LSMR,2.6059961260762066,215,19.284458454389025,0.6621585415829284,Lambda,7,2,20000,5000,1000,0.95,random,exponential,1.0
LSMR,2.609447743045166,216,19.546887215758723,0.6610947001125509,Lambda,7,3,20000,5000,1000,0.95,random,exponential,1.0
LSMR,2.6336078750900924,214,19.693819073341572,0.654627863329948,Lambda,7,4,20000,5000,1000,0.95,random,exponential,1.0
LSMR,2.6290678109508008,215,19.857025843944285,0.6541013666501118,Lambda,7,5,20000,5000,1000,0.95,random,exponential,1.0
LSMR,2.6250505500938743,215,19.62455001973098,0.6553862452207424,Lambda,7,6,20000,5000,1000,0.95,random,exponential,1.0
LSMR,2.6323959750588983,215,19.60858926597817,0.6552024287778314,Lambda,7,7,20000,5000,1000,0.95,random,exponential,1.0
LSMR,2.6614851751364768,216,19.693102636753185,0.6472442000610708,Lambda,7,8,20000,5000,1000,0.95,random,exponential,1.0
LSMR,2.645808645989746,216,19.558885766840305,0.6715700112821152,Lambda,7,9,20000,5000,1000,0.95,random,exponential,1.0
LSMR,2.6349632849451154,214,19.481672459281324,0.6603033973044751,Lambda,7,10,20000,5000,1000,0.95,random,exponential,1.0
