Solver,Time (s),Iterations,Residual,Relative Error,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
LSQR,60.653286361601204,5000,5.408952117683278,0.4298932455163931,Lambda,1,1,20000,5000,1000,0.95,random,exponential,0.0
LSQR,60.5681120143272,5000,5.199711502491711,0.39542004829926897,Lambda,1,2,20000,5000,1000,0.95,random,exponential,0.0
LSQR,59.8362638708204,5000,5.209113550121229,0.42049454933782066,Lambda,1,3,20000,5000,1000,0.95,random,exponential,0.0
LSQR,59.57041031494737,5000,5.1674775471092165,0.4065845552635332,Lambda,1,4,20000,5000,1000,0.95,random,exponential,0.0
LSQR,60.4569067931734,5000,5.210160421717298,0.4021752051082601,Lambda,1,5,20000,5000,1000,0.95,random,exponential,0.0
LSQR,59.88869256293401,5000,5.256693782046634,0.40656985116122807,Lambda,1,6,20000,5000,1000,0.95,random,exponential,0.0
LSQR,59.81515839509666,5000,5.307468071500099,0.40995091561687774,Lambda,1,7,20000,5000,1000,0.95,random,exponential,0.0
LSQR,59.602640443947166,5000,5.24875344302649,0.41533466013019715,Lambda,1,8,20000,5000,1000,0.95,random,exponential,0.0
LSQR,60.11201442591846,5000,5.443598720967947,0.4389801383820927,Lambda,1,9,20000,5000,1000,0.95,random,exponential,0.0
LSQR,60.20319914771244,5000,5.041947280108308,0.41509265896061653,Lambda,1,10,20000,5000,1000,0.95,random,exponential,0.0
LSQR,59.89330532634631,5000,5.408952117693621,0.4298903078283673,Lambda,2,1,20000,5000,1000,0.95,random,exponential,1e-08
LSQR,60.21154370298609,5000,5.199711502500731,0.39541755343521756,Lambda,2,2,20000,5000,1000,0.95,random,exponential,1e-08
LSQR,60.343096499331295,5000,5.209113550131354,0.4204916884389411,Lambda,2,3,20000,5000,1000,0.95,random,exponential,1e-08
LSQR,60.047877626959234,5000,5.167477547119914,0.40658166628051734,Lambda,2,4,20000,5000,1000,0.95,random,exponential,1e-08
LSQR,59.81802154285833,5000,5.2101604217270685,0.4021724971897558,Lambda,2,5,20000,5000,1000,0.95,random,exponential,1e-08
LSQR,60.26272928901017,5000,5.2566937820566055,0.40656699578174127,Lambda,2,6,20000,5000,1000,0.95,random,exponential,1e-08
LSQR,60.10262708598748,5000,5.307468071509636,0.4099483106581219,Lambda,2,7,20000,5000,1000,0.95,random,exponential,1e-08
LSQR,60.16115629207343,5000,5.248753443036606,0.41533171051088374,Lambda,2,8,20000,5000,1000,0.95,random,exponential,1e-08
LSQR,60.12102899607271,5000,5.443598720979142,0.4389770420519669,Lambda,2,9,20000,5000,1000,0.95,random,exponential,1e-08
LSQR,60.376970617100596,5000,5.041947280118518,0.4150897482653432,Lambda,2,10,20000,5000,1000,0.95,random,exponential,1e-08
LSQR,59.79656477924436,5000,5.408952221020117,0.429599859198607,Lambda,3,1,20000,5000,1000,0.95,random,exponential,1e-06
LSQR,59.93542504217476,5000,5.199711592404263,0.3951709083757776,Lambda,3,2,20000,5000,1000,0.95,random,exponential,1e-06
LSQR,59.939783948939294,5000,5.209113651184223,0.42020885557149246,Lambda,3,3,20000,5000,1000,0.95,random,exponential,1e-06
LSQR,60.42662394698709,5000,5.167477653856768,0.40629605812830916,Lambda,3,4,20000,5000,1000,0.95,random,exponential,1e-06
LSQR,60.25823604315519,5000,5.210160519341898,0.4019047540083331,Lambda,3,5,20000,5000,1000,0.95,random,exponential,1e-06
LSQR,59.90294199902564,5000,5.2566938814934225,0.4062847139792977,Lambda,3,6,20000,5000,1000,0.95,random,exponential,1e-06
LSQR,59.93650448927656,5000,5.307468166727726,0.40969075034849023,Lambda,3,7,20000,5000,1000,0.95,random,exponential,1e-06
LSQR,59.86069018393755,5000,5.248753544021203,0.4150400828177664,Lambda,3,8,20000,5000,1000,0.95,random,exponential,1e-06
LSQR,60.48080404708162,5000,5.443598832808502,0.43867091708032274,Lambda,3,9,20000,5000,1000,0.95,random,exponential,1e-06
LSQR,59.96078492794186,5000,5.041947382012678,0.4148019713012103,Lambda,3,10,20000,5000,1000,0.95,random,exponential,1e-06
LSQR,60.19034788990393,5000,5.409838847718477,0.40398299398901294,Lambda,4,1,20000,5000,1000,0.95,random,exponential,0.0001
LSQR,60.19575746776536,5000,5.200486375973879,0.3735968347881136,Lambda,4,2,20000,5000,1000,0.95,random,exponential,0.0001
LSQR,61.129549835342914,5000,5.209974641134134,0.39544380438724597,Lambda,4,3,20000,5000,1000,0.95,random,exponential,0.0001
LSQR,60.844592487905174,5000,5.168387880771772,0.3813195157811509,Lambda,4,4,20000,5000,1000,0.95,random,exponential,0.0001
LSQR,61.04381055617705,5000,5.2110054800536405,0.3781973897751477,Lambda,4,5,20000,5000,1000,0.95,random,exponential,0.0001
LSQR,61.045342188794166,5000,5.2575415004728905,0.3816148693805285,Lambda,4,6,20000,5000,1000,0.95,random,exponential,0.0001
LSQR,61.07506296411157,5000,5.308292505995529,0.3869015354294375,Lambda,4,7,20000,5000,1000,0.95,random,exponential,0.0001
LSQR,60.868091102689505,5000,5.249617494932731,0.3893163733394117,Lambda,4,8,20000,5000,1000,0.95,random,exponential,0.0001
LSQR,61.07186275208369,5000,5.444552855967326,0.41173008795172084,Lambda,4,9,20000,5000,1000,0.95,random,exponential,0.0001
LSQR,60.761616833973676,5000,5.042821475659597,0.3894326800445358,Lambda,4,10,20000,5000,1000,0.95,random,exponential,0.0001
LSQR,22.426660792902112,1833,5.799800820147136,0.3727556821913062,Lambda,5,1,20000,5000,1000,0.95,random,exponential,0.01
LSQR,22.036320592742413,1830,5.581072693358014,0.3755873992375117,Lambda,5,2,20000,5000,1000,0.95,random,exponential,0.01
LSQR,22.03689045086503,1843,5.59387034023688,0.37201222592993033,Lambda,5,3,20000,5000,1000,0.95,random,exponential,0.01
LSQR,21.69145320635289,1814,5.55336703306211,0.3733093335602837,Lambda,5,4,20000,5000,1000,0.95,random,exponential,0.01
LSQR,21.95890500303358,1834,5.613824471523036,0.3610156915301258,Lambda,5,5,20000,5000,1000,0.95,random,exponential,0.01
