Solver,Time (s),Iterations,Residual,Relative Error,Info,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
CG,2.885469710920006,235,19.45103491650529,0.6573055754264918,0,Matrix Size,1,1,20000,5000,1000,0.95,random,exponential,1.0
CG,2.807141728233546,236,19.284458428443976,0.6621581181236659,0,Matrix Size,1,2,20000,5000,1000,0.95,random,exponential,1.0
CG,2.8431095331907272,237,19.546887181900114,0.6610942675329341,0,Matrix Size,1,3,20000,5000,1000,0.95,random,exponential,1.0
CG,2.7939655878581107,235,19.693819043751347,0.6546274380335309,0,Matrix Size,1,4,20000,5000,1000,0.95,random,exponential,1.0
CG,2.8277975763194263,236,19.857025816332907,0.6541009356023826,0,Matrix Size,1,5,20000,5000,1000,0.95,random,exponential,1.0
CG,2.7883423259481788,235,19.62454999027226,0.6553858296606487,0,Matrix Size,1,6,20000,5000,1000,0.95,random,exponential,1.0
CG,2.8104535611346364,235,19.608589237294506,0.6552020085397593,0,Matrix Size,1,7,20000,5000,1000,0.95,random,exponential,1.0
CG,2.801533696241677,237,19.693102610382002,0.6472437676977864,0,Matrix Size,1,8,20000,5000,1000,0.95,random,exponential,1.0
CG,2.822117562405765,236,19.558885740236455,0.6715696073363024,0,Matrix Size,1,9,20000,5000,1000,0.95,random,exponential,1.0
CG,2.799602090846747,235,19.481672432614893,0.6603029677522081,0,Matrix Size,1,10,20000,5000,1000,0.95,random,exponential,1.0
CG,4.951312024146318,280,20.046837886570604,0.6311860599891286,0,Matrix Size,2,1,30000,5000,1000,0.95,random,exponential,1.0
CG,4.929215038195252,279,19.851469591454887,0.6382591418917666,0,Matrix Size,2,2,30000,5000,1000,0.95,random,exponential,1.0
CG,4.948830722365528,279,19.946472450570855,0.6364861772892738,0,Matrix Size,2,3,30000,5000,1000,0.95,random,exponential,1.0
CG,4.962224833667278,280,20.0985060840923,0.6302240297633508,0,Matrix Size,2,4,30000,5000,1000,0.95,random,exponential,1.0
CG,4.921341977082193,278,20.273947310181928,0.6296290483594661,0,Matrix Size,2,5,30000,5000,1000,0.95,random,exponential,1.0
CG,4.990462710149586,281,19.93561748947724,0.6311013857006829,0,Matrix Size,2,6,30000,5000,1000,0.95,random,exponential,1.0
CG,4.957335120998323,280,20.06626750324363,0.6299695645522787,0,Matrix Size,2,7,30000,5000,1000,0.95,random,exponential,1.0
CG,4.969522058963776,281,20.17094313138415,0.6225701131981349,0,Matrix Size,2,8,30000,5000,1000,0.95,random,exponential,1.0
CG,4.926531994249672,278,20.181799947881128,0.6476857891862912,0,Matrix Size,2,9,30000,5000,1000,0.95,random,exponential,1.0
CG,4.937167881056666,279,19.974539418038603,0.6350409018034584,0,Matrix Size,2,10,30000,5000,1000,0.95,random,exponential,1.0
CG,3.8041101400740445,257,19.75744929492765,0.6419855385155707,0,Matrix Size,3,1,25000,5000,1000,0.95,random,exponential,1.0
CG,3.831075691152364,257,19.60997627907379,0.6488336364324707,0,Matrix Size,3,2,25000,5000,1000,0.95,random,exponential,1.0
CG,3.820914202835411,258,19.763835445590097,0.6467961698800285,0,Matrix Size,3,3,25000,5000,1000,0.95,random,exponential,1.0
CG,3.84883448202163,260,19.916402691278744,0.6415706903793561,0,Matrix Size,3,4,25000,5000,1000,0.95,random,exponential,1.0
CG,3.8515587989240885,259,20.04995020728062,0.6409510493199102,0,Matrix Size,3,5,25000,5000,1000,0.95,random,exponential,1.0
CG,3.8540637800469995,258,19.89634049330972,0.6408742042489568,0,Matrix Size,3,6,25000,5000,1000,0.95,random,exponential,1.0
CG,3.8192988419905305,258,19.78503578239004,0.6416509947573388,0,Matrix Size,3,7,25000,5000,1000,0.95,random,exponential,1.0
CG,3.850428184028715,260,19.921294162360386,0.6338682935621753,0,Matrix Size,3,8,25000,5000,1000,0.95,random,exponential,1.0
CG,3.8665624922141433,258,19.683134681741958,0.6600253441300167,0,Matrix Size,3,9,25000,5000,1000,0.95,random,exponential,1.0
CG,3.8253105678595603,258,19.709655996312076,0.6466874125554155,0,Matrix Size,3,10,25000,5000,1000,0.95,random,exponential,1.0
