Solver,Time (s),Iterations,Residual,Relative Error,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
Direct,17.640005357796326,1,19.451034916273507,0.65730550775194,Matrix Size,1,1,20000,5000,1000,0.95,random,exponential,1.0
Direct,17.687781604006886,1,19.28445842747928,0.6621580598522344,Matrix Size,1,2,20000,5000,1000,0.95,random,exponential,1.0
Direct,17.648111103102565,1,19.546887186350563,0.6610942059639769,Matrix Size,1,3,20000,5000,1000,0.95,random,exponential,1.0
Direct,17.72047593886964,1,19.693819043848404,0.6546273781329489,Matrix Size,1,4,20000,5000,1000,0.95,random,exponential,1.0
Direct,17.615517250960693,1,19.857025813778332,0.6541008730413926,Matrix Size,1,5,20000,5000,1000,0.95,random,exponential,1.0
Direct,17.642985322047025,1,19.6245499902254,0.655385763873653,Matrix Size,1,6,20000,5000,1000,0.95,random,exponential,1.0
Direct,17.68822152679786,1,19.608589237559396,0.6552019479075348,Matrix Size,1,7,20000,5000,1000,0.95,random,exponential,1.0
Direct,17.73321377998218,1,19.693102609271996,0.6472437100450422,Matrix Size,1,8,20000,5000,1000,0.95,random,exponential,1.0
Direct,17.70991724799387,1,19.558885739730993,0.6715695441017391,Matrix Size,1,9,20000,5000,1000,0.95,random,exponential,1.0
Direct,17.671512928092852,1,19.481672432131525,0.6603029083811305,Matrix Size,1,10,20000,5000,1000,0.95,random,exponential,1.0
Direct,20.05286677298136,1,20.04683788307448,0.6311859672726442,Matrix Size,2,1,30000,5000,1000,0.95,random,exponential,1.0
Direct,20.043841895181686,1,19.85146958749307,0.6382590569270751,Matrix Size,2,2,30000,5000,1000,0.95,random,exponential,1.0
Direct,20.124695664970204,1,19.946472447468558,0.6364860879605064,Matrix Size,2,3,30000,5000,1000,0.95,random,exponential,1.0
Direct,20.049689708976075,1,20.098506085213092,0.6302239471092665,Matrix Size,2,4,30000,5000,1000,0.95,random,exponential,1.0
Direct,20.198377650929615,1,20.273947309917837,0.6296289597451489,Matrix Size,2,5,30000,5000,1000,0.95,random,exponential,1.0
Direct,20.101326277013868,1,19.93561748923935,0.6311012958540294,Matrix Size,2,6,30000,5000,1000,0.95,random,exponential,1.0
Direct,20.098619144875556,1,20.066267501290774,0.6299694788297393,Matrix Size,2,7,30000,5000,1000,0.95,random,exponential,1.0
Direct,20.40660939901136,1,20.170943131269894,0.6225700341702538,Matrix Size,2,8,30000,5000,1000,0.95,random,exponential,1.0
Direct,24.59930927399546,1,20.18179994771231,0.6476856977690424,Matrix Size,2,9,30000,5000,1000,0.95,random,exponential,1.0
Direct,20.132633104920387,1,19.974539422853944,0.6350408233545689,Matrix Size,2,10,30000,5000,1000,0.95,random,exponential,1.0
Direct,18.81150799198076,1,19.757449295788465,0.641985454551745,Matrix Size,3,1,25000,5000,1000,0.95,random,exponential,1.0
Direct,18.762785878032446,1,19.609976277049697,0.6488335573867167,Matrix Size,3,2,25000,5000,1000,0.95,random,exponential,1.0
Direct,18.77675753296353,1,19.763835444139588,0.6467960925337682,Matrix Size,3,3,25000,5000,1000,0.95,random,exponential,1.0
Direct,19.22807225305587,1,19.916402693047672,0.641570615942435,Matrix Size,3,4,25000,5000,1000,0.95,random,exponential,1.0
Direct,19.624124052003026,1,20.049950204225716,0.6409509743766851,Matrix Size,3,5,25000,5000,1000,0.95,random,exponential,1.0
Direct,19.54086093301885,1,19.896340491521606,0.6408741280151563,Matrix Size,3,6,25000,5000,1000,0.95,random,exponential,1.0
Direct,19.6074986460153,1,19.785035781790537,0.6416509230964684,Matrix Size,3,7,25000,5000,1000,0.95,random,exponential,1.0
Direct,19.580118973972276,1,19.92129416268142,0.6338682206475362,Matrix Size,3,8,25000,5000,1000,0.95,random,exponential,1.0
Direct,19.275630061980337,1,19.68313468145098,0.6600252660592225,Matrix Size,3,9,25000,5000,1000,0.95,random,exponential,1.0
Direct,18.866859070025384,1,19.70965599502641,0.6466873386926401,Matrix Size,3,10,25000,5000,1000,0.95,random,exponential,1.0
