Solver,Time (s),Iterations,Residual,Relative Error,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
LSMR,2.6471828271169215,216,19.45103494385431,0.6573059815092649,Matrix Size,1,1,20000,5000,1000,0.95,random,exponential,1.0
LSMR,2.9522581179626286,215,19.284458454389025,0.6621585415829284,Matrix Size,1,2,20000,5000,1000,0.95,random,exponential,1.0
LSMR,2.6472860081121325,216,19.546887215758723,0.6610947001125509,Matrix Size,1,3,20000,5000,1000,0.95,random,exponential,1.0
LSMR,5.160125317983329,214,19.693819073341572,0.654627863329948,Matrix Size,1,4,20000,5000,1000,0.95,random,exponential,1.0
LSMR,2.7784637350123376,215,19.857025843944285,0.6541013666501118,Matrix Size,1,5,20000,5000,1000,0.95,random,exponential,1.0
LSMR,2.6332035888917744,215,19.62455001973098,0.6553862452207424,Matrix Size,1,6,20000,5000,1000,0.95,random,exponential,1.0
LSMR,5.195864520967007,215,19.60858926597817,0.6552024287778314,Matrix Size,1,7,20000,5000,1000,0.95,random,exponential,1.0
LSMR,5.208033666014671,216,19.693102636753185,0.6472442000610708,Matrix Size,1,8,20000,5000,1000,0.95,random,exponential,1.0
LSMR,5.260536739137024,216,19.558885766840305,0.6715700112821152,Matrix Size,1,9,20000,5000,1000,0.95,random,exponential,1.0
LSMR,5.20469357422553,214,19.481672459281324,0.6603033973044751,Matrix Size,1,10,20000,5000,1000,0.95,random,exponential,1.0
LSMR,5.842735705897212,256,20.04683793296717,0.6311866607232391,Matrix Size,2,1,30000,5000,1000,0.95,random,exponential,1.0
LSMR,4.58702597906813,254,19.851469636228284,0.6382597370624558,Matrix Size,2,2,30000,5000,1000,0.95,random,exponential,1.0
LSMR,4.590999434003606,255,19.946472496538618,0.6364867677179411,Matrix Size,2,3,30000,5000,1000,0.95,random,exponential,1.0
LSMR,4.578977169003338,253,20.09850613521255,0.630224658072379,Matrix Size,2,4,30000,5000,1000,0.95,random,exponential,1.0
LSMR,4.575962271075696,253,20.273947360765963,0.6296296648155585,Matrix Size,2,5,30000,5000,1000,0.95,random,exponential,1.0
LSMR,4.623356476891786,256,19.935617540386147,0.6311020389333758,Matrix Size,2,6,30000,5000,1000,0.95,random,exponential,1.0
LSMR,4.631159215932712,255,20.066267552262858,0.6299701790764533,Matrix Size,2,7,30000,5000,1000,0.95,random,exponential,1.0
LSMR,6.0034770329948515,254,20.170943183627198,0.6225707304948095,Matrix Size,2,8,30000,5000,1000,0.95,random,exponential,1.0
LSMR,4.732729162089527,254,20.181799997428833,0.6476863748198886,Matrix Size,2,9,30000,5000,1000,0.95,random,exponential,1.0
LSMR,4.736067860154435,253,19.97453947158227,0.6350415021662679,Matrix Size,2,10,30000,5000,1000,0.95,random,exponential,1.0
LSMR,7.56598108401522,236,19.757449334433968,0.6419860466723372,Matrix Size,3,1,25000,5000,1000,0.95,random,exponential,1.0
LSMR,6.7289116331376135,236,19.609976313106255,0.6488341187086356,Matrix Size,3,2,25000,5000,1000,0.95,random,exponential,1.0
LSMR,6.631981275044382,236,19.763835483381875,0.6467966873181533,Matrix Size,3,3,25000,5000,1000,0.95,random,exponential,1.0
LSMR,4.809788993792608,236,19.916402733868424,0.64157122085347,Matrix Size,3,4,25000,5000,1000,0.95,random,exponential,1.0
LSMR,3.588823983911425,236,20.049950241913972,0.6409515686622708,Matrix Size,3,5,25000,5000,1000,0.95,random,exponential,1.0
LSMR,3.572558962041512,236,19.896340528287055,0.6408747304599565,Matrix Size,3,6,25000,5000,1000,0.95,random,exponential,1.0
LSMR,3.551516229985282,235,19.785035820631546,0.6416515035208176,Matrix Size,3,7,25000,5000,1000,0.95,random,exponential,1.0
LSMR,3.5715361959300935,236,19.921294203153202,0.6338688337160334,Matrix Size,3,8,25000,5000,1000,0.95,random,exponential,1.0
LSMR,3.564933093963191,236,19.683134722769154,0.6600258501810501,Matrix Size,3,9,25000,5000,1000,0.95,random,exponential,1.0
LSMR,3.5533689809963107,235,19.709656031471944,0.6466879087889995,Matrix Size,3,10,25000,5000,1000,0.95,random,exponential,1.0
