Solver,Time (s),Iterations,Residual,Relative Error,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
LSQR,2.9048731378279626,232,19.451034917816028,0.657305588886923,Matrix Size,1,1,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.789889544248581,231,19.284458427036757,0.6621581398416199,Matrix Size,1,2,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.79954889183864,233,19.54688718793699,0.661094286211022,Matrix Size,1,3,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.7768834587186575,231,19.693819047035156,0.6546274544792844,Matrix Size,1,4,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.8187615969218314,232,19.857025811412967,0.6541009533225072,Matrix Size,1,5,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.796937594655901,233,19.624549989648187,0.6553858393465081,Matrix Size,1,6,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.7770676878280938,231,19.608589236834188,0.6552020275744893,Matrix Size,1,7,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.80821332288906,232,19.69310261101128,0.6472437910092371,Matrix Size,1,8,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.872769325040281,233,19.558885740096617,0.6715696210536943,Matrix Size,1,9,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.817791201174259,230,19.48167243523926,0.6603029919881657,Matrix Size,1,10,20000,5000,1000,0.95,random,exponential,1.0
LSQR,4.978326607029885,277,20.04683788176566,0.63118607445994,Matrix Size,2,1,30000,5000,1000,0.95,random,exponential,1.0
LSQR,4.9709563832730055,277,19.851469579600558,0.6382591525618704,Matrix Size,2,2,30000,5000,1000,0.95,random,exponential,1.0
LSQR,4.96420947695151,277,19.94647245507822,0.6364861880757813,Matrix Size,2,3,30000,5000,1000,0.95,random,exponential,1.0
LSQR,4.968821898568422,276,20.098506080584695,0.6302240516434556,Matrix Size,2,4,30000,5000,1000,0.95,random,exponential,1.0
LSQR,4.994427950121462,275,20.27394730330783,0.629629062743187,Matrix Size,2,5,30000,5000,1000,0.95,random,exponential,1.0
LSQR,5.036275684833527,278,19.935617488665688,0.6311014003164539,Matrix Size,2,6,30000,5000,1000,0.95,random,exponential,1.0
LSQR,4.950371790677309,277,20.066267503950797,0.6299695783814737,Matrix Size,2,7,30000,5000,1000,0.95,random,exponential,1.0
LSQR,4.952598548028618,276,20.170943132975353,0.6225701366210102,Matrix Size,2,8,30000,5000,1000,0.95,random,exponential,1.0
LSQR,4.982516802847385,276,20.18179994770591,0.647685799875266,Matrix Size,2,9,30000,5000,1000,0.95,random,exponential,1.0
LSQR,4.934375865850598,275,19.974539421972064,0.6350409222831384,Matrix Size,2,10,30000,5000,1000,0.95,random,exponential,1.0
LSQR,3.866170866880566,255,19.757449296132382,0.641985548624202,Matrix Size,3,1,25000,5000,1000,0.95,random,exponential,1.0
LSQR,3.834362642839551,255,19.60997628193309,0.6488336460278721,Matrix Size,3,2,25000,5000,1000,0.95,random,exponential,1.0
LSQR,3.8520853999070823,256,19.763835446062217,0.6467961794506587,Matrix Size,3,3,25000,5000,1000,0.95,random,exponential,1.0
LSQR,3.8487666533328593,255,19.91640269702395,0.6415707168382442,Matrix Size,3,4,25000,5000,1000,0.95,random,exponential,1.0
LSQR,3.8500906280241907,255,20.049950204448166,0.6409510681394662,Matrix Size,3,5,25000,5000,1000,0.95,random,exponential,1.0
LSQR,3.833734236191958,256,19.896340489026933,0.6408742143559399,Matrix Size,3,6,25000,5000,1000,0.95,random,exponential,1.0
LSQR,3.7881575780920684,253,19.785035783552445,0.6416510176185279,Matrix Size,3,7,25000,5000,1000,0.95,random,exponential,1.0
LSQR,3.854687647894025,256,19.921294161391103,0.6338683127604837,Matrix Size,3,8,25000,5000,1000,0.95,random,exponential,1.0
LSQR,3.8171556307934225,256,19.683134679659194,0.6600253530721039,Matrix Size,3,9,25000,5000,1000,0.95,random,exponential,1.0
LSQR,3.7910557719878852,254,19.709655997459603,0.6466874304125395,Matrix Size,3,10,25000,5000,1000,0.95,random,exponential,1.0
