Solver,Time (s),Iterations,Residual,Relative Error,Info,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
CG,2.8125746701844037,235,19.45103491650529,0.6573055754264918,0,Sparsity Pattern,1,1,20000,5000,1000,0.95,random,exponential,1.0
CG,2.797589085996151,236,19.284458428443976,0.6621581181236659,0,Sparsity Pattern,1,2,20000,5000,1000,0.95,random,exponential,1.0
CG,2.839094373397529,237,19.546887181900114,0.6610942675329341,0,Sparsity Pattern,1,3,20000,5000,1000,0.95,random,exponential,1.0
CG,2.7877220399677753,235,19.693819043751347,0.6546274380335309,0,Sparsity Pattern,1,4,20000,5000,1000,0.95,random,exponential,1.0
CG,2.8058612127788365,236,19.857025816332907,0.6541009356023826,0,Sparsity Pattern,1,5,20000,5000,1000,0.95,random,exponential,1.0
CG,2.8046150780282915,235,19.62454999027226,0.6553858296606487,0,Sparsity Pattern,1,6,20000,5000,1000,0.95,random,exponential,1.0
CG,2.787690189201385,235,19.608589237294506,0.6552020085397593,0,Sparsity Pattern,1,7,20000,5000,1000,0.95,random,exponential,1.0
CG,2.8102293107658625,237,19.693102610382002,0.6472437676977864,0,Sparsity Pattern,1,8,20000,5000,1000,0.95,random,exponential,1.0
CG,2.7966905548237264,236,19.558885740236455,0.6715696073363024,0,Sparsity Pattern,1,9,20000,5000,1000,0.95,random,exponential,1.0
CG,2.776929039042443,235,19.481672432614893,0.6603029677522081,0,Sparsity Pattern,1,10,20000,5000,1000,0.95,random,exponential,1.0
CG,2.9321592347696424,267,19.531961633770436,0.6567756928873708,0,Sparsity Pattern,2,1,20000,5000,1000,0.95,banded,exponential,1.0
CG,2.9339419389143586,266,19.49881946953921,0.6625413436342491,0,Sparsity Pattern,2,2,20000,5000,1000,0.95,banded,exponential,1.0
CG,2.95122673176229,268,19.603846770239006,0.6612212418941766,0,Sparsity Pattern,2,3,20000,5000,1000,0.95,banded,exponential,1.0
CG,2.9073683749884367,264,19.85990524387378,0.6530152711774105,0,Sparsity Pattern,2,4,20000,5000,1000,0.95,banded,exponential,1.0
CG,2.9350177720189095,267,20.079116207388665,0.6523476468139185,0,Sparsity Pattern,2,5,20000,5000,1000,0.95,banded,exponential,1.0
CG,2.941520595923066,267,19.72642873141621,0.6535586853950215,0,Sparsity Pattern,2,6,20000,5000,1000,0.95,banded,exponential,1.0
CG,3.051022782921791,265,19.740324289036455,0.6547500455911595,0,Sparsity Pattern,2,7,20000,5000,1000,0.95,banded,exponential,1.0
CG,2.9132269001565874,265,19.89518758598513,0.6477081666233105,0,Sparsity Pattern,2,8,20000,5000,1000,0.95,banded,exponential,1.0
CG,2.924665390048176,265,19.856101406133174,0.6709896992492436,0,Sparsity Pattern,2,9,20000,5000,1000,0.95,banded,exponential,1.0
CG,2.9371465132571757,267,19.60165115529399,0.6596223954377466,0,Sparsity Pattern,2,10,20000,5000,1000,0.95,banded,exponential,1.0
CG,2.880010379012674,260,19.42242472151808,0.6598589959267583,0,Sparsity Pattern,3,1,20000,5000,1000,0.95,block,exponential,1.0
CG,2.9543864862062037,258,19.531699807339372,0.6653411108685192,0,Sparsity Pattern,3,2,20000,5000,1000,0.95,block,exponential,1.0
CG,2.778033894021064,251,19.409071553791254,0.6634859639222018,0,Sparsity Pattern,3,3,20000,5000,1000,0.95,block,exponential,1.0
CG,2.930802628863603,265,19.69428975635592,0.6568240957903007,0,Sparsity Pattern,3,4,20000,5000,1000,0.95,block,exponential,1.0
CG,2.818992465734482,255,19.92621785323595,0.6576133851183733,0,Sparsity Pattern,3,5,20000,5000,1000,0.95,block,exponential,1.0
CG,2.866469823755324,259,19.694551117994205,0.6559107911320649,0,Sparsity Pattern,3,6,20000,5000,1000,0.95,block,exponential,1.0
CG,2.9523353800177574,267,19.481982868670688,0.6540563788425948,0,Sparsity Pattern,3,7,20000,5000,1000,0.95,block,exponential,1.0
CG,2.791458577848971,250,19.6140357323239,0.6516559027771918,0,Sparsity Pattern,3,8,20000,5000,1000,0.95,block,exponential,1.0
CG,2.642621642909944,237,19.416766876277414,0.6771966253083495,0,Sparsity Pattern,3,9,20000,5000,1000,0.95,block,exponential,1.0
CG,2.9958009347319603,269,19.574627719462157,0.6589685995216157,0,Sparsity Pattern,3,10,20000,5000,1000,0.95,block,exponential,1.0
