Solver,Time (s),Iterations,Residual,Relative Error,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
Direct,17.81147202383727,1,19.451034916273507,0.65730550775194,Sparsity Pattern,1,1,20000,5000,1000,0.95,random,exponential,1.0
Direct,18.17505214223638,1,19.28445842747928,0.6621580598522344,Sparsity Pattern,1,2,20000,5000,1000,0.95,random,exponential,1.0
Direct,18.10260957106948,1,19.546887186350563,0.6610942059639769,Sparsity Pattern,1,3,20000,5000,1000,0.95,random,exponential,1.0
Direct,18.053152833133936,1,19.693819043848404,0.6546273781329489,Sparsity Pattern,1,4,20000,5000,1000,0.95,random,exponential,1.0
Direct,18.152595883235335,1,19.857025813778332,0.6541008730413926,Sparsity Pattern,1,5,20000,5000,1000,0.95,random,exponential,1.0
Direct,18.03662590822205,1,19.6245499902254,0.655385763873653,Sparsity Pattern,1,6,20000,5000,1000,0.95,random,exponential,1.0
Direct,18.66016097739339,1,19.608589237559396,0.6552019479075348,Sparsity Pattern,1,7,20000,5000,1000,0.95,random,exponential,1.0
Direct,17.769918684847653,1,19.693102609271996,0.6472437100450422,Sparsity Pattern,1,8,20000,5000,1000,0.95,random,exponential,1.0
Direct,17.77432258427143,1,19.558885739730993,0.6715695441017391,Sparsity Pattern,1,9,20000,5000,1000,0.95,random,exponential,1.0
Direct,17.701963585801423,1,19.481672432131525,0.6603029083811305,Sparsity Pattern,1,10,20000,5000,1000,0.95,random,exponential,1.0
Direct,5.1557692140340805,1,19.5319616354634,0.6567756404883688,Sparsity Pattern,2,1,20000,5000,1000,0.95,banded,exponential,1.0
Direct,5.151938290800899,1,19.498819469590753,0.6625412813240459,Sparsity Pattern,2,2,20000,5000,1000,0.95,banded,exponential,1.0
Direct,5.1427295776084065,1,19.60384676943434,0.6612211842937963,Sparsity Pattern,2,3,20000,5000,1000,0.95,banded,exponential,1.0
Direct,5.126896522007883,1,19.859905243249656,0.6530152022975522,Sparsity Pattern,2,4,20000,5000,1000,0.95,banded,exponential,1.0
Direct,5.136131044011563,1,20.07911620325202,0.6523475870100702,Sparsity Pattern,2,5,20000,5000,1000,0.95,banded,exponential,1.0
Direct,5.1556048430502415,1,19.726428730256178,0.6535586214967398,Sparsity Pattern,2,6,20000,5000,1000,0.95,banded,exponential,1.0
Direct,5.152045540045947,1,19.740324289248754,0.6547499810822004,Sparsity Pattern,2,7,20000,5000,1000,0.95,banded,exponential,1.0
Direct,5.154915983323008,1,19.895187585292547,0.6477081086571498,Sparsity Pattern,2,8,20000,5000,1000,0.95,banded,exponential,1.0
Direct,5.130406106822193,1,19.856101403779437,0.6709896366370699,Sparsity Pattern,2,9,20000,5000,1000,0.95,banded,exponential,1.0
Direct,5.142789795994759,1,19.60165115747837,0.6596223382435532,Sparsity Pattern,2,10,20000,5000,1000,0.95,banded,exponential,1.0
Direct,14.535112033132464,1,19.422424722608586,0.6598589271278236,Sparsity Pattern,3,1,20000,5000,1000,0.95,block,exponential,1.0
Direct,14.492116595152766,1,19.531699806013695,0.6653410523555018,Sparsity Pattern,3,2,20000,5000,1000,0.95,block,exponential,1.0
Direct,14.53842471120879,1,19.40907155076677,0.6634859029812045,Sparsity Pattern,3,3,20000,5000,1000,0.95,block,exponential,1.0
Direct,14.270347676239908,1,19.694289756298513,0.6568240393884242,Sparsity Pattern,3,4,20000,5000,1000,0.95,block,exponential,1.0
Direct,14.568689225241542,1,19.92621785537431,0.6576133236136028,Sparsity Pattern,3,5,20000,5000,1000,0.95,block,exponential,1.0
Direct,14.227313466835767,1,19.69455111412262,0.6559107241102053,Sparsity Pattern,3,6,20000,5000,1000,0.95,block,exponential,1.0
Direct,14.425478189717978,1,19.481982868118845,0.6540563183733763,Sparsity Pattern,3,7,20000,5000,1000,0.95,block,exponential,1.0
Direct,14.42492379527539,1,19.614035732464426,0.6516558460684116,Sparsity Pattern,3,8,20000,5000,1000,0.95,block,exponential,1.0
Direct,14.596677279099822,1,19.416766876040587,0.6771965634719834,Sparsity Pattern,3,9,20000,5000,1000,0.95,block,exponential,1.0
Direct,14.744253403041512,1,19.574627721605786,0.6589685402639405,Sparsity Pattern,3,10,20000,5000,1000,0.95,block,exponential,1.0
