Solver,Time (s),Iterations,Residual,Relative Error,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
LSMR,2.62467643013224,216,19.45103494385431,0.6573059815092649,Sparsity Pattern,1,1,20000,5000,1000,0.95,random,exponential,1.0
LSMR,2.593791408929974,215,19.284458454389025,0.6621585415829284,Sparsity Pattern,1,2,20000,5000,1000,0.95,random,exponential,1.0
LSMR,2.612633993383497,216,19.546887215758723,0.6610947001125509,Sparsity Pattern,1,3,20000,5000,1000,0.95,random,exponential,1.0
LSMR,2.5767351468093693,214,19.693819073341572,0.654627863329948,Sparsity Pattern,1,4,20000,5000,1000,0.95,random,exponential,1.0
LSMR,2.638989627826959,215,19.857025843944285,0.6541013666501118,Sparsity Pattern,1,5,20000,5000,1000,0.95,random,exponential,1.0
LSMR,2.5973262041807175,215,19.62455001973098,0.6553862452207424,Sparsity Pattern,1,6,20000,5000,1000,0.95,random,exponential,1.0
LSMR,2.5858113639988005,215,19.60858926597817,0.6552024287778314,Sparsity Pattern,1,7,20000,5000,1000,0.95,random,exponential,1.0
LSMR,2.5991779286414385,216,19.693102636753185,0.6472442000610708,Sparsity Pattern,1,8,20000,5000,1000,0.95,random,exponential,1.0
LSMR,2.616415002848953,216,19.558885766840305,0.6715700112821152,Sparsity Pattern,1,9,20000,5000,1000,0.95,random,exponential,1.0
LSMR,2.6348530831746757,214,19.481672459281324,0.6603033973044751,Sparsity Pattern,1,10,20000,5000,1000,0.95,random,exponential,1.0
LSMR,2.6787215750664473,239,19.531961673795184,0.6567762102606088,Sparsity Pattern,2,1,20000,5000,1000,0.95,banded,exponential,1.0
LSMR,2.693773131351918,240,19.498819507673232,0.662541864318799,Sparsity Pattern,2,2,20000,5000,1000,0.95,banded,exponential,1.0
LSMR,2.6824244428426027,239,19.603846809729596,0.661221796873174,Sparsity Pattern,2,3,20000,5000,1000,0.95,banded,exponential,1.0
LSMR,2.680329884868115,239,19.859905283523293,0.6530157996671775,Sparsity Pattern,2,4,20000,5000,1000,0.95,banded,exponential,1.0
LSMR,2.669953909702599,240,20.079116241858205,0.6523481920018424,Sparsity Pattern,2,5,20000,5000,1000,0.95,banded,exponential,1.0
LSMR,2.672766816802323,240,19.726428771221613,0.6535592489949393,Sparsity Pattern,2,6,20000,5000,1000,0.95,banded,exponential,1.0
LSMR,2.6593510620296,239,19.740324327386993,0.654750570800718,Sparsity Pattern,2,7,20000,5000,1000,0.95,banded,exponential,1.0
LSMR,2.642908007837832,238,19.895187625968056,0.6477086856596125,Sparsity Pattern,2,8,20000,5000,1000,0.95,banded,exponential,1.0
LSMR,2.6681585968472064,240,19.856101440866397,0.6709901989618712,Sparsity Pattern,2,9,20000,5000,1000,0.95,banded,exponential,1.0
LSMR,2.6637152689509094,240,19.601651195026047,0.6596229242023383,Sparsity Pattern,2,10,20000,5000,1000,0.95,banded,exponential,1.0
LSMR,2.6485223812051117,236,19.42242475889914,0.659859478080231,Sparsity Pattern,3,1,20000,5000,1000,0.95,block,exponential,1.0
LSMR,2.6119334152899683,233,19.531699841998876,0.6653416078019856,Sparsity Pattern,3,2,20000,5000,1000,0.95,block,exponential,1.0
LSMR,2.5398059939034283,227,19.409071582483143,0.6634864259159906,Sparsity Pattern,3,3,20000,5000,1000,0.95,block,exponential,1.0
LSMR,2.66203988622874,238,19.694289796592034,0.6568246053873079,Sparsity Pattern,3,4,20000,5000,1000,0.95,block,exponential,1.0
LSMR,2.5849562590010464,231,19.92621789133708,0.6576138661391128,Sparsity Pattern,3,5,20000,5000,1000,0.95,block,exponential,1.0
LSMR,2.6355232130736113,235,19.6945511518718,0.6559113379567219,Sparsity Pattern,3,6,20000,5000,1000,0.95,block,exponential,1.0
LSMR,2.674355295021087,239,19.481982910664744,0.6540569150394342,Sparsity Pattern,3,7,20000,5000,1000,0.95,block,exponential,1.0
LSMR,2.533400050830096,226,19.614035765194902,0.651656372356625,Sparsity Pattern,3,8,20000,5000,1000,0.95,block,exponential,1.0
LSMR,2.450029952917248,217,19.416766905421365,0.6771970396377115,Sparsity Pattern,3,9,20000,5000,1000,0.95,block,exponential,1.0
LSMR,2.71479539712891,241,19.574627761943344,0.6589691407955266,Sparsity Pattern,3,10,20000,5000,1000,0.95,block,exponential,1.0
