Solver,Time (s),Iterations,Residual,Relative Error,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
LSQR,2.825622616102919,232,19.451034917816028,0.657305588886923,Sparsity Pattern,1,1,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.7864730509463698,231,19.284458427036757,0.6621581398416199,Sparsity Pattern,1,2,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.837614346994087,233,19.54688718793699,0.661094286211022,Sparsity Pattern,1,3,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.7891736910678446,231,19.693819047035156,0.6546274544792844,Sparsity Pattern,1,4,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.860176517162472,232,19.857025811412967,0.6541009533225072,Sparsity Pattern,1,5,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.816281706094742,233,19.624549989648187,0.6553858393465081,Sparsity Pattern,1,6,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.7720865891315043,231,19.608589236834188,0.6552020275744893,Sparsity Pattern,1,7,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.803556324914098,232,19.69310261101128,0.6472437910092371,Sparsity Pattern,1,8,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.821047187084332,233,19.558885740096617,0.6715696210536943,Sparsity Pattern,1,9,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.8036415360402316,230,19.48167243523926,0.6603029919881657,Sparsity Pattern,1,10,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.89653848297894,258,19.531961637242922,0.6567757295229707,Sparsity Pattern,2,1,20000,5000,1000,0.95,banded,exponential,1.0
LSQR,2.907239453867078,259,19.498819469160015,0.6625413750617277,Sparsity Pattern,2,2,20000,5000,1000,0.95,banded,exponential,1.0
LSQR,2.8824582679662853,259,19.603846769559905,0.6612212789561007,Sparsity Pattern,2,3,20000,5000,1000,0.95,banded,exponential,1.0
LSQR,2.8776320521719754,258,19.85990524294908,0.6530152976968411,Sparsity Pattern,2,4,20000,5000,1000,0.95,banded,exponential,1.0
LSQR,2.910487648099661,260,20.07911620326132,0.6523476782427423,Sparsity Pattern,2,5,20000,5000,1000,0.95,banded,exponential,1.0
LSQR,2.937439490109682,261,19.72642873601232,0.6535587137512072,Sparsity Pattern,2,6,20000,5000,1000,0.95,banded,exponential,1.0
LSQR,2.8893860990647227,260,19.740324292056595,0.6547500682320725,Sparsity Pattern,2,7,20000,5000,1000,0.95,banded,exponential,1.0
LSQR,2.8698054319247603,257,19.895187586864765,0.6477081999940493,Sparsity Pattern,2,8,20000,5000,1000,0.95,banded,exponential,1.0
LSQR,2.907007456989959,260,19.856101408754135,0.6709897221329609,Sparsity Pattern,2,9,20000,5000,1000,0.95,banded,exponential,1.0
LSQR,2.9062455610837787,259,19.60165115764427,0.6596224284354728,Sparsity Pattern,2,10,20000,5000,1000,0.95,banded,exponential,1.0
LSQR,2.88367360108532,256,19.42242472084658,0.6598590124923164,Sparsity Pattern,3,1,20000,5000,1000,0.95,block,exponential,1.0
LSQR,2.8427133050281554,253,19.531699811912492,0.6653411313613385,Sparsity Pattern,3,2,20000,5000,1000,0.95,block,exponential,1.0
LSQR,2.750109408982098,245,19.409071553705353,0.6634859905756341,Sparsity Pattern,3,3,20000,5000,1000,0.95,block,exponential,1.0
LSQR,2.917579405941069,258,19.69428975385484,0.6568241263040865,Sparsity Pattern,3,4,20000,5000,1000,0.95,block,exponential,1.0
LSQR,2.8141005688812584,249,19.92621785141528,0.6576134116416874,Sparsity Pattern,3,5,20000,5000,1000,0.95,block,exponential,1.0
LSQR,2.872148434864357,255,19.694551121747345,0.6559108100961472,Sparsity Pattern,3,6,20000,5000,1000,0.95,block,exponential,1.0
LSQR,2.919376209843904,259,19.4819828734147,0.6540564164025661,Sparsity Pattern,3,7,20000,5000,1000,0.95,block,exponential,1.0
LSQR,2.7418665611185133,244,19.61403573225613,0.6516559293395766,Sparsity Pattern,3,8,20000,5000,1000,0.95,block,exponential,1.0
LSQR,2.6138738631270826,234,19.416766878131806,0.6771966392918715,Sparsity Pattern,3,9,20000,5000,1000,0.95,block,exponential,1.0
LSQR,2.921710968017578,260,19.574627714392417,0.6589686392035259,Sparsity Pattern,3,10,20000,5000,1000,0.95,block,exponential,1.0
