Solver,Time (s),Iterations,Residual,Relative Error,Info,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
CG,7.924681321252137,318,20.30193998710967,0.6176732129715982,0,Sparsity,1,1,20000,5000,1000,0.9,random,exponential,1.0
CG,7.910664459690452,322,20.090978801190293,0.6254040046660007,0,Sparsity,1,2,20000,5000,1000,0.9,random,exponential,1.0
CG,7.906954921782017,321,20.273524744184737,0.6232828661784041,0,Sparsity,1,3,20000,5000,1000,0.9,random,exponential,1.0
CG,7.825274606235325,319,20.3265050788665,0.6175964830321393,0,Sparsity,1,4,20000,5000,1000,0.9,random,exponential,1.0
CG,7.904186146333814,321,20.498134851277186,0.6167260975046445,0,Sparsity,1,5,20000,5000,1000,0.9,random,exponential,1.0
CG,7.80131599586457,318,20.19447964661686,0.6176530983557714,0,Sparsity,1,6,20000,5000,1000,0.9,random,exponential,1.0
CG,7.940210911910981,322,20.19873714521729,0.6185777130503495,0,Sparsity,1,7,20000,5000,1000,0.9,random,exponential,1.0
CG,7.899784019216895,322,20.300912615732422,0.6096624617720542,0,Sparsity,1,8,20000,5000,1000,0.9,random,exponential,1.0
CG,7.799851367250085,317,20.421655673906912,0.6367912906115306,0,Sparsity,1,9,20000,5000,1000,0.9,random,exponential,1.0
CG,7.793249132111669,318,20.128531992536704,0.6224288740846213,0,Sparsity,1,10,20000,5000,1000,0.9,random,exponential,1.0
CG,2.8116726470179856,235,19.45103491650529,0.6573055754264918,0,Sparsity,2,1,20000,5000,1000,0.95,random,exponential,1.0
CG,2.81150387506932,236,19.284458428443976,0.6621581181236659,0,Sparsity,2,2,20000,5000,1000,0.95,random,exponential,1.0
CG,2.837413480039686,237,19.546887181900114,0.6610942675329341,0,Sparsity,2,3,20000,5000,1000,0.95,random,exponential,1.0
CG,2.8118950510397553,235,19.693819043751347,0.6546274380335309,0,Sparsity,2,4,20000,5000,1000,0.95,random,exponential,1.0
CG,2.81296603474766,236,19.857025816332907,0.6541009356023826,0,Sparsity,2,5,20000,5000,1000,0.95,random,exponential,1.0
CG,2.8212021719664335,235,19.62454999027226,0.6553858296606487,0,Sparsity,2,6,20000,5000,1000,0.95,random,exponential,1.0
CG,2.83877722825855,235,19.608589237294506,0.6552020085397593,0,Sparsity,2,7,20000,5000,1000,0.95,random,exponential,1.0
