Solver,Time (s),Iterations,Residual,Relative Error,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
Direct,29.829926770180464,1,20.301939985745705,0.617673100178021,Sparsity,1,1,20000,5000,1000,0.9,random,exponential,1.0
Direct,29.681041643954813,1,20.09097879815934,0.6254039108864639,Sparsity,1,2,20000,5000,1000,0.9,random,exponential,1.0
Direct,30.67672843299806,1,20.273524741178658,0.6232827683473676,Sparsity,1,3,20000,5000,1000,0.9,random,exponential,1.0
Direct,30.195760729257017,1,20.32650507745181,0.6175963753886721,Sparsity,1,4,20000,5000,1000,0.9,random,exponential,1.0
Direct,28.360915889963508,1,20.498134859348617,0.6167260011821404,Sparsity,1,5,20000,5000,1000,0.9,random,exponential,1.0
Direct,29.155619143042713,1,20.19447964601675,0.6176529939845286,Sparsity,1,6,20000,5000,1000,0.9,random,exponential,1.0
Direct,29.29257396236062,1,20.19873714118557,0.6185776116712296,Sparsity,1,7,20000,5000,1000,0.9,random,exponential,1.0
Direct,29.22797914594412,1,20.300912614690446,0.6096623693470656,Sparsity,1,8,20000,5000,1000,0.9,random,exponential,1.0
Direct,29.286778947804123,1,20.421655672045823,0.6367911846368043,Sparsity,1,9,20000,5000,1000,0.9,random,exponential,1.0
Direct,29.294621030334383,1,20.128531992854004,0.6224287728937709,Sparsity,1,10,20000,5000,1000,0.9,random,exponential,1.0
Direct,18.169513248372823,1,19.451034916273507,0.65730550775194,Sparsity,2,1,20000,5000,1000,0.95,random,exponential,1.0
Direct,18.175465742126107,1,19.28445842747928,0.6621580598522344,Sparsity,2,2,20000,5000,1000,0.95,random,exponential,1.0
Direct,18.17662728810683,1,19.546887186350563,0.6610942059639769,Sparsity,2,3,20000,5000,1000,0.95,random,exponential,1.0
Direct,18.195475702174008,1,19.693819043848404,0.6546273781329489,Sparsity,2,4,20000,5000,1000,0.95,random,exponential,1.0
Direct,18.152710310183465,1,19.857025813778332,0.6541008730413926,Sparsity,2,5,20000,5000,1000,0.95,random,exponential,1.0
Direct,17.46710539981723,1,19.6245499902254,0.655385763873653,Sparsity,2,6,20000,5000,1000,0.95,random,exponential,1.0
Direct,17.428302194923162,1,19.608589237559396,0.6552019479075348,Sparsity,2,7,20000,5000,1000,0.95,random,exponential,1.0
Direct,17.5476215579547,1,19.693102609271996,0.6472437100450422,Sparsity,2,8,20000,5000,1000,0.95,random,exponential,1.0
Direct,17.376701510045677,1,19.558885739730993,0.6715695441017391,Sparsity,2,9,20000,5000,1000,0.95,random,exponential,1.0
Direct,18.942290478851646,1,19.481672432131525,0.6603029083811305,Sparsity,2,10,20000,5000,1000,0.95,random,exponential,1.0
Direct,14.889144892804325,1,19.085218796705107,0.702018357725879,Sparsity,3,1,20000,5000,1000,0.98,random,exponential,1.0
Direct,14.541263984981924,1,18.706112755746954,0.7096280272069959,Sparsity,3,2,20000,5000,1000,0.98,random,exponential,1.0
Direct,14.616606451105326,1,19.10377391767995,0.70662896671404,Sparsity,3,3,20000,5000,1000,0.98,random,exponential,1.0
Direct,14.538549969904125,1,19.361179673443434,0.7038864110143433,Sparsity,3,4,20000,5000,1000,0.98,random,exponential,1.0
Direct,14.696377662941813,1,19.577779383422772,0.7031063961588148,Sparsity,3,5,20000,5000,1000,0.98,random,exponential,1.0
Direct,14.625716580078006,1,19.328685805830496,0.7024144968622341,Sparsity,3,6,20000,5000,1000,0.98,random,exponential,1.0
Direct,14.62579025235027,1,19.247509046529018,0.7000828037860837,Sparsity,3,7,20000,5000,1000,0.98,random,exponential,1.0
Direct,14.557815412990749,1,19.43361296470226,0.6946267359138225,Sparsity,3,8,20000,5000,1000,0.98,random,exponential,1.0
Direct,14.638100608251989,1,19.016803931883786,0.7155985334614466,Sparsity,3,9,20000,5000,1000,0.98,random,exponential,1.0
Direct,14.743386737070978,1,19.103521341147108,0.708126284411326,Sparsity,3,10,20000,5000,1000,0.98,random,exponential,1.0
Direct,13.624917454086244,1,18.98795864425176,0.7364623748648881,Sparsity,4,1,20000,5000,1000,0.99,random,exponential,1.0
Direct,13.659573642071337,1,18.4680996754788,0.7440453786531688,Sparsity,4,2,20000,5000,1000,0.99,random,exponential,1.0
Direct,13.496706715784967,1,19.062965186060186,0.7427143234281844,Sparsity,4,3,20000,5000,1000,0.99,random,exponential,1.0
Direct,13.583163488190621,1,19.251309859931254,0.7375655988573658,Sparsity,4,4,20000,5000,1000,0.99,random,exponential,1.0
Direct,13.485300712287426,1,19.38872411904915,0.7383574422050356,Sparsity,4,5,20000,5000,1000,0.99,random,exponential,1.0
Direct,13.541660342831165,1,19.25091533723952,0.7374198054733202,Sparsity,4,6,20000,5000,1000,0.99,random,exponential,1.0
Direct,13.568811666686088,1,19.100219346249958,0.7337900379675251,Sparsity,4,7,20000,5000,1000,0.99,random,exponential,1.0
Direct,13.516661597881466,1,19.263872029014657,0.7310164937387366,Sparsity,4,8,20000,5000,1000,0.99,random,exponential,1.0
Direct,13.537946418859065,1,18.731465797196126,0.7479265476839515,Sparsity,4,9,20000,5000,1000,0.99,random,exponential,1.0
