Solver,Time (s),Iterations,Residual,Relative Error,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
LSMR,7.376619551097974,291,20.301940061431107,0.6176739265746968,Sparsity,1,1,20000,5000,1000,0.9,random,exponential,1.0
LSMR,7.258896080078557,291,20.090978872489273,0.625404745908025,Sparsity,1,2,20000,5000,1000,0.9,random,exponential,1.0
LSMR,7.286627240944654,292,20.27352481558423,0.6232835888284539,Sparsity,1,3,20000,5000,1000,0.9,random,exponential,1.0
LSMR,7.194977384060621,290,20.326505151462847,0.6175972396428411,Sparsity,1,4,20000,5000,1000,0.9,random,exponential,1.0
LSMR,7.191975771915168,290,20.498134935806515,0.6167268690476155,Sparsity,1,5,20000,5000,1000,0.9,random,exponential,1.0
LSMR,7.157621051184833,289,20.19447972355954,0.6176538476626938,Sparsity,1,6,20000,5000,1000,0.9,random,exponential,1.0
LSMR,7.24925521784462,292,20.198737218346736,0.6185784750969936,Sparsity,1,7,20000,5000,1000,0.9,random,exponential,1.0
LSMR,7.198013677960262,290,20.30091269604734,0.6096632636584454,Sparsity,1,8,20000,5000,1000,0.9,random,exponential,1.0
LSMR,7.194011488929391,290,20.421655746501685,0.6367919850390752,Sparsity,1,9,20000,5000,1000,0.9,random,exponential,1.0
LSMR,7.158907698001713,289,20.128532066500483,0.6224295996182364,Sparsity,1,10,20000,5000,1000,0.9,random,exponential,1.0
LSMR,2.6172924858983606,216,19.45103494385431,0.6573059815092649,Sparsity,2,1,20000,5000,1000,0.95,random,exponential,1.0
LSMR,2.608146399958059,215,19.284458454389025,0.6621585415829284,Sparsity,2,2,20000,5000,1000,0.95,random,exponential,1.0
LSMR,2.618785782949999,216,19.546887215758723,0.6610947001125509,Sparsity,2,3,20000,5000,1000,0.95,random,exponential,1.0
LSMR,2.605632910039276,214,19.693819073341572,0.654627863329948,Sparsity,2,4,20000,5000,1000,0.95,random,exponential,1.0
LSMR,2.614925896981731,215,19.857025843944285,0.6541013666501118,Sparsity,2,5,20000,5000,1000,0.95,random,exponential,1.0
LSMR,2.598100849892944,215,19.62455001973098,0.6553862452207424,Sparsity,2,6,20000,5000,1000,0.95,random,exponential,1.0
LSMR,2.613172349985689,215,19.60858926597817,0.6552024287778314,Sparsity,2,7,20000,5000,1000,0.95,random,exponential,1.0
LSMR,2.617312756134197,216,19.693102636753185,0.6472442000610708,Sparsity,2,8,20000,5000,1000,0.95,random,exponential,1.0
LSMR,2.62728982581757,216,19.558885766840305,0.6715700112821152,Sparsity,2,9,20000,5000,1000,0.95,random,exponential,1.0
LSMR,2.6065204138867557,214,19.481672459281324,0.6603033973044751,Sparsity,2,10,20000,5000,1000,0.95,random,exponential,1.0
LSMR,0.7193188760429621,146,19.085218803880746,0.702018579409413,Sparsity,3,1,20000,5000,1000,0.98,random,exponential,1.0
LSMR,0.7116195559501648,145,18.706112763529333,0.7096282558645814,Sparsity,3,2,20000,5000,1000,0.98,random,exponential,1.0
LSMR,0.7147742579691112,145,19.10377392627612,0.7066291918458969,Sparsity,3,3,20000,5000,1000,0.98,random,exponential,1.0
LSMR,0.7539786361157894,147,19.361179680600653,0.7038866181197111,Sparsity,3,4,20000,5000,1000,0.98,random,exponential,1.0
LSMR,0.7135247041005641,145,19.57777939145784,0.7031066283835502,Sparsity,3,5,20000,5000,1000,0.98,random,exponential,1.0
LSMR,0.7225481988862157,146,19.328685813686164,0.7024147317542271,Sparsity,3,6,20000,5000,1000,0.98,random,exponential,1.0
LSMR,0.7115305559709668,145,19.24750905568604,0.7000830301486825,Sparsity,3,7,20000,5000,1000,0.98,random,exponential,1.0
LSMR,0.7341392762027681,146,19.433612972663298,0.6946269693509086,Sparsity,3,8,20000,5000,1000,0.98,random,exponential,1.0
LSMR,0.7265836750157177,146,19.016803936834645,0.7155987556595192,Sparsity,3,9,20000,5000,1000,0.98,random,exponential,1.0
LSMR,0.7196383280679584,146,19.103521348473816,0.7081265130251316,Sparsity,3,10,20000,5000,1000,0.98,random,exponential,1.0
LSMR,0.27604757295921445,110,18.987958647293265,0.7364624945522488,Sparsity,4,1,20000,5000,1000,0.99,random,exponential,1.0
LSMR,0.27588156308047473,110,18.468099679676182,0.7440455069873078,Sparsity,4,2,20000,5000,1000,0.99,random,exponential,1.0
LSMR,0.27217912790365517,109,19.06296518924788,0.7427144539501556,Sparsity,4,3,20000,5000,1000,0.99,random,exponential,1.0
LSMR,0.27235735999420285,109,19.251309862435736,0.7375657150193269,Sparsity,4,4,20000,5000,1000,0.99,random,exponential,1.0
LSMR,0.27884018514305353,110,19.388724121815706,0.7383575608509058,Sparsity,4,5,20000,5000,1000,0.99,random,exponential,1.0
LSMR,0.2697473280131817,108,19.250915337379084,0.7374199168482273,Sparsity,4,6,20000,5000,1000,0.99,random,exponential,1.0
LSMR,0.2681847729254514,107,19.10021934889736,0.7337901600396253,Sparsity,4,7,20000,5000,1000,0.99,random,exponential,1.0
LSMR,0.27566991304047406,110,19.263872032821062,0.7310166253455107,Sparsity,4,8,20000,5000,1000,0.99,random,exponential,1.0
LSMR,0.2693373770453036,108,18.73146580027431,0.7479266803030603,Sparsity,4,9,20000,5000,1000,0.99,random,exponential,1.0
LSMR,0.2709334141109139,108,18.898253976173763,0.7434586880371092,Sparsity,4,10,20000,5000,1000,0.99,random,exponential,1.0
LSMR,0.036198484944179654,46,18.419807226316532,0.843559999365031,Sparsity,5,1,20000,5000,1000,0.999,random,exponential,1.0
LSMR,0.03497914900071919,44,18.22563616760122,0.8470778379351168,Sparsity,5,2,20000,5000,1000,0.999,random,exponential,1.0
