Solver,Time (s),Iterations,Residual,Relative Error,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
LSQR,9.616498277056962,317,20.301939990506348,0.6176732182543878,Sparsity,1,1,20000,5000,1000,0.9,random,exponential,1.0
LSQR,7.918548608198762,320,20.09097880527265,0.6254040162218434,Sparsity,1,2,20000,5000,1000,0.9,random,exponential,1.0
LSQR,7.8734434437938035,319,20.27352474335187,0.623282876365294,Sparsity,1,3,20000,5000,1000,0.9,random,exponential,1.0
LSQR,7.836399294901639,317,20.326505075346283,0.6175964933373548,Sparsity,1,4,20000,5000,1000,0.9,random,exponential,1.0
LSQR,7.842192546930164,317,20.498134853568622,0.6167261177702311,Sparsity,1,5,20000,5000,1000,0.9,random,exponential,1.0
LSQR,7.762582633178681,315,20.194479642757162,0.6176531133688593,Sparsity,1,6,20000,5000,1000,0.9,random,exponential,1.0
LSQR,7.887881570961326,318,20.19873714055028,0.6185777347939094,Sparsity,1,7,20000,5000,1000,0.9,random,exponential,1.0
LSQR,7.804392006248236,316,20.300912613739367,0.6096624931846674,Sparsity,1,8,20000,5000,1000,0.9,random,exponential,1.0
LSQR,7.825652372092009,316,20.421655675910557,0.6367912963548336,Sparsity,1,9,20000,5000,1000,0.9,random,exponential,1.0
LSQR,7.841866272967309,315,20.128531992504957,0.6224288908411103,Sparsity,1,10,20000,5000,1000,0.9,random,exponential,1.0
LSQR,2.8195468191988766,232,19.451034917816028,0.657305588886923,Sparsity,2,1,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.8036189218983054,231,19.284458427036757,0.6621581398416199,Sparsity,2,2,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.828193911816925,233,19.54688718793699,0.661094286211022,Sparsity,2,3,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.798191402107477,231,19.693819047035156,0.6546274544792844,Sparsity,2,4,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.889922514092177,232,19.857025811412967,0.6541009533225072,Sparsity,2,5,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.83451456297189,233,19.624549989648187,0.6553858393465081,Sparsity,2,6,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.813866996206343,231,19.608589236834188,0.6552020275744893,Sparsity,2,7,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.8159845443442464,232,19.69310261101128,0.6472437910092371,Sparsity,2,8,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.8228124920278788,233,19.558885740096617,0.6715696210536943,Sparsity,2,9,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.79612588416785,230,19.48167243523926,0.6603029919881657,Sparsity,2,10,20000,5000,1000,0.95,random,exponential,1.0
LSQR,0.7549486700445414,154,19.085218795497777,0.7020184051765797,Sparsity,3,1,20000,5000,1000,0.98,random,exponential,1.0
LSQR,0.7448735190555453,154,18.706112757403034,0.7096280720054026,Sparsity,3,2,20000,5000,1000,0.98,random,exponential,1.0
LSQR,0.7436847146600485,153,19.103773915404243,0.7066290169108901,Sparsity,3,3,20000,5000,1000,0.98,random,exponential,1.0
LSQR,0.7627397221513093,155,19.361179673459052,0.7038864564404257,Sparsity,3,4,20000,5000,1000,0.98,random,exponential,1.0
LSQR,0.7596648107282817,154,19.577779384730707,0.7031064440593325,Sparsity,3,5,20000,5000,1000,0.98,random,exponential,1.0
LSQR,0.7563887699507177,155,19.32868581741852,0.7024145460268147,Sparsity,3,6,20000,5000,1000,0.98,random,exponential,1.0
LSQR,0.7646166356280446,154,19.247509048435713,0.7000828501280496,Sparsity,3,7,20000,5000,1000,0.98,random,exponential,1.0
LSQR,0.7832612581551075,156,19.43361296464655,0.694626779048796,Sparsity,3,8,20000,5000,1000,0.98,random,exponential,1.0
LSQR,0.7697996231727302,153,19.01680393184042,0.7155985862783311,Sparsity,3,9,20000,5000,1000,0.98,random,exponential,1.0
LSQR,0.7648357478901744,154,19.103521341990067,0.7081263331838472,Sparsity,3,10,20000,5000,1000,0.98,random,exponential,1.0
LSQR,0.2904719952493906,115,18.987958644262733,0.736462405756539,Sparsity,4,1,20000,5000,1000,0.99,random,exponential,1.0
LSQR,0.2988205230794847,115,18.46809967371339,0.7440454116629894,Sparsity,4,2,20000,5000,1000,0.99,random,exponential,1.0
LSQR,0.2987113920971751,115,19.062965186119897,0.7427143509849009,Sparsity,4,3,20000,5000,1000,0.99,random,exponential,1.0
LSQR,0.29167976090684533,113,19.251309860032613,0.7375656323531364,Sparsity,4,4,20000,5000,1000,0.99,random,exponential,1.0
LSQR,0.29084185883402824,116,19.388724120627117,0.7383574686569448,Sparsity,4,5,20000,5000,1000,0.99,random,exponential,1.0
LSQR,0.2833275515586138,113,19.2509153383396,0.7374198354540887,Sparsity,4,6,20000,5000,1000,0.99,random,exponential,1.0
LSQR,0.28742918418720365,112,19.100219346249407,0.7337900692109376,Sparsity,4,7,20000,5000,1000,0.99,random,exponential,1.0
LSQR,0.28765268810093403,115,19.263872029872665,0.7310165282114949,Sparsity,4,8,20000,5000,1000,0.99,random,exponential,1.0
LSQR,0.2915378990583122,114,18.73146579335084,0.7479265776990996,Sparsity,4,9,20000,5000,1000,0.99,random,exponential,1.0
LSQR,0.29389572981745005,114,18.898253972853194,0.743458590048648,Sparsity,4,10,20000,5000,1000,0.99,random,exponential,1.0
LSQR,0.03660185635089874,46,18.41980722543728,0.8435599933862011,Sparsity,5,1,20000,5000,1000,0.999,random,exponential,1.0
