Solver,Time (s),Iterations,Residual,Relative Error,Info,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
CG,2.8606299608945847,240,16.375901248738575,0.1680586564776615,0,Spectrum,1,1,20000,5000,1000,0.95,random,linear,1.0
CG,2.829270815011114,239,16.294650050610908,0.17713441316908576,0,Spectrum,1,2,20000,5000,1000,0.95,random,linear,1.0
CG,2.850356728769839,241,15.919363748883281,0.17191342688094116,0,Spectrum,1,3,20000,5000,1000,0.95,random,linear,1.0
CG,2.829864563420415,239,16.25786162733801,0.17679235052051667,0,Spectrum,1,4,20000,5000,1000,0.95,random,linear,1.0
CG,2.8340762578882277,239,16.339547827805738,0.16173278961087362,0,Spectrum,1,5,20000,5000,1000,0.95,random,linear,1.0
CG,2.8307423451915383,239,16.03363328288891,0.16881887930551082,0,Spectrum,1,6,20000,5000,1000,0.95,random,linear,1.0
CG,2.812048182822764,238,16.392475060779052,0.1628048799343819,0,Spectrum,1,7,20000,5000,1000,0.95,random,linear,1.0
CG,2.812108193989843,238,16.154577362315553,0.1599068741593328,0,Spectrum,1,8,20000,5000,1000,0.95,random,linear,1.0
CG,2.8394849579781294,240,16.392076860258772,0.17941699507151146,0,Spectrum,1,9,20000,5000,1000,0.95,random,linear,1.0
CG,2.8127539828419685,238,15.838876423207086,0.16039244199936248,0,Spectrum,1,10,20000,5000,1000,0.95,random,linear,1.0
CG,2.776104738935828,235,19.45103491650529,0.6573055754264918,0,Spectrum,2,1,20000,5000,1000,0.95,random,exponential,1.0
CG,2.7893548202700913,236,19.284458428443976,0.6621581181236659,0,Spectrum,2,2,20000,5000,1000,0.95,random,exponential,1.0
CG,2.806469601113349,237,19.546887181900114,0.6610942675329341,0,Spectrum,2,3,20000,5000,1000,0.95,random,exponential,1.0
CG,2.791924173012376,235,19.693819043751347,0.6546274380335309,0,Spectrum,2,4,20000,5000,1000,0.95,random,exponential,1.0
CG,2.7910260553471744,236,19.857025816332907,0.6541009356023826,0,Spectrum,2,5,20000,5000,1000,0.95,random,exponential,1.0
CG,2.781566329766065,235,19.62454999027226,0.6553858296606487,0,Spectrum,2,6,20000,5000,1000,0.95,random,exponential,1.0
CG,2.7812887062318623,235,19.608589237294506,0.6552020085397593,0,Spectrum,2,7,20000,5000,1000,0.95,random,exponential,1.0
CG,2.8033330920152366,237,19.693102610382002,0.6472437676977864,0,Spectrum,2,8,20000,5000,1000,0.95,random,exponential,1.0
CG,2.792350248899311,236,19.558885740236455,0.6715696073363024,0,Spectrum,2,9,20000,5000,1000,0.95,random,exponential,1.0
CG,2.776597593910992,235,19.481672432614893,0.6603029677522081,0,Spectrum,2,10,20000,5000,1000,0.95,random,exponential,1.0
CG,2.8334865737706423,240,18.199423531681415,0.39635533022204733,0,Spectrum,3,1,20000,5000,1000,0.95,random,polynomial,1.0
CG,2.8554734103381634,240,18.012511772964373,0.4014232760727138,0,Spectrum,3,2,20000,5000,1000,0.95,random,polynomial,1.0
CG,2.851899943780154,242,18.09541438259566,0.39288293569390953,0,Spectrum,3,3,20000,5000,1000,0.95,random,polynomial,1.0
CG,2.8253659293986857,239,18.006700380138692,0.3977930180170535,0,Spectrum,3,4,20000,5000,1000,0.95,random,polynomial,1.0
CG,2.8384641390293837,240,18.213526334159123,0.38923576123590736,0,Spectrum,3,5,20000,5000,1000,0.95,random,polynomial,1.0
CG,2.8412726959213614,240,18.2780147078417,0.39106477545676266,0,Spectrum,3,6,20000,5000,1000,0.95,random,polynomial,1.0
CG,2.8260385179892182,239,18.38891195110216,0.3922798494354915,0,Spectrum,3,7,20000,5000,1000,0.95,random,polynomial,1.0
CG,2.824664219748229,239,18.40499824741618,0.37633621867714095,0,Spectrum,3,8,20000,5000,1000,0.95,random,polynomial,1.0
CG,2.853873679880053,241,19.01299951396478,0.39718279251173033,0,Spectrum,3,9,20000,5000,1000,0.95,random,polynomial,1.0
CG,2.8373849750496447,240,18.273779494028595,0.38870148378946356,0,Spectrum,3,10,20000,5000,1000,0.95,random,polynomial,1.0
CG,2.496248710900545,211,16.71123827186498,0.5943026679925608,0,Spectrum,4,1,20000,5000,1000,0.95,random,clustered,1.0
CG,2.5027527851052582,211,16.273098638677023,0.6024171079428191,0,Spectrum,4,2,20000,5000,1000,0.95,random,clustered,1.0
CG,2.5258855260908604,214,16.670012365267183,0.5976720802944917,0,Spectrum,4,3,20000,5000,1000,0.95,random,clustered,1.0
CG,2.5028033549897373,211,16.567807755726275,0.5939015578837211,0,Spectrum,4,4,20000,5000,1000,0.95,random,clustered,1.0
CG,2.5018260031938553,211,16.608254431729037,0.5909036801857297,0,Spectrum,4,5,20000,5000,1000,0.95,random,clustered,1.0
CG,2.495909526012838,210,16.488084380412435,0.5938688549371075,0,Spectrum,4,6,20000,5000,1000,0.95,random,clustered,1.0
CG,2.4940582821145654,210,16.689025442892707,0.5959029140988916,0,Spectrum,4,7,20000,5000,1000,0.95,random,clustered,1.0
CG,2.4889956461265683,210,16.94349598652607,0.5851367770102983,0,Spectrum,4,8,20000,5000,1000,0.95,random,clustered,1.0
CG,2.504564118105918,211,16.721877692018506,0.6165106612448557,0,Spectrum,4,9,20000,5000,1000,0.95,random,clustered,1.0
CG,2.4887826843187213,210,16.231700404041227,0.6018120391031313,0,Spectrum,4,10,20000,5000,1000,0.95,random,clustered,1.0
