Solver,Time (s),Iterations,Residual,Relative Error,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
Direct,17.601870452053845,1,16.37590124794482,0.16805859036049178,Spectrum,1,1,20000,5000,1000,0.95,random,linear,1.0
Direct,17.605597423156723,1,16.29465004794197,0.177134295074105,Spectrum,1,2,20000,5000,1000,0.95,random,linear,1.0
Direct,17.59778861189261,1,15.919363754344907,0.17191334525350604,Spectrum,1,3,20000,5000,1000,0.95,random,linear,1.0
Direct,17.64692691504024,1,16.257861626227726,0.17679223666840577,Spectrum,1,4,20000,5000,1000,0.95,random,linear,1.0
Direct,17.598829567898065,1,16.33954783045359,0.1617327238961849,Spectrum,1,5,20000,5000,1000,0.95,random,linear,1.0
Direct,17.640104667982087,1,16.033633281600377,0.1688187693586286,Spectrum,1,6,20000,5000,1000,0.95,random,linear,1.0
Direct,17.625430793967098,1,16.392475055461055,0.16280478860916597,Spectrum,1,7,20000,5000,1000,0.95,random,linear,1.0
Direct,17.596292966976762,1,16.15457735496866,0.15990675091426834,Spectrum,1,8,20000,5000,1000,0.95,random,linear,1.0
Direct,17.612491145031527,1,16.39207686013379,0.17941690833741292,Spectrum,1,9,20000,5000,1000,0.95,random,linear,1.0
Direct,17.59147537010722,1,15.83887642242781,0.1603923237829826,Spectrum,1,10,20000,5000,1000,0.95,random,linear,1.0
Direct,17.56441325787455,1,19.451034916273507,0.65730550775194,Spectrum,2,1,20000,5000,1000,0.95,random,exponential,1.0
Direct,17.669242612086236,1,19.28445842747928,0.6621580598522344,Spectrum,2,2,20000,5000,1000,0.95,random,exponential,1.0
Direct,17.54858637903817,1,19.546887186350563,0.6610942059639769,Spectrum,2,3,20000,5000,1000,0.95,random,exponential,1.0
Direct,17.685167661169544,1,19.693819043848404,0.6546273781329489,Spectrum,2,4,20000,5000,1000,0.95,random,exponential,1.0
Direct,17.54408081085421,1,19.857025813778332,0.6541008730413926,Spectrum,2,5,20000,5000,1000,0.95,random,exponential,1.0
Direct,17.788800213020295,1,19.6245499902254,0.655385763873653,Spectrum,2,6,20000,5000,1000,0.95,random,exponential,1.0
Direct,17.671921415952966,1,19.608589237559396,0.6552019479075348,Spectrum,2,7,20000,5000,1000,0.95,random,exponential,1.0
Direct,17.696064800955355,1,19.693102609271996,0.6472437100450422,Spectrum,2,8,20000,5000,1000,0.95,random,exponential,1.0
Direct,17.62343995901756,1,19.558885739730993,0.6715695441017391,Spectrum,2,9,20000,5000,1000,0.95,random,exponential,1.0
Direct,17.6998935949523,1,19.481672432131525,0.6603029083811305,Spectrum,2,10,20000,5000,1000,0.95,random,exponential,1.0
Direct,17.678211986087263,1,18.199423530751137,0.3963552280278787,Spectrum,3,1,20000,5000,1000,0.95,random,polynomial,1.0
Direct,17.71928714797832,1,18.01251177354243,0.40142318764926904,Spectrum,3,2,20000,5000,1000,0.95,random,polynomial,1.0
Direct,17.62692718114704,1,18.095414385845714,0.3928828544858852,Spectrum,3,3,20000,5000,1000,0.95,random,polynomial,1.0
Direct,17.711976390099153,1,18.00670037804557,0.39779292414034056,Spectrum,3,4,20000,5000,1000,0.95,random,polynomial,1.0
Direct,17.76027612690814,1,18.21352633487968,0.38923567160881645,Spectrum,3,5,20000,5000,1000,0.95,random,polynomial,1.0
Direct,17.62249444006011,1,18.278014707420834,0.391064693379798,Spectrum,3,6,20000,5000,1000,0.95,random,polynomial,1.0
Direct,17.642655652947724,1,18.388911949430565,0.3922797590431703,Spectrum,3,7,20000,5000,1000,0.95,random,polynomial,1.0
Direct,17.580873779952526,1,18.404998247554083,0.37633612689005647,Spectrum,3,8,20000,5000,1000,0.95,random,polynomial,1.0
Direct,17.54507186403498,1,19.012999513391588,0.39718270419135876,Spectrum,3,9,20000,5000,1000,0.95,random,polynomial,1.0
Direct,17.693203866947442,1,18.273779493640617,0.3887013987899174,Spectrum,3,10,20000,5000,1000,0.95,random,polynomial,1.0
Direct,17.632259147940204,1,16.71123827222863,0.5943025494108881,Spectrum,4,1,20000,5000,1000,0.95,random,clustered,1.0
Direct,17.658454418182373,1,16.273098638392998,0.6024169620673824,Spectrum,4,2,20000,5000,1000,0.95,random,clustered,1.0
Direct,17.55253330199048,1,16.670012358840026,0.5976719835160986,Spectrum,4,3,20000,5000,1000,0.95,random,clustered,1.0
Direct,17.599650993011892,1,16.567807753699718,0.5939014190433732,Spectrum,4,4,20000,5000,1000,0.95,random,clustered,1.0
Direct,17.676281143911183,1,16.60825442866414,0.5909035049862373,Spectrum,4,5,20000,5000,1000,0.95,random,clustered,1.0
Direct,17.749636047985405,1,16.488084377002963,0.5938686949444211,Spectrum,4,6,20000,5000,1000,0.95,random,clustered,1.0
Direct,17.63347801216878,1,16.68902543861,0.5959027871243066,Spectrum,4,7,20000,5000,1000,0.95,random,clustered,1.0
Direct,17.744251711992547,1,16.94349598695027,0.5851366279188731,Spectrum,4,8,20000,5000,1000,0.95,random,clustered,1.0
Direct,17.64553440292366,1,16.721877696366455,0.6165104957990274,Spectrum,4,9,20000,5000,1000,0.95,random,clustered,1.0
Direct,17.55049133906141,1,16.231700399383577,0.6018118826048685,Spectrum,4,10,20000,5000,1000,0.95,random,clustered,1.0
