Solver,Time (s),Iterations,Residual,Relative Error,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
LSQR,3.994244802976027,243,16.37590124999554,0.16805864495892608,Spectrum,1,1,20000,5000,1000,0.95,random,linear,1.0
LSQR,2.970612009987235,243,16.294650046741012,0.17713438561872222,Spectrum,1,2,20000,5000,1000,0.95,random,linear,1.0
LSQR,2.9924744740128517,244,15.91936375929572,0.17191341246205177,Spectrum,1,3,20000,5000,1000,0.95,random,linear,1.0
LSQR,2.971346884034574,242,16.25786162678319,0.17679233197347044,Spectrum,1,4,20000,5000,1000,0.95,random,linear,1.0
LSQR,2.990633239969611,243,16.339547828278704,0.16173277443161374,Spectrum,1,5,20000,5000,1000,0.95,random,linear,1.0
LSQR,2.9304876781534404,241,16.033633282660844,0.1688188676767469,Spectrum,1,6,20000,5000,1000,0.95,random,linear,1.0
LSQR,2.944930614903569,241,16.392475057026026,0.16280486460528132,Spectrum,1,7,20000,5000,1000,0.95,random,linear,1.0
LSQR,2.955691361799836,242,16.154577355876018,0.1599068486642238,Spectrum,1,8,20000,5000,1000,0.95,random,linear,1.0
LSQR,2.9799611440394074,243,16.392076856754773,0.1794169809288896,Spectrum,1,9,20000,5000,1000,0.95,random,linear,1.0
LSQR,2.9871945378836244,242,15.8388764236511,0.16039241498166537,Spectrum,1,10,20000,5000,1000,0.95,random,linear,1.0
LSQR,2.822441551834345,232,19.451034917816028,0.657305588886923,Spectrum,2,1,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.854650662979111,231,19.284458427036757,0.6621581398416199,Spectrum,2,2,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.869345824001357,233,19.54688718793699,0.661094286211022,Spectrum,2,3,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.8096679460722953,231,19.693819047035156,0.6546274544792844,Spectrum,2,4,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.841699317097664,232,19.857025811412967,0.6541009533225072,Spectrum,2,5,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.8655641148798168,233,19.624549989648187,0.6553858393465081,Spectrum,2,6,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.8416541458573192,231,19.608589236834188,0.6552020275744893,Spectrum,2,7,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.8571078821551055,232,19.69310261101128,0.6472437910092371,Spectrum,2,8,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.873931067995727,233,19.558885740096617,0.6715696210536943,Spectrum,2,9,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.838677043095231,230,19.48167243523926,0.6603029919881657,Spectrum,2,10,20000,5000,1000,0.95,random,exponential,1.0
LSQR,2.927263209130615,240,18.199423530824244,0.39635533021940494,Spectrum,3,1,20000,5000,1000,0.95,random,polynomial,1.0
LSQR,2.9362200358882546,240,18.012511772571173,0.4014232760735828,Spectrum,3,2,20000,5000,1000,0.95,random,polynomial,1.0
LSQR,2.9746295341756195,242,18.095414381075095,0.392882935204246,Spectrum,3,3,20000,5000,1000,0.95,random,polynomial,1.0
LSQR,2.938203712925315,239,18.006700377980014,0.3977930180868361,Spectrum,3,4,20000,5000,1000,0.95,random,polynomial,1.0
LSQR,2.9656414289493114,240,18.21352633913772,0.3892357613348946,Spectrum,3,5,20000,5000,1000,0.95,random,polynomial,1.0
LSQR,2.940091396914795,240,18.278014707899235,0.3910647754479355,Spectrum,3,6,20000,5000,1000,0.95,random,polynomial,1.0
LSQR,2.930798846995458,240,18.388911953055395,0.39227984426392654,Spectrum,3,7,20000,5000,1000,0.95,random,polynomial,1.0
LSQR,2.9380545211024582,240,18.404998250434005,0.37633621416428376,Spectrum,3,8,20000,5000,1000,0.95,random,polynomial,1.0
LSQR,2.9548742480110377,241,19.01299951386781,0.39718279251181254,Spectrum,3,9,20000,5000,1000,0.95,random,polynomial,1.0
LSQR,2.9267410959582776,239,18.27377949406581,0.38870148912394503,Spectrum,3,10,20000,5000,1000,0.95,random,polynomial,1.0
LSQR,2.6781002760399133,219,16.711238273465064,0.5943026209563081,Spectrum,4,1,20000,5000,1000,0.95,random,clustered,1.0
LSQR,2.7238606901373714,222,16.273098641706696,0.6024170366549177,Spectrum,4,2,20000,5000,1000,0.95,random,clustered,1.0
LSQR,2.7487045868765563,222,16.67001236005494,0.5976720431077619,Spectrum,4,3,20000,5000,1000,0.95,random,clustered,1.0
LSQR,2.7526273359544575,222,16.567807757076036,0.59390148619797,Spectrum,4,4,20000,5000,1000,0.95,random,clustered,1.0
LSQR,2.7764885760843754,222,16.608254428097563,0.5909035914105566,Spectrum,4,5,20000,5000,1000,0.95,random,clustered,1.0
LSQR,2.755178964929655,222,16.48808437786485,0.5938687769056988,Spectrum,4,6,20000,5000,1000,0.95,random,clustered,1.0
LSQR,2.7097080131061375,218,16.68902543776678,0.5959028675382444,Spectrum,4,7,20000,5000,1000,0.95,random,clustered,1.0
LSQR,2.745748824905604,222,16.943495987791557,0.5851366975457044,Spectrum,4,8,20000,5000,1000,0.95,random,clustered,1.0
LSQR,2.7421766580082476,223,16.721877700255497,0.6165105749830696,Spectrum,4,9,20000,5000,1000,0.95,random,clustered,1.0
LSQR,2.7458417750895023,221,16.23170040219537,0.6018119609181527,Spectrum,4,10,20000,5000,1000,0.95,random,clustered,1.0
