Sparsity Pattern,Solver,Mean_Time,Std_Time,Mean_Iterations,Std_Iterations,Mean_Residual,Std_Residual,Mean_Relative_Error,Std_Relative_Error
banded,CG,2.942729623476043,0.04017713055509501,266.1,1.2866839377079182,19.739334249267607,0.18446491991966724,0.6572530188703607,0.006593681369491826
banded,Direct,5.144922691769898,0.010821280340395761,1.0,0.0,19.739334248704544,0.18446491847187066,0.6572529581530546,0.006593681493946783
banded,LSMR,2.671210269629955,0.014085356265588454,239.4,0.6992058987800981,19.73933428770486,0.184464918721845,0.657253549174108,0.006593673977195488
banded,LSQR,2.898423994425684,0.019640592355924986,259.1,1.1972189997378608,19.73933425035053,0.1844649187224758,0.6572530492026145,0.006593680388986261
block,CG,2.861091221310198,0.10628642676757491,257.1,9.492101980067426,19.576566800696895,0.16321497557811634,0.660091184920797,0.0072637484370029395
block,Direct,14.482333637494595,0.15335614340819784,1.0,0.0,19.576566800341414,0.1632149761045238,0.6600911237754474,0.0072637479904402715
block,LSMR,2.6055361844599245,0.07943136415882966,232.3,7.288499312082166,19.576566836640644,0.16321497724811881,0.6600916789110647,0.007263720984861944
block,LSQR,2.8277152326889334,0.0999717971011009,251.3,8.273787255879594,19.576566801167694,0.1632149746840963,0.6600912106708751,0.007263743747868259
random,CG,2.8018995554186406,0.01719823870362623,235.7,0.8232726023485654,19.580002539773375,0.15651755976843804,0.657899051570571,0.006443073065682184
random,Direct,18.023787419404833,0.2842171457355046,1.0,0.0,19.58000253966494,0.15651755934898848,0.6578989899051593,0.006443072459301066
random,LSMR,2.6080410189926626,0.020857418893023477,215.2,0.7888106377466165,19.580002567987187,0.15651756021675764,0.6578994735831039,0.0064430676537478564
random,LSQR,2.81156735655386,0.026178586432353768,231.8,1.032795558988645,19.580002540406745,0.15651755893989247,0.6578990693713451,0.0064430721137278876
