Experiment,m,n,Condition Number,Sparsity,Sparsity Pattern,Spectrum,Lambda,Solver,Time (s),Iterations,Residual,Relative Error,Run,Info
1,1000,100,10,0.8,random,linear,1.0,Direct,0.0028351405635476112,1,2.3845361752645324,0.9266990590730771,1,
1,1000,100,10,0.8,random,linear,1.0,Direct,0.0022984370589256287,1,2.3694687884147645,0.9361368809626935,2,
1,1000,100,10,0.8,random,linear,1.0,Direct,0.0022854567505419254,1,2.5701728878304353,0.9307282248276745,3,
1,1000,100,10,0.8,random,linear,1.0,Direct,0.0023322668857872486,1,2.3921899147377905,0.9313375951966949,4,
1,1000,100,10,0.8,random,linear,1.0,Direct,0.0022964379750192165,1,2.2996977785501755,0.9347178515530556,5,
1,1000,100,10,0.8,random,linear,1.0,Direct,0.0023125167936086655,1,2.6373359975390747,0.9328925517904224,6,
1,1000,100,10,0.8,random,linear,1.0,Direct,0.0022744080051779747,1,2.5133624717830845,0.9333080621672153,7,
1,1000,100,10,0.8,random,linear,1.0,Direct,0.002322416752576828,1,2.4646891902324155,0.9352114560195887,8,
1,1000,100,10,0.8,random,linear,1.0,Direct,0.00227087689563632,1,2.7289370045754064,0.9317171005714567,9,
1,1000,100,10,0.8,random,linear,1.0,Direct,0.002277856692671776,1,2.359267699373565,0.9393532175554864,10,
1,1000,100,10,0.8,random,linear,1.0,CG,0.00045733433216810226,6,2.3845361752645324,0.9266990590728518,1,0.0
1,1000,100,10,0.8,random,linear,1.0,CG,0.0002819215878844261,5,2.3694687884147645,0.9361368809671768,2,0.0
1,1000,100,10,0.8,random,linear,1.0,CG,0.00025251181796193123,5,2.5701728878304357,0.9307282248351143,3,0.0
1,1000,100,10,0.8,random,linear,1.0,CG,0.0002716919407248497,6,2.392189914737791,0.9313375951965445,4,0.0
1,1000,100,10,0.8,random,linear,1.0,CG,0.0002732817083597183,6,2.299697778550176,0.9347178515531499,5,0.0
1,1000,100,10,0.8,random,linear,1.0,CG,0.00025822222232818604,5,2.6373359975390747,0.9328925517943725,6,0.0
1,1000,100,10,0.8,random,linear,1.0,CG,0.00025517214089632034,5,2.513362471783085,0.9333080621699111,7,0.0
1,1000,100,10,0.8,random,linear,1.0,CG,0.00027611199766397476,6,2.464689190232415,0.9352114560196453,8,0.0
1,1000,100,10,0.8,random,linear,1.0,CG,0.00026200199499726295,5,2.728937004575407,0.9317171005764372,9,0.0
1,1000,100,10,0.8,random,linear,1.0,CG,0.0002693021669983864,6,2.359267699373565,0.9393532175555689,10,0.0
1,1000,100,10,0.8,random,linear,1.0,LSQR,0.0007877359166741371,5,2.3845361752645324,0.9266990590772327,1,
1,1000,100,10,0.8,random,linear,1.0,LSQR,0.0007461751811206341,5,2.3694687884147645,0.9361368809671768,2,
1,1000,100,10,0.8,random,linear,1.0,LSQR,0.0007571559399366379,5,2.5701728878304357,0.9307282248351143,3,
1,1000,100,10,0.8,random,linear,1.0,LSQR,0.0007419958710670471,5,2.392189914737791,0.9313375951997794,4,
1,1000,100,10,0.8,random,linear,1.0,LSQR,0.0007304549217224121,5,2.299697778550176,0.9347178515586005,5,
1,1000,100,10,0.8,random,linear,1.0,LSQR,0.0007536658085882664,5,2.6373359975390747,0.9328925517943725,6,
1,1000,100,10,0.8,random,linear,1.0,LSQR,0.000736176036298275,5,2.513362471783085,0.9333080621699111,7,
1,1000,100,10,0.8,random,linear,1.0,LSQR,0.0007465151138603687,5,2.4646891902324155,0.9352114560308851,8,
1,1000,100,10,0.8,random,linear,1.0,LSQR,0.0007194150239229202,5,2.728937004575407,0.9317171005764372,9,
1,1000,100,10,0.8,random,linear,1.0,LSQR,0.0007322649471461773,5,2.359267699373565,0.9393532175598032,10,
1,1000,100,10,0.8,random,linear,1.0,LSMR,0.0007894448935985565,5,2.384536175264533,0.926699059077735,1,
1,1000,100,10,0.8,random,linear,1.0,LSMR,0.0007460447959601879,5,2.369468788414765,0.9361368809675031,2,
1,1000,100,10,0.8,random,linear,1.0,LSMR,0.0007688258774578571,5,2.570172887830436,0.9307282248355114,3,
1,1000,100,10,0.8,random,linear,1.0,LSMR,0.0007692063227295876,5,2.392189914737792,0.9313375952003563,4,
1,1000,100,10,0.8,random,linear,1.0,LSMR,0.0007482850924134254,5,2.2996977785501764,0.934717851559147,5,
1,1000,100,10,0.8,random,linear,1.0,LSMR,0.0007656360976397991,5,2.637335997539075,0.9328925517946927,6,
1,1000,100,10,0.8,random,linear,1.0,LSMR,0.0007581859827041626,5,2.5133624717830854,0.9333080621703194,7,
1,1000,100,10,0.8,random,linear,1.0,LSMR,0.0007680058479309082,5,2.4646891902324155,0.9352114560314421,8,
1,1000,100,10,0.8,random,linear,1.0,LSMR,0.0007283259183168411,5,2.728937004575407,0.9317171005767341,9,
1,1000,100,10,0.8,random,linear,1.0,LSMR,0.0012527690269052982,5,2.3592676993735653,0.9393532175602941,10,
2,1000,100,10,0.8,random,exponential,1.0,Direct,0.0026259589940309525,1,1.926098329525422,0.9540520042997097,1,
2,1000,100,10,0.8,random,exponential,1.0,Direct,0.002304636873304844,1,1.9030043835310952,0.9603026487948972,2,
2,1000,100,10,0.8,random,exponential,1.0,Direct,0.0023367078974843025,1,2.0117647778626733,0.9592383213546464,3,
2,1000,100,10,0.8,random,exponential,1.0,Direct,0.002323957160115242,1,1.8818145658998504,0.9591936660480076,4,
2,1000,100,10,0.8,random,exponential,1.0,Direct,0.0022958368062973022,1,1.824707969008123,0.9605831992994454,5,
2,1000,100,10,0.8,random,exponential,1.0,Direct,0.0022931681014597416,1,2.0716656099587416,0.9600849742639642,6,
2,1000,100,10,0.8,random,exponential,1.0,Direct,0.0023236279375851154,1,1.9910655988940087,0.9598444970324007,7,
2,1000,100,10,0.8,random,exponential,1.0,Direct,0.002339608035981655,1,1.9134632662038176,0.9624567480791187,8,
2,1000,100,10,0.8,random,exponential,1.0,Direct,0.0023090881295502186,1,2.18608842577124,0.9577110815978095,9,
2,1000,100,10,0.8,random,exponential,1.0,Direct,0.0022790981456637383,1,1.8532264985371083,0.9639051161493556,10,
2,1000,100,10,0.8,random,exponential,1.0,CG,0.00033467216417193413,5,1.9260983295254217,0.9540520043011382,1,0.0
2,1000,100,10,0.8,random,exponential,1.0,CG,0.0002768319100141525,5,1.9030043835310952,0.9603026487953731,2,0.0
2,1000,100,10,0.8,random,exponential,1.0,CG,0.00026825210079550743,5,2.0117647778626733,0.9592383213564072,3,0.0
2,1000,100,10,0.8,random,exponential,1.0,CG,0.000269272830337286,5,1.8818145658998504,0.959193666049348,4,0.0
2,1000,100,10,0.8,random,exponential,1.0,CG,0.00026106229051947594,5,1.824707969008123,0.9605831993012215,5,0.0
2,1000,100,10,0.8,random,exponential,1.0,CG,0.0002549118362367153,5,2.0716656099587416,0.9600849742644857,6,0.0
2,1000,100,10,0.8,random,exponential,1.0,CG,0.00025715166702866554,5,1.991065598894009,0.9598444970336244,7,0.0
2,1000,100,10,0.8,random,exponential,1.0,CG,0.0002550417557358742,5,1.9134632662038176,0.9624567480807226,8,0.0
2,1000,100,10,0.8,random,exponential,1.0,CG,0.00025390181690454483,5,2.18608842577124,0.9577110815985591,9,0.0
2,1000,100,10,0.8,random,exponential,1.0,CG,0.0002456218935549259,5,1.853226498537108,0.9639051161501303,10,0.0
2,1000,100,10,0.8,random,exponential,1.0,LSQR,0.0007951259613037109,5,1.9260983295254217,0.9540520043011382,1,
2,1000,100,10,0.8,random,exponential,1.0,LSQR,0.000722766388207674,5,1.9030043835310952,0.9603026487953731,2,
2,1000,100,10,0.8,random,exponential,1.0,LSQR,0.0007441556081175804,5,2.0117647778626733,0.9592383213564072,3,
2,1000,100,10,0.8,random,exponential,1.0,LSQR,0.0007238350808620453,5,1.8818145658998504,0.959193666049348,4,
2,1000,100,10,0.8,random,exponential,1.0,LSQR,0.0007120450027287006,5,1.824707969008123,0.9605831993012215,5,
2,1000,100,10,0.8,random,exponential,1.0,LSQR,0.0007321052253246307,5,2.0716656099587416,0.9600849742644857,6,
2,1000,100,10,0.8,random,exponential,1.0,LSQR,0.0007250248454511166,5,1.991065598894009,0.9598444970336244,7,
2,1000,100,10,0.8,random,exponential,1.0,LSQR,0.0007348246872425079,5,1.9134632662038176,0.9624567480807226,8,
2,1000,100,10,0.8,random,exponential,1.0,LSQR,0.0007106959819793701,5,2.18608842577124,0.9577110815985591,9,
2,1000,100,10,0.8,random,exponential,1.0,LSQR,0.0007127760909497738,5,1.853226498537108,0.9639051161501301,10,
2,1000,100,10,0.8,random,exponential,1.0,LSMR,0.0007843049243092537,5,1.926098329525422,0.954052004301211,1,
