m,n,Condition Number,Sparsity,Sparsity Pattern,Spectrum,Lambda,Solver,Mean_Time,Std_Time,Mean_Iterations,Mean_Residual,Mean_Relative_Error
2100,2500,10,0.0,random,exponential,0,CG,0.15920888734981417,0.002001148105433356,83.8,4.215810336990467e-07,0.4049238664415391
2100,2500,10,0.0,random,exponential,0,Direct,0.542512253858149,0.008089128586382461,1.0,2.8000740225136987e-12,25.20110085576822
2100,2500,10,0.0,random,exponential,0,LSMR,0.2150877178646624,0.0007875414992931097,76.0,2.6068693941375075e-06,0.404923866852696
2100,2500,10,0.0,random,exponential,0,LSQR,0.21179375061765313,0.0017388546727500752,74.6,2.6681862979028294e-06,0.4049238670543443
2100,2500,100,0.0,random,exponential,0,CG,1.163656383100897,0.006062988691410572,652.4,1.1793365426556487e-06,0.5054733879740262
2100,2500,100,0.0,random,exponential,0,Direct,0.5319553413428366,0.00188811012984,1.0,3.869873775695138e-11,79.98894840159355
2100,2500,100,0.0,random,exponential,0,LSMR,1.6316932443529368,0.003476941946303785,577.6,8.01459783774681e-06,0.5054732537659307
2100,2500,100,0.0,random,exponential,0,LSQR,1.5855764274485409,0.007931204427977139,561.8,7.927759121227998e-06,0.5054732949620317
2100,2500,1000,0.0,random,exponential,0,CG,8.832825197372586,0.02287875972916382,5000.0,6.060743267098796e-06,2.5266168470157027
2100,2500,1000,0.0,random,exponential,0,Direct,0.5336526620201767,0.005350648107046661,1.0,4.701104095519079e-10,161.37119278732865
2100,2500,1000,0.0,random,exponential,0,LSMR,11.603622134774923,0.04384136526689548,4113.4,5.791356952822204e-05,2.5266053136115634
2100,2500,1000,0.0,random,exponential,0,LSQR,11.168225796706974,0.034568665143778654,3966.6,5.685090004605718e-05,2.5266148263995443
2100,2500,10000,0.0,random,exponential,0,CG,8.721665503270923,0.17595790598087085,5000.0,0.07834338997621275,14.248720485565958
2100,2500,10000,0.0,random,exponential,0,Direct,0.5385948956012726,0.0047737167990746345,1.0,1.5827852184578253e-07,7245.855627089503
2100,2500,10000,0.0,random,exponential,0,LSMR,14.064177480712534,0.021523819209192448,5000.0,0.09523874612286687,10.593669174546502
2100,2500,10000,0.0,random,exponential,0,LSQR,13.965152934379876,0.056906719381510894,5000.0,0.07739324656167938,14.363319575418487
