Condition Number,Solver,Mean_Time,Std_Time,Mean_Iterations,Mean_Residual,Mean_Relative_Error
10,CG,0.00025935852900147436,5.681988462983256e-05,8.925,3.412765971331178,0.833187707523377
10,Direct,0.0008134434930980206,7.864463689744216e-05,1.0,3.4127659713311775,0.8331877074694611
10,LSMR,0.0009590158704668283,0.0003050795138085532,8.25,3.4127659713311913,0.8331877077940762
10,LSQR,0.0009297848562709987,0.00029555384793938607,8.25,3.4127659713311806,0.8331877077364542
100,CG,0.00026155044324696066,4.1468057199054314e-05,9.225,2.998129252169923,0.8674141486180738
100,Direct,0.000801076697340856,1.8553718752290307e-05,1.0,2.9981292521699228,0.8674141484404956
100,LSMR,0.0010040526161901654,0.00021617280003738052,8.75,2.9981292521699334,0.8674141488756427
100,LSQR,0.0009748450790842374,0.00021197266360690133,8.75,2.998129252169925,0.8674141488165611
1000,CG,0.00026433491924156743,4.1843976801420584e-05,9.175,2.880609811146846,0.8742688105675698
1000,Direct,0.0008027212655482193,1.822190676690549e-05,1.0,2.8806098111468454,0.8742688104415951
1000,LSMR,0.001014474465046078,0.00021821504598554443,8.75,2.8806098111468548,0.8742688107928248
1000,LSQR,0.0009513994368414084,0.00020104488325914632,8.5,2.88060981114685,0.874268810931144
10000,CG,0.0002673928354245921,4.1915440221717316e-05,9.175,2.8171222712699975,0.8771714118943668
10000,Direct,0.0008068169040294985,1.932566620704499e-05,1.0,2.817122271269997,0.877171411786343
10000,LSMR,0.0009886896315341195,0.0002108462618483435,8.5,2.81712227127001,0.8771714121906882
10000,LSQR,0.000957853541088601,0.0002026486032918028,8.5,2.8171222712699997,0.8771714121374073
