Lambda,Solver,Mean_Time,Std_Time,Mean_Iterations,Mean_Residual,Mean_Relative_Error
0.01,CG,0.0009520152118057013,0.0002833803905416037,51.35,0.4178676764295328,0.4968201194518593
0.01,Direct,0.0008108081994578243,2.1344524560421644e-05,1.0,0.41786767643020856,0.4968201074623066
0.01,LSMR,0.005022931987574945,0.001532052193243275,50.2,0.41786767644208944,0.49682013778604894
0.01,LSQR,0.005037106356273095,0.0015724270134923764,51.15,0.4178676764355506,0.4968201180331098
0.1,CG,0.00046627468739946686,0.00012014199233504787,21.375,1.0902528705758485,0.6759515347952916
0.1,Direct,0.000809996008562545,2.0661467162207733e-05,1.0,1.0902528706333863,0.6759515318728317
0.1,LSMR,0.002204623310050617,0.0005893939519185177,21.15,1.090252870634402,0.6759515367563191
0.1,LSQR,0.002175767661537975,0.0005806355655535044,21.125,1.0902528706379837,0.675951535223967
1.0,CG,0.00026760131974394125,4.187139439401775e-05,9.225,2.998129252169923,0.8674141486180738
1.0,Direct,0.0008093895817485948,2.1134480116192267e-05,1.0,2.9981292521699228,0.8674141484404956
1.0,LSMR,0.0009892200934700668,0.00021453750671583666,8.75,2.9981292521699334,0.8674141488756427
1.0,LSQR,0.0009766699940276643,0.0002121584456636917,8.75,2.998129252169925,0.8674141488165611
10.0,CG,0.0001949785160832107,1.4472615497095167e-05,4.75,4.453293982342575,0.9774758072548521
10.0,Direct,0.0008134027516158919,2.076838388880974e-05,1.0,4.453293982342575,0.9774758072302562
10.0,LSMR,0.0006012935540638864,4.358406754146496e-05,4.75,4.453293982342575,0.9774758072555161
10.0,LSQR,0.0005647497600875795,8.609944723432976e-05,4.5,4.453293982342575,0.9774758072895104
100.0,CG,0.000177503761369735,1.6541949055827185e-05,3.725,4.71867863060074,0.9975648457504296
100.0,Direct,0.00081126680985714,1.970798830336284e-05,1.0,4.71867863060074,0.9975648457502516
100.0,LSMR,0.0004264910239726305,8.946707753866507e-06,3.0,4.71867863060074,0.9975648457573355
100.0,LSQR,0.0003900149992356698,4.705899622013889e-05,2.75,4.71867863060074,0.99756484578573
