m,n,Condition Number,Sparsity,Sparsity Pattern,Spectrum,Lambda,Solver,Mean_Time,Std_Time,Mean_Iterations,Mean_Residual,Mean_Relative_Error
500,50,10,0.0,random,exponential,0.0,CG,0.0008504942990839482,1.999527334960479e-05,51.6,0.21256165220926704,0.04106301519531106
500,50,10,0.0,random,exponential,0.0,Direct,0.0002857659012079239,3.4408804393115166e-05,1.0,0.21256165220925077,0.04106301910920572
500,50,10,0.0,random,exponential,0.0,LSMR,0.0027364253997802734,4.309752807521841e-05,53.0,0.21256165220925727,0.04106301379046666
500,50,10,0.0,random,exponential,0.0,LSQR,0.0025539719499647617,6.186882813456251e-05,53.6,0.21256165220925244,0.041063016619308265
500,50,10,0.0,random,exponential,1e-08,CG,0.0008514861576259137,1.516882772084777e-05,51.6,0.21256165220953166,0.04106299276872189
500,50,10,0.0,random,exponential,1e-08,Direct,0.00027488823980093,2.3561731501497525e-05,1.0,0.212561652209515,0.041062996202370125
500,50,10,0.0,random,exponential,1e-08,LSMR,0.002782297320663929,4.135993547930801e-05,53.0,0.2125616522095215,0.04106299088367201
500,50,10,0.0,random,exponential,1e-08,LSQR,0.0026251984760165214,5.7840528439393564e-05,53.6,0.21256165220951684,0.0410629937124896
500,50,10,0.0,random,exponential,1e-06,CG,0.0008452885784208774,1.9347248620732416e-05,51.4,0.2125616548514838,0.04106073425962024
500,50,10,0.0,random,exponential,1e-06,Direct,0.00027339421212673186,2.7825751103109165e-05,1.0,0.2125616548514388,0.04106074424069174
500,50,10,0.0,random,exponential,1e-06,LSMR,0.0027944556437432765,3.1457721143971274e-05,53.0,0.21256165485144832,0.04106073892606481
500,50,10,0.0,random,exponential,1e-06,LSQR,0.002615298330783844,6.261756600844137e-05,53.6,0.21256165485145678,0.041060741752495765
500,50,10,0.0,random,exponential,0.0001,CG,0.0008441862650215626,1.675211980252009e-05,51.2,0.21258778667771083,0.040991278410906405
500,50,10,0.0,random,exponential,0.0001,Direct,0.00027284575626254084,2.4327384772924652e-05,1.0,0.2125877866813827,0.0409912869486387
500,50,10,0.0,random,exponential,0.0001,LSMR,0.002790955826640129,5.3125574198325325e-05,52.8,0.21258778668150055,0.04099128144034864
500,50,10,0.0,random,exponential,0.0001,LSQR,0.0026237661950290203,5.5660977117215955e-05,53.6,0.21258778668288877,0.04099128463677858
500,50,10,0.0,random,exponential,0.01,CG,0.0006889049895107746,1.707625822371853e-05,40.6,0.3131372075439648,0.2171702042491881
500,50,10,0.0,random,exponential,0.01,Direct,0.00027412418276071546,2.4045136173611918e-05,1.0,0.3131372076190845,0.2171702024570031
500,50,10,0.0,random,exponential,0.01,LSMR,0.0021538550034165384,4.369720016603059e-05,40.4,0.3131372075787283,0.21717020447985363
500,50,10,0.0,random,exponential,0.01,LSQR,0.002023673802614212,6.058735819757097e-05,40.8,0.31313720763909664,0.21717020427321954
500,50,10,0.0,random,exponential,0.1,CG,0.0004211794584989548,1.2677506375486294e-05,22.6,0.9398831174227645,0.5799778643635287
500,50,10,0.0,random,exponential,0.1,Direct,0.00027321428060531614,2.5218132688729414e-05,1.0,0.9398831174227732,0.579977864128763
500,50,10,0.0,random,exponential,0.1,LSMR,0.0012159709818661212,1.8641310653557816e-05,22.0,0.9398831174229418,0.5799778647419138
500,50,10,0.0,random,exponential,0.1,LSQR,0.0011401907540857792,3.718381280001116e-05,22.0,0.9398831174227877,0.5799778645274076
500,50,10,0.0,random,exponential,1.0,CG,0.00024144398048520088,1.6962969005886207e-05,10.0,2.2290957266951077,0.866901684804428
500,50,10,0.0,random,exponential,1.0,Direct,0.0002769960090517998,2.629887939428766e-05,1.0,2.229095726695107,0.8669016845718076
500,50,10,0.0,random,exponential,1.0,LSMR,0.0006016764789819717,1.2644562293751514e-05,10.0,2.229095726695112,0.8669016848500526
500,50,10,0.0,random,exponential,1.0,LSQR,0.0005665265955030919,2.753104288552666e-05,10.0,2.2290957266951077,0.866901684804428
