m,n,Condition Number,Sparsity,Sparsity Pattern,Spectrum,Lambda,Solver,Mean_Time,Std_Time,Mean_Iterations,Mean_Residual,Mean_Relative_Error
400,50,10,0.0,random,exponential,0,CG,0.0008404184132814408,2.8897481593435566e-05,51.0,0.18642604763243556,0.04576016876927632
400,50,10,0.0,random,exponential,0,Direct,0.0002516698092222214,3.7259275199734586e-05,1.0,0.18642604763241372,0.04576019185250753
400,50,10,0.0,random,exponential,0,LSMR,0.002623836137354374,5.2175624632723665e-05,53.2,0.1864260476324194,0.04576018042511408
400,50,10,0.0,random,exponential,0,LSQR,0.0024203508161008357,3.458542165234522e-05,54.0,0.18642604763241538,0.04576018767754364
400,100,10,0.0,random,exponential,0,CG,0.0011873153038322926,2.431105788404212e-05,66.0,0.17372627358530868,0.047940393711534524
400,100,10,0.0,random,exponential,0,Direct,0.0004991238005459308,2.7460265745934035e-05,1.0,0.17372627358527504,0.04794038161737034
400,100,10,0.0,random,exponential,0,LSMR,0.0040307467803359035,0.00014636561375106128,69.0,0.17372627358528356,0.04794038828998192
400,100,10,0.0,random,exponential,0,LSQR,0.003788903262466192,6.361897826450944e-05,70.6,0.1737262735852773,0.04794038363728539
400,500,10,0.0,random,exponential,0,CG,0.006229488179087639,6.605670634096371e-05,80.0,2.024705144595566e-07,0.44317593299281877
400,500,10,0.0,random,exponential,0,Direct,0.007921948749572038,0.00016063058530581942,1.0,5.099813613770454e-13,25.04556660469404
400,500,10,0.0,random,exponential,0,LSMR,0.010389620438218117,4.481945704426772e-05,73.0,1.2037322689090112e-06,0.4431759320264249
400,500,10,0.0,random,exponential,0,LSQR,0.010096901562064886,4.477112466841995e-05,72.0,1.1566722680898637e-06,0.44317593289937884
400,2000,10,0.0,random,exponential,0,CG,0.09094295864924788,0.0009697766957957977,81.0,1.7633985298743125e-07,0.8994348073983739
400,2000,10,0.0,random,exponential,0,Direct,0.18550148950889706,0.004673960525030812,1.0,1.933032145740784e-12,127.25840864508473
400,2000,10,0.0,random,exponential,0,LSMR,0.027973417192697525,0.0002365985025252279,73.4,1.159493291295543e-06,0.8994348069516727
400,2000,10,0.0,random,exponential,0,LSQR,0.027540214266628026,0.00021726858413070616,72.4,1.133658983183027e-06,0.8994348071606353
400,2500,10,0.0,random,exponential,0,CG,0.15365417804569007,0.00046025228702247704,80.6,1.9395472218018393e-07,0.9193802825788596
