m,n,Condition Number,Sparsity,Sparsity Pattern,Spectrum,Lambda,Solver,Time (s),Iterations,Residual,Relative Error,Run,Info
1000,100,100,0,random,exponential,1,Direct,0.0008386969566345215,1,2.4541759166795294,0.9087615804605469,1,
1000,100,100,0,random,exponential,1,Direct,0.0008231760002672672,1,2.3515366462140053,0.9230351936351188,2,
1000,100,100,0,random,exponential,1,Direct,0.0008354559540748596,1,2.4280709452654086,0.9306869622445203,3,
1000,100,100,0,random,exponential,1,Direct,0.0008198660798370838,1,2.118476483967378,0.9371772024521652,4,
1000,100,100,0,random,exponential,1,Direct,0.0008291862905025482,1,2.2605503584430924,0.927912819595088,5,
1000,100,100,0,random,exponential,1,Direct,0.0008191261440515518,1,2.4305056768175333,0.9356328105293672,6,
1000,100,100,0,random,exponential,1,Direct,0.0008339961059391499,1,2.706004632170757,0.9093382923634163,7,
1000,100,100,0,random,exponential,1,Direct,0.0008190660737454891,1,1.8442543531082802,0.9614721101716943,8,
1000,100,100,0,random,exponential,1,Direct,0.0008258158341050148,1,2.599898411438627,0.9284042281453287,9,
1000,100,100,0,random,exponential,1,Direct,0.0008215364068746567,1,1.7060093071667883,0.966033544487295,10,
1000,100,100,0,random,exponential,1,CG,0.00032298220321536064,10,2.4541759166795303,0.9087615808653369,1,0.0
1000,100,100,0,random,exponential,1,CG,0.00029348162934184074,10,2.351536646214006,0.9230351939105501,2,0.0
1000,100,100,0,random,exponential,1,CG,0.0003156629391014576,10,2.42807094526541,0.930686962551598,3,0.0
1000,100,100,0,random,exponential,1,CG,0.0003084619529545307,10,2.118476483967379,0.937177202837364,4,0.0
1000,100,100,0,random,exponential,1,CG,0.0002925219014286995,10,2.2605503584430933,0.9279128198787805,5,0.0
1000,100,100,0,random,exponential,1,CG,0.00029654335230588913,10,2.4305056768175346,0.9356328108321645,6,0.0
1000,100,100,0,random,exponential,1,CG,0.00031411321833729744,10,2.706004632170758,0.9093382927182875,7,0.0
1000,100,100,0,random,exponential,1,CG,0.00031846296042203903,11,1.8442543531082802,0.9614721102097351,8,0.0
1000,100,100,0,random,exponential,1,CG,0.0002994230017066002,10,2.599898411438628,0.9284042283914761,9,0.0
1000,100,100,0,random,exponential,1,CG,0.00041035423055291176,10,1.7060093071667888,0.9660335446921182,10,0.0
1000,100,100,0,random,exponential,1,LSQR,0.001150208991020918,10,2.4541759166795307,0.9087615808653369,1,
1000,100,100,0,random,exponential,1,LSQR,0.0011030887253582478,10,2.3515366462140057,0.9230351939105501,2,
1000,100,100,0,random,exponential,1,LSQR,0.001085468102246523,10,2.4280709452654095,0.9306869625515982,3,
1000,100,100,0,random,exponential,1,LSQR,0.0011135176755487919,10,2.1184764839673793,0.937177202837364,4,
1000,100,100,0,random,exponential,1,LSQR,0.0010960777290165424,10,2.2605503584430937,0.9279128198787805,5,
1000,100,100,0,random,exponential,1,LSQR,0.001077307853847742,10,2.4305056768175346,0.9356328108321645,6,
1000,100,100,0,random,exponential,1,LSQR,0.0010765590704977512,10,2.7060046321707594,0.9093382927182875,7,
1000,100,100,0,random,exponential,1,LSQR,0.0010942481458187103,10,1.844254353108281,0.9614721104639202,8,
1000,100,100,0,random,exponential,1,LSQR,0.0010918681509792805,10,2.5998984114386285,0.9284042283914758,9,
1000,100,100,0,random,exponential,1,LSQR,0.001097348053008318,10,1.7060093071667888,0.9660335446921182,10,
1000,100,100,0,random,exponential,1,LSMR,0.0011585582979023457,10,2.4541759166795356,0.9087615809243668,1,
1000,100,100,0,random,exponential,1,LSMR,0.0011349976994097233,10,2.35153664621401,0.9230351939658403,2,
1000,100,100,0,random,exponential,1,LSMR,0.0011267182417213917,10,2.4280709452654152,0.9306869626108694,3,
1000,100,100,0,random,exponential,1,LSMR,0.0011521191336214542,10,2.118476483967384,0.937177202884798,4,
1000,100,100,0,random,exponential,1,LSMR,0.0011153188534080982,10,2.2605503584430973,0.9279128199279291,5,
1000,100,100,0,random,exponential,1,LSMR,0.0011360379867255688,10,2.430505676817539,0.9356328108906888,6,
1000,100,100,0,random,exponential,1,LSMR,0.0011334088630974293,10,2.706004632170765,0.909338292781759,7,
1000,100,100,0,random,exponential,1,LSMR,0.0011126678436994553,10,1.8442543531082851,0.9614721105055776,8,
1000,100,100,0,random,exponential,1,LSMR,0.0011479179374873638,10,2.5998984114386334,0.9284042284356698,9,
1000,100,100,0,random,exponential,1,LSMR,0.001167869195342064,10,1.7060093071667914,0.9660335447264213,10,
