Experiment,m,n,Condition Number,Sparsity,Sparsity Pattern,Spectrum,Lambda,Solver,Time (s),Iterations,Residual,Relative Error,Run,Info
1,1000,100,10,0.8,random,linear,1.0,Direct,0.0023528169840574265,1,2.3845361752645324,0.9266990590730771,1,
1,1000,100,10,0.8,random,linear,1.0,Direct,0.0022796071134507656,1,2.3694687884147645,0.9361368809626935,2,
1,1000,100,10,0.8,random,linear,1.0,Direct,0.002270147204399109,1,2.5701728878304353,0.9307282248276745,3,
1,1000,100,10,0.8,random,linear,1.0,Direct,0.002295427955687046,1,2.3921899147377905,0.9313375951966949,4,
1,1000,100,10,0.8,random,linear,1.0,Direct,0.002255277242511511,1,2.2996977785501755,0.9347178515530556,5,
1,1000,100,10,0.8,random,linear,1.0,Direct,0.002292696852236986,1,2.6373359975390747,0.9328925517904224,6,
1,1000,100,10,0.8,random,linear,1.0,Direct,0.0022713271901011467,1,2.5133624717830845,0.9333080621672153,7,
1,1000,100,10,0.8,random,linear,1.0,Direct,0.0022908071987330914,1,2.4646891902324155,0.9352114560195887,8,
1,1000,100,10,0.8,random,linear,1.0,Direct,0.002290728036314249,1,2.7289370045754064,0.9317171005714567,9,
1,1000,100,10,0.8,random,linear,1.0,Direct,0.00225643627345562,1,2.359267699373565,0.9393532175554864,10,
1,1000,100,10,0.8,random,linear,1.0,CG,0.0002908119931817055,6,2.3845361752645324,0.9266990590728518,1,0.0
1,1000,100,10,0.8,random,linear,1.0,CG,0.0002630217932164669,5,2.3694687884147645,0.9361368809671768,2,0.0
1,1000,100,10,0.8,random,linear,1.0,CG,0.0002456321381032467,5,2.5701728878304357,0.9307282248351143,3,0.0
1,1000,100,10,0.8,random,linear,1.0,CG,0.00025990232825279236,6,2.392189914737791,0.9313375951965445,4,0.0
1,1000,100,10,0.8,random,linear,1.0,CG,0.0002579623833298683,6,2.299697778550176,0.9347178515531499,5,0.0
1,1000,100,10,0.8,random,linear,1.0,CG,0.0002441932447254658,5,2.6373359975390747,0.9328925517943725,6,0.0
1,1000,100,10,0.8,random,linear,1.0,CG,0.00025407085195183754,5,2.513362471783085,0.9333080621699111,7,0.0
1,1000,100,10,0.8,random,linear,1.0,CG,0.0002585817128419876,6,2.464689190232415,0.9352114560196453,8,0.0
1,1000,100,10,0.8,random,linear,1.0,CG,0.0002422519028186798,5,2.728937004575407,0.9317171005764372,9,0.0
1,1000,100,10,0.8,random,linear,1.0,CG,0.0002544419839978218,6,2.359267699373565,0.9393532175555689,10,0.0
1,1000,100,10,0.8,random,linear,1.0,LSQR,0.0007499563507735729,5,2.3845361752645324,0.9266990590772327,1,
1,1000,100,10,0.8,random,linear,1.0,LSQR,0.0006999950855970383,5,2.3694687884147645,0.9361368809671768,2,
1,1000,100,10,0.8,random,linear,1.0,LSQR,0.0007160860113799572,5,2.5701728878304357,0.9307282248351143,3,
1,1000,100,10,0.8,random,linear,1.0,LSQR,0.0007016351446509361,5,2.392189914737791,0.9313375951997794,4,
1,1000,100,10,0.8,random,linear,1.0,LSQR,0.0007129046134650707,5,2.299697778550176,0.9347178515586005,5,
1,1000,100,10,0.8,random,linear,1.0,LSQR,0.0007028151303529739,5,2.6373359975390747,0.9328925517943725,6,
1,1000,100,10,0.8,random,linear,1.0,LSQR,0.0007162862457334995,5,2.513362471783085,0.9333080621699111,7,
1,1000,100,10,0.8,random,linear,1.0,LSQR,0.0007027559913694859,5,2.4646891902324155,0.9352114560308851,8,
1,1000,100,10,0.8,random,linear,1.0,LSQR,0.0007192362099885941,5,2.728937004575407,0.9317171005764372,9,
1,1000,100,10,0.8,random,linear,1.0,LSQR,0.0007199249230325222,5,2.359267699373565,0.9393532175598032,10,
1,1000,100,10,0.8,random,linear,1.0,LSMR,0.0007623457349836826,5,2.384536175264533,0.926699059077735,1,
1,1000,100,10,0.8,random,linear,1.0,LSMR,0.0007438259199261665,5,2.369468788414765,0.9361368809675031,2,
1,1000,100,10,0.8,random,linear,1.0,LSMR,0.0007393653504550457,5,2.570172887830436,0.9307282248355114,3,
1,1000,100,10,0.8,random,linear,1.0,LSMR,0.0007446748204529285,5,2.392189914737792,0.9313375952003563,4,
1,1000,100,10,0.8,random,linear,1.0,LSMR,0.0007373262196779251,5,2.2996977785501764,0.934717851559147,5,
1,1000,100,10,0.8,random,linear,1.0,LSMR,0.0007642260752618313,5,2.637335997539075,0.9328925517946927,6,
1,1000,100,10,0.8,random,linear,1.0,LSMR,0.0007546958513557911,5,2.5133624717830854,0.9333080621703194,7,
1,1000,100,10,0.8,random,linear,1.0,LSMR,0.0007502050139009953,5,2.4646891902324155,0.9352114560314421,8,
1,1000,100,10,0.8,random,linear,1.0,LSMR,0.0007675462402403355,5,2.728937004575407,0.9317171005767341,9,
1,1000,100,10,0.8,random,linear,1.0,LSMR,0.0007722261361777782,5,2.3592676993735653,0.9393532175602941,10,
2,1000,100,10,0.8,random,exponential,1.0,Direct,0.0023308568634092808,1,1.926098329525422,0.9540520042997097,1,
2,1000,100,10,0.8,random,exponential,1.0,Direct,0.0022723269648849964,1,1.9030043835310952,0.9603026487948972,2,
2,1000,100,10,0.8,random,exponential,1.0,Direct,0.002246166579425335,1,2.0117647778626733,0.9592383213546464,3,
2,1000,100,10,0.8,random,exponential,1.0,Direct,0.002302437089383602,1,1.8818145658998504,0.9591936660480076,4,
2,1000,100,10,0.8,random,exponential,1.0,Direct,0.0022353571839630604,1,1.824707969008123,0.9605831992994454,5,
2,1000,100,10,0.8,random,exponential,1.0,Direct,0.002246097195893526,1,2.0716656099587416,0.9600849742639642,6,
2,1000,100,10,0.8,random,exponential,1.0,Direct,0.002234037034213543,1,1.9910655988940087,0.9598444970324007,7,
2,1000,100,10,0.8,random,exponential,1.0,Direct,0.002276316750794649,1,1.9134632662038176,0.9624567480791187,8,
2,1000,100,10,0.8,random,exponential,1.0,Direct,0.0022307266481220722,1,2.18608842577124,0.9577110815978095,9,
2,1000,100,10,0.8,random,exponential,1.0,Direct,0.0022620167583227158,1,1.8532264985371083,0.9639051161493556,10,
2,1000,100,10,0.8,random,exponential,1.0,CG,0.0002550622448325157,5,1.9260983295254217,0.9540520043011382,1,0.0
2,1000,100,10,0.8,random,exponential,1.0,CG,0.00024156086146831512,5,1.9030043835310952,0.9603026487953731,2,0.0
2,1000,100,10,0.8,random,exponential,1.0,CG,0.00024294201284646988,5,2.0117647778626733,0.9592383213564072,3,0.0
2,1000,100,10,0.8,random,exponential,1.0,CG,0.00025141192600131035,5,1.8818145658998504,0.959193666049348,4,0.0
2,1000,100,10,0.8,random,exponential,1.0,CG,0.00025025196373462677,5,1.824707969008123,0.9605831993012215,5,0.0
2,1000,100,10,0.8,random,exponential,1.0,CG,0.00024815183132886887,5,2.0716656099587416,0.9600849742644857,6,0.0
2,1000,100,10,0.8,random,exponential,1.0,CG,0.0002429308369755745,5,1.991065598894009,0.9598444970336244,7,0.0
2,1000,100,10,0.8,random,exponential,1.0,CG,0.00023985235020518303,5,1.9134632662038176,0.9624567480807226,8,0.0
2,1000,100,10,0.8,random,exponential,1.0,CG,0.00023886095732450485,5,2.18608842577124,0.9577110815985591,9,0.0
2,1000,100,10,0.8,random,exponential,1.0,CG,0.0002441420219838619,5,1.853226498537108,0.9639051161501303,10,0.0
2,1000,100,10,0.8,random,exponential,1.0,LSQR,0.0007499749772250652,5,1.9260983295254217,0.9540520043011382,1,
2,1000,100,10,0.8,random,exponential,1.0,LSQR,0.0007349560037255287,5,1.9030043835310952,0.9603026487953731,2,
2,1000,100,10,0.8,random,exponential,1.0,LSQR,0.0006998763419687748,5,2.0117647778626733,0.9592383213564072,3,
2,1000,100,10,0.8,random,exponential,1.0,LSQR,0.0007043052464723587,5,1.8818145658998504,0.959193666049348,4,
2,1000,100,10,0.8,random,exponential,1.0,LSQR,0.0007184362038969994,5,1.824707969008123,0.9605831993012215,5,
2,1000,100,10,0.8,random,exponential,1.0,LSQR,0.0007203849963843822,5,2.0716656099587416,0.9600849742644857,6,
2,1000,100,10,0.8,random,exponential,1.0,LSQR,0.0007196152582764626,5,1.991065598894009,0.9598444970336244,7,
2,1000,100,10,0.8,random,exponential,1.0,LSQR,0.0007183258421719074,5,1.9134632662038176,0.9624567480807226,8,
2,1000,100,10,0.8,random,exponential,1.0,LSQR,0.0007203849963843822,5,2.18608842577124,0.9577110815985591,9,
2,1000,100,10,0.8,random,exponential,1.0,LSQR,0.0007208962924778461,5,1.853226498537108,0.9639051161501301,10,
2,1000,100,10,0.8,random,exponential,1.0,LSMR,0.0007650163024663925,5,1.926098329525422,0.954052004301211,1,
2,1000,100,10,0.8,random,exponential,1.0,LSMR,0.0007399460300803185,5,1.9030043835310952,0.9603026487954266,2,
2,1000,100,10,0.8,random,exponential,1.0,LSMR,0.0007286160252988338,5,2.0117647778626733,0.95923832135648,3,
2,1000,100,10,0.8,random,exponential,1.0,LSMR,0.0007197149097919464,5,1.8818145658998504,0.9591936660494175,4,
2,1000,100,10,0.8,random,exponential,1.0,LSMR,0.0007608458399772644,5,1.8247079690081232,0.9605831993012959,5,
2,1000,100,10,0.8,random,exponential,1.0,LSMR,0.0007301848381757736,5,2.071665609958741,0.9600849742645251,6,
2,1000,100,10,0.8,random,exponential,1.0,LSMR,0.0007587061263620853,5,1.991065598894009,0.959844497033678,7,
2,1000,100,10,0.8,random,exponential,1.0,LSMR,0.0007407045923173428,5,1.9134632662038173,0.9624567480807834,8,
2,1000,100,10,0.8,random,exponential,1.0,LSMR,0.000723755918443203,5,2.18608842577124,0.9577110815985913,9,
2,1000,100,10,0.8,random,exponential,1.0,LSMR,0.0007604560814797878,5,1.8532264985371083,0.9639051161501866,10,
3,1000,100,10,0.8,random,polynomial,1.0,Direct,0.0023718583397567272,1,1.9866773466804053,0.9508458325082193,1,
3,1000,100,10,0.8,random,polynomial,1.0,Direct,0.002271087374538183,1,1.9646061869409495,0.9574900973236001,2,
3,1000,100,10,0.8,random,polynomial,1.0,Direct,0.0022652968764305115,1,2.080669636857238,0.9561951614666101,3,
3,1000,100,10,0.8,random,polynomial,1.0,Direct,0.0022945282980799675,1,1.944778975218207,0.9561917844916725,4,
3,1000,100,10,0.8,random,polynomial,1.0,Direct,0.002248266711831093,1,1.8897121080464807,0.9574687458197235,5,
3,1000,100,10,0.8,random,polynomial,1.0,Direct,0.0022625369019806385,1,2.1425336911404433,0.9571107101486738,6,
3,1000,100,10,0.8,random,polynomial,1.0,Direct,0.0022179968655109406,1,2.0565985189922746,0.9569456142688393,7,
3,1000,100,10,0.8,random,polynomial,1.0,Direct,0.0022811880335211754,1,1.9729691059022987,0.9598941025019453,8,
3,1000,100,10,0.8,random,polynomial,1.0,Direct,0.002230506855994463,1,2.2627668484406915,0.9544556225722564,9,
3,1000,100,10,0.8,random,polynomial,1.0,Direct,0.0022446969524025917,1,1.9133122744656552,0.9613718788898594,10,
3,1000,100,10,0.8,random,polynomial,1.0,CG,0.0002622529864311218,5,1.9866773466804055,0.9508458325100043,1,0.0
3,1000,100,10,0.8,random,polynomial,1.0,CG,0.0002441219985485077,5,1.9646061869409492,0.9574900973242131,2,0.0
3,1000,100,10,0.8,random,polynomial,1.0,CG,0.0002427319996058941,5,2.0806696368572384,0.9561951614688153,3,0.0
3,1000,100,10,0.8,random,polynomial,1.0,CG,0.00024475203827023506,5,1.9447789752182068,0.95619178449332,4,0.0
3,1000,100,10,0.8,random,polynomial,1.0,CG,0.00023837201297283173,5,1.8897121080464807,0.9574687458217884,5,0.0
3,1000,100,10,0.8,random,polynomial,1.0,CG,0.00023839203640818596,5,2.142533691140443,0.9571107101493388,6,0.0
3,1000,100,10,0.8,random,polynomial,1.0,CG,0.00024214200675487518,5,2.0565985189922746,0.956945614270631,7,0.0
3,1000,100,10,0.8,random,polynomial,1.0,CG,0.00024001207202672958,5,1.972969105902299,0.9598941025040888,8,0.0
3,1000,100,10,0.8,random,polynomial,1.0,CG,0.00024001207202672958,5,2.2627668484406915,0.954455622573237,9,0.0
3,1000,100,10,0.8,random,polynomial,1.0,CG,0.00024300115182995796,5,1.9133122744656552,0.9613718788909383,10,0.0
3,1000,100,10,0.8,random,polynomial,1.0,LSQR,0.000750555656850338,5,1.9866773466804053,0.9508458325100043,1,
3,1000,100,10,0.8,random,polynomial,1.0,LSQR,0.0007329760119318962,5,1.9646061869409492,0.9574900973242131,2,
3,1000,100,10,0.8,random,polynomial,1.0,LSQR,0.000717915128916502,5,2.0806696368572384,0.9561951614688153,3,
3,1000,100,10,0.8,random,polynomial,1.0,LSQR,0.0007016449235379696,5,1.9447789752182068,0.95619178449332,4,
3,1000,100,10,0.8,random,polynomial,1.0,LSQR,0.000703815370798111,5,1.8897121080464807,0.9574687458217884,5,
3,1000,100,10,0.8,random,polynomial,1.0,LSQR,0.0007129451259970665,5,2.142533691140443,0.9571107101493388,6,
3,1000,100,10,0.8,random,polynomial,1.0,LSQR,0.0007110061123967171,5,2.0565985189922746,0.956945614270631,7,
3,1000,100,10,0.8,random,polynomial,1.0,LSQR,0.0007123849354684353,5,1.972969105902299,0.959894102504089,8,
3,1000,100,10,0.8,random,polynomial,1.0,LSQR,0.0007127956487238407,5,2.2627668484406915,0.954455622573237,9,
3,1000,100,10,0.8,random,polynomial,1.0,LSQR,0.0007213447242975235,5,1.9133122744656552,0.9613718788909383,10,
3,1000,100,10,0.8,random,polynomial,1.0,LSMR,0.0007890560664236546,5,1.9866773466804053,0.9508458325100944,1,
3,1000,100,10,0.8,random,polynomial,1.0,LSMR,0.0007487460970878601,5,1.9646061869409495,0.9574900973242841,2,
3,1000,100,10,0.8,random,polynomial,1.0,LSMR,0.0007376959547400475,5,2.0806696368572384,0.9561951614689127,3,
3,1000,100,10,0.8,random,polynomial,1.0,LSMR,0.0007312861271202564,5,1.9447789752182068,0.956191784493419,4,
3,1000,100,10,0.8,random,polynomial,1.0,LSMR,0.0007287249900400639,5,1.8897121080464807,0.9574687458218997,5,
3,1000,100,10,0.8,random,polynomial,1.0,LSMR,0.000746455043554306,5,2.142533691140443,0.9571107101493959,6,
3,1000,100,10,0.8,random,polynomial,1.0,LSMR,0.0007376451976597309,5,2.0565985189922746,0.9569456142707202,7,
3,1000,100,10,0.8,random,polynomial,1.0,LSMR,0.0007275049574673176,5,1.9729691059022987,0.9598941025041732,8,
3,1000,100,10,0.8,random,polynomial,1.0,LSMR,0.0007300558499991894,5,2.2627668484406915,0.9544556225732824,9,
3,1000,100,10,0.8,random,polynomial,1.0,LSMR,0.0007545058615505695,5,1.913312274465655,0.9613718788910286,10,
4,1000,100,10,0.8,random,clustered,1.0,Direct,0.002338007092475891,1,2.3700064708722635,0.9274280334016544,1,
4,1000,100,10,0.8,random,clustered,1.0,Direct,0.0022488869726657867,1,2.3468569089468883,0.9374582346132906,2,
4,1000,100,10,0.8,random,clustered,1.0,Direct,0.00223942706361413,1,2.478837120280171,0.9358361590768923,3,
4,1000,100,10,0.8,random,clustered,1.0,Direct,0.0023190979845821857,1,2.3098996698564664,0.9362851168515819,4,
4,1000,100,10,0.8,random,clustered,1.0,Direct,0.0022439369931817055,1,2.3011140445335396,0.9344119400258262,5,
4,1000,100,10,0.8,random,clustered,1.0,Direct,0.00225052610039711,1,2.5807492846436504,0.935907329344215,6,
4,1000,100,10,0.8,random,clustered,1.0,Direct,0.00222734734416008,1,2.468930526841316,0.9359558916279332,7,
4,1000,100,10,0.8,random,clustered,1.0,Direct,0.002271546982228756,1,2.3875049989722044,0.9392905199842649,8,
4,1000,100,10,0.8,random,clustered,1.0,Direct,0.002220017369836569,1,2.7789508451344016,0.9287299393501067,9,
4,1000,100,10,0.8,random,clustered,1.0,Direct,0.0022568670101463795,1,2.3048236046833055,0.9423153551067492,10,
4,1000,100,10,0.8,random,clustered,1.0,CG,0.00028883060440421104,6,2.370006470872264,0.9274280334017159,1,0.0
4,1000,100,10,0.8,random,clustered,1.0,CG,0.0002698511816561222,6,2.346856908946888,0.937458234613436,2,0.0
4,1000,100,10,0.8,random,clustered,1.0,CG,0.0002718418836593628,6,2.478837120280171,0.9358361590769764,3,0.0
4,1000,100,10,0.8,random,clustered,1.0,CG,0.0002771327272057533,6,2.3098996698564664,0.936285116851785,4,0.0
4,1000,100,10,0.8,random,clustered,1.0,CG,0.000266901683062315,6,2.3011140445335396,0.934411940025828,5,0.0
4,1000,100,10,0.8,random,clustered,1.0,CG,0.0002665421925485134,6,2.5807492846436495,0.9359073293441622,6,0.0
4,1000,100,10,0.8,random,clustered,1.0,CG,0.0002622217871248722,6,2.468930526841316,0.9359558916280922,7,0.0
4,1000,100,10,0.8,random,clustered,1.0,CG,0.00026449188590049744,6,2.387504998972205,0.9392905199846342,8,0.0
4,1000,100,10,0.8,random,clustered,1.0,CG,0.0002649817615747452,6,2.778950845134402,0.9287299393503142,9,0.0
4,1000,100,10,0.8,random,clustered,1.0,CG,0.0002636220306158066,6,2.304823604683305,0.9423153551065163,10,0.0
4,1000,100,10,0.8,random,clustered,1.0,LSQR,0.0007590958848595619,5,2.3700064708722643,0.9274280334175085,1,
4,1000,100,10,0.8,random,clustered,1.0,LSQR,0.0007197749800980091,5,2.3468569089468883,0.9374582346257901,2,
4,1000,100,10,0.8,random,clustered,1.0,LSQR,0.0007075960747897625,5,2.4788371202801716,0.9358361590942941,3,
4,1000,100,10,0.8,random,clustered,1.0,LSQR,0.0006944448687136173,5,2.309899669856467,0.9362851168608529,4,
4,1000,100,10,0.8,random,clustered,1.0,LSQR,0.0007107951678335667,5,2.30111404453354,0.934411940038691,5,
4,1000,100,10,0.8,random,clustered,1.0,LSQR,0.0007066251710057259,5,2.58074928464365,0.9359073293484038,6,
4,1000,100,10,0.8,random,clustered,1.0,LSQR,0.0007153460755944252,5,2.4689305268413166,0.9359558916466827,7,
4,1000,100,10,0.8,random,clustered,1.0,LSQR,0.0007047350518405437,5,2.387504998972205,0.9392905200000107,8,
4,1000,100,10,0.8,random,clustered,1.0,LSQR,0.0007054251618683338,5,2.7789508451344025,0.9287299393682082,9,
4,1000,100,10,0.8,random,clustered,1.0,LSQR,0.000720716081559658,5,2.3048236046833055,0.9423153551120684,10,
4,1000,100,10,0.8,random,clustered,1.0,LSMR,0.0007801358588039875,5,2.3700064708722657,0.9274280334190106,1,
4,1000,100,10,0.8,random,clustered,1.0,LSMR,0.0007435362786054611,5,2.3468569089468896,0.9374582346268477,2,
4,1000,100,10,0.8,random,clustered,1.0,LSMR,0.000757286325097084,5,2.4788371202801724,0.9358361590955366,3,
4,1000,100,10,0.8,random,clustered,1.0,LSMR,0.0007478860206902027,5,2.3098996698564678,0.9362851168620707,4,
4,1000,100,10,0.8,random,clustered,1.0,LSMR,0.0007623247802257538,5,2.301114044533541,0.9344119400402591,5,
4,1000,100,10,0.8,random,clustered,1.0,LSMR,0.0007520848885178566,5,2.5807492846436504,0.9359073293488503,6,
4,1000,100,10,0.8,random,clustered,1.0,LSMR,0.0007490660063922405,5,2.4689305268413175,0.935955891647859,7,
4,1000,100,10,0.8,random,clustered,1.0,LSMR,0.000841755885630846,6,2.387504998972205,0.939290519984647,8,
4,1000,100,10,0.8,random,clustered,1.0,LSMR,0.0007503852248191833,5,2.778950845134404,0.9287299393691654,9,
4,1000,100,10,0.8,random,clustered,1.0,LSMR,0.0008681267499923706,6,2.3048236046833055,0.9423153551065246,10,
5,1000,100,10,0.8,block,linear,1.0,Direct,0.00358085660263896,1,1.9937052180271275,0.9463845988302665,1,
5,1000,100,10,0.8,block,linear,1.0,Direct,0.0035452255979180336,1,2.2262561532126,0.9398586916811754,2,
5,1000,100,10,0.8,block,linear,1.0,Direct,0.0035183168947696686,1,2.639763243297453,0.9204484631686941,3,
5,1000,100,10,0.8,block,linear,1.0,Direct,0.003509875852614641,1,2.174085228790827,0.9399980912677082,4,
5,1000,100,10,0.8,block,linear,1.0,Direct,0.0035285670310258865,1,2.279934499682543,0.9308926888410026,5,
5,1000,100,10,0.8,block,linear,1.0,Direct,0.0034996969625353813,1,2.426878086094029,0.9412531364531677,6,
5,1000,100,10,0.8,block,linear,1.0,Direct,0.0035104770213365555,1,2.249920206118496,0.9424295468298896,7,
5,1000,100,10,0.8,block,linear,1.0,Direct,0.0034965756349265575,1,2.3981321572737277,0.9332296686295591,8,
5,1000,100,10,0.8,block,linear,1.0,Direct,0.003488226793706417,1,2.722019530016291,0.9264501129117854,9,
5,1000,100,10,0.8,block,linear,1.0,Direct,0.0034945770166814327,1,2.4875651106541197,0.9279921492041078,10,
5,1000,100,10,0.8,block,linear,1.0,CG,0.0003050430677831173,8,1.9937052180271275,0.946384598830638,1,0.0
5,1000,100,10,0.8,block,linear,1.0,CG,0.0003010118380188942,8,2.2262561532125997,0.9398586916835079,2,0.0
5,1000,100,10,0.8,block,linear,1.0,CG,0.00029138196259737015,8,2.6397632432974527,0.9204484631726408,3,0.0
5,1000,100,10,0.8,block,linear,1.0,CG,0.0002938518300652504,8,2.1740852287908274,0.9399980912704605,4,0.0
5,1000,100,10,0.8,block,linear,1.0,CG,0.00028933165594935417,8,2.279934499682543,0.9308926888419247,5,0.0
5,1000,100,10,0.8,block,linear,1.0,CG,0.0003001322038471699,8,2.426878086094029,0.9412531364543827,6,0.0
5,1000,100,10,0.8,block,linear,1.0,CG,0.00029428163543343544,8,2.249920206118496,0.9424295468321535,7,0.0
5,1000,100,10,0.8,block,linear,1.0,CG,0.0002982020378112793,8,2.3981321572737273,0.9332296686312649,8,0.0
5,1000,100,10,0.8,block,linear,1.0,CG,0.00028993189334869385,8,2.7220195300162904,0.92645011291399,9,0.0
5,1000,100,10,0.8,block,linear,1.0,CG,0.0003000423312187195,8,2.4875651106541197,0.9279921492063735,10,0.0
5,1000,100,10,0.8,block,linear,1.0,LSQR,0.0010071569122374058,7,1.9937052180271284,0.9463845988520355,1,
5,1000,100,10,0.8,block,linear,1.0,LSQR,0.0009635081514716148,7,2.226256153212603,0.9398586917375892,2,
5,1000,100,10,0.8,block,linear,1.0,LSQR,0.0009609069675207138,7,2.6397632432974554,0.9204484632222361,3,
5,1000,100,10,0.8,block,linear,1.0,LSQR,0.0009434171952307224,7,2.17408522879083,0.9399980913134567,4,
5,1000,100,10,0.8,block,linear,1.0,LSQR,0.0009641679935157299,7,2.279934499682544,0.930892688863139,5,
5,1000,100,10,0.8,block,linear,1.0,LSQR,0.0009469073265790939,7,2.4268780860940318,0.9412531364994818,6,
5,1000,100,10,0.8,block,linear,1.0,LSQR,0.0009548170492053032,7,2.249920206118499,0.9424295468835486,7,
5,1000,100,10,0.8,block,linear,1.0,LSQR,0.000959447119385004,7,2.39813215727373,0.9332296686566868,8,
5,1000,100,10,0.8,block,linear,1.0,LSQR,0.0009445170871913433,7,2.7220195300162926,0.9264501129584743,9,
5,1000,100,10,0.8,block,linear,1.0,LSQR,0.0009405571036040783,7,2.4875651106541214,0.9279921492396777,10,
5,1000,100,10,0.8,block,linear,1.0,LSMR,0.0010067569091916084,7,1.9937052180271317,0.9463845988551558,1,
5,1000,100,10,0.8,block,linear,1.0,LSMR,0.0011207177303731441,8,2.2262561532126,0.9398586916837857,2,
5,1000,100,10,0.8,block,linear,1.0,LSMR,0.0010175877250730991,7,2.6397632432974647,0.9204484632288266,3,
5,1000,100,10,0.8,block,linear,1.0,LSMR,0.0010998179204761982,8,2.1740852287908274,0.939998091270871,4,
5,1000,100,10,0.8,block,linear,1.0,LSMR,0.0010155867785215378,7,2.279934499682548,0.9308926888672953,5,
5,1000,100,10,0.8,block,linear,1.0,LSMR,0.001010797917842865,7,2.4268780860940407,0.9412531365064959,6,
5,1000,100,10,0.8,block,linear,1.0,LSMR,0.001093108206987381,8,2.249920206118496,0.9424295468325616,7,
5,1000,100,10,0.8,block,linear,1.0,LSMR,0.0009930473752319813,7,2.398132157273737,0.9332296686607373,8,
5,1000,100,10,0.8,block,linear,1.0,LSMR,0.0009759268723428249,7,2.722019530016299,0.926450112963596,9,
