m,n,Condition Number,Sparsity,Sparsity Pattern,Spectrum,Lambda,Solver,Mean_Time,Std_Time,Mean_Iterations,Mean_Residual,Mean_Relative_Error
500,50,10,0.0,random,exponential,0,CG,0.0008659446612000465,3.355254739688263e-05,51.6,0.21256165220926704,0.04106301519531106
500,50,10,0.0,random,exponential,0,Direct,0.00030222218483686445,7.522276374781386e-05,1.0,0.21256165220925077,0.04106301910920572
500,50,10,0.0,random,exponential,0,LSMR,0.002724180743098259,5.683205761600676e-05,53.0,0.21256165220925727,0.04106301379046666
500,50,10,0.0,random,exponential,0,LSQR,0.0025492055341601373,6.747111909979431e-05,53.6,0.21256165220925244,0.041063016619308265
500,50,10,0.25,random,exponential,0,CG,0.0005860846489667892,2.2767115650677007e-05,30.4,0.21174349995657113,0.03458889851831838
500,50,10,0.25,random,exponential,0,Direct,0.0024464367888867855,8.841378197804043e-05,1.0,0.21174349995656855,0.03458889865053495
500,50,10,0.25,random,exponential,0,LSMR,0.00298768924549222,3.0115368905641365e-05,31.0,0.2117434999565695,0.03458889910142153
500,50,10,0.25,random,exponential,0,LSQR,0.002881890069693327,8.210325565225576e-05,31.2,0.21174349995656913,0.034588898754056865
500,50,10,0.5,random,exponential,0,CG,0.00048675574362277985,1.576356313646483e-05,24.2,0.21069661867659475,0.03839831903142079
500,50,10,0.5,random,exponential,0,Direct,0.0014595353044569493,4.202183622476859e-05,1.0,0.21069661867659395,0.03839832016217405
500,50,10,0.5,random,exponential,0,LSMR,0.002117610163986683,9.640209280564546e-05,24.8,0.21069661867659426,0.03839831963325361
500,50,10,0.5,random,exponential,0,LSQR,0.0020082056522369384,9.761832338490832e-05,24.8,0.21069661867659423,0.03839831985797364
500,50,10,0.75,random,exponential,0,CG,0.000425850972533226,2.1044890199499402e-05,20.2,0.20983983882952453,0.051573766796973286
500,50,10,0.75,random,exponential,0,Direct,0.0008062823675572872,3.99506437302188e-05,1.0,0.2098398388295239,0.05157376555728381
500,50,10,0.75,random,exponential,0,LSMR,0.0014819493517279625,6.683949004403722e-05,21.0,0.209839838829524,0.05157376581532815
500,50,10,0.75,random,exponential,0,LSQR,0.0014015166088938713,6.21434552327754e-05,21.0,0.209839838829524,0.05157376570821719
500,50,10,0.9,random,exponential,0,CG,0.0004315833561122417,2.7439196894550796e-05,20.6,0.20889476019091693,0.08366765868025913
500,50,10,0.9,random,exponential,0,Direct,0.0005494323559105396,2.879374661564442e-05,1.0,0.2088947601909168,0.08366765794503313
500,50,10,0.9,random,exponential,0,LSMR,0.0013291621580719948,7.015143105790442e-05,20.6,0.20889476019091693,0.08366765849571604
500,50,10,0.9,random,exponential,0,LSQR,0.0012480674311518669,7.159607757719362e-05,20.6,0.20889476019091693,0.08366765868025909
