Spectrum,Solver,Mean_Time,Std_Time,Mean_Iterations,Mean_Residual,Mean_Relative_Error
clustered,CG,0.0002880005864426494,2.328938507005505e-05,7.15,2.2704140042727454,0.9411015829739154
clustered,Direct,0.002916684669132034,0.0006372856056050682,1.0,2.270414004272745,0.9411015829354362
clustered,LSMR,0.0009291144708792368,0.0001722512805773939,6.533333333333333,2.270414004272747,0.9411015830068387
clustered,LSQR,0.0008897633369391163,0.00017446003641014194,6.5,2.2704140042727454,0.9411015829987653
exponential,CG,0.000271033759539326,2.0397941239805384e-05,6.016666666666667,1.5124336809101906,0.9748739211021141
exponential,Direct,0.0029140077065676452,0.0006364080589745271,1.0,1.5124336809101906,0.9748739210924913
exponential,LSMR,0.0008572519912074009,0.0001204206796856447,5.866666666666666,1.5124336809101908,0.9748739211151957
exponential,LSQR,0.0007804566683868567,0.00012845154682365962,5.366666666666666,1.5124336809101913,0.9748739211961523
linear,CG,0.0002758467492337028,2.496658012349134e-05,6.616666666666666,2.3494896197832578,0.9379332486077332
linear,Direct,0.002911952743306756,0.0006274448330759333,1.0,2.3494896197832578,0.9379332486046891
linear,LSMR,0.0008845295524224639,0.00013198243600657568,6.083333333333333,2.3494896197832618,0.9379332486339939
linear,LSQR,0.0008402007476737102,0.00012472400774419452,6.0,2.349489619783259,0.9379332486363536
polynomial,CG,0.00027502250547210377,2.4673549506192318e-05,6.233333333333333,1.9027482892083727,0.9607768307544455
polynomial,Direct,0.0029094375980397067,0.0006346987238532079,1.0,1.9027482892083727,0.9607768307371175
polynomial,LSMR,0.0008719826427598794,0.0001233545814514678,6.0,1.9027482892083734,0.9607768307717258
polynomial,LSQR,0.0008433696658660968,0.00012119121777551656,6.0,1.902748289208373,0.9607768307686625
