Condition Number,Lambda,Solver,Mean_Time,Std_Time,Mean_Iterations,Mean_Residual,Mean_Relative_Error
10,1.0,CG,0.00027557443245314063,2.4799121155684614e-05,6.575,2.162767523610233,0.947330494366178
10,1.0,Direct,0.0028993373562116176,0.0006342158513153163,1.0,2.162767523610233,0.9473304943530257
10,1.0,LSMR,0.0008914679230656475,0.00014474833254792373,6.1875,2.1627675236102344,0.947330494381136
10,1.0,LSQR,0.0008485327649395913,0.00013695503260836522,6.125,2.1627675236102335,0.9473304943802366
100,1.0,CG,0.0002775111352093518,2.1035166927549146e-05,6.4875,1.9636740110704687,0.9558671938700775
100,1.0,Direct,0.002920420002192259,0.0006267427251468652,1.0,1.9636740110704687,0.9558671938507504
100,1.0,LSMR,0.0008866148360539228,0.00013390316111159905,6.1375,1.9636740110704705,0.9558671938924521
100,1.0,LSQR,0.0008361862855963409,0.00014491636914961756,5.9,1.9636740110704693,0.9558671939320632
1000,1.0,CG,0.00027934213285334407,2.6335876097657323e-05,6.45,1.8998726609502234,0.9578164993424005
1000,1.0,Direct,0.00291930467938073,0.0006366875040935083,1.0,1.8998726609502234,0.9578164993235243
1000,1.0,LSMR,0.0008790762338321656,0.00014349725592875987,6.0375,1.899872660950225,0.9578164993722276
1000,1.0,LSQR,0.0008306237636134028,0.00014929043267562694,5.875,1.899872660950224,0.9578164993876503
