Solver,Time (s),Iterations,Residual,Relative Error,Info,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
CG,0.6145810689777136,58,8.6570570347215,0.8104961896056894,0,Condition Parameter,1,1,5000,15000,10,0.95,random,exponential,1.0
CG,0.611081937327981,58,8.359316265313177,0.8153584265067777,0,Condition Parameter,1,2,5000,15000,10,0.95,random,exponential,1.0
CG,0.6161672091111541,59,8.41651158250743,0.814295324446072,0,Condition Parameter,1,3,5000,15000,10,0.95,random,exponential,1.0
CG,0.6326026702299714,58,8.458639209398742,0.8182319700701634,0,Condition Parameter,1,4,5000,15000,10,0.95,random,exponential,1.0
CG,0.6014171792194247,58,8.502818397873154,0.817693805533644,0,Condition Parameter,1,5,5000,15000,10,0.95,random,exponential,1.0
CG,0.6214694939553738,58,8.455339485602044,0.8148638916523241,0,Condition Parameter,1,6,5000,15000,10,0.95,random,exponential,1.0
CG,0.6147329513914883,58,8.4858761756261,0.8142677171449794,0,Condition Parameter,1,7,5000,15000,10,0.95,random,exponential,1.0
CG,0.6056420598179102,58,8.388709576051848,0.8140507922938431,0,Condition Parameter,1,8,5000,15000,10,0.95,random,exponential,1.0
CG,0.6173400129191577,58,8.53197161253205,0.8183384239344387,0,Condition Parameter,1,9,5000,15000,10,0.95,random,exponential,1.0
CG,0.625161268748343,58,8.276621587649872,0.8173807300006906,0,Condition Parameter,1,10,5000,15000,10,0.95,random,exponential,1.0
CG,1.1783893778920174,112,16.775814806510716,0.8140145445720965,0,Condition Parameter,2,1,5000,15000,100,0.95,random,exponential,1.0
CG,1.1804403783753514,112,16.237233936082507,0.817872565570468,0,Condition Parameter,2,2,5000,15000,100,0.95,random,exponential,1.0
CG,1.1800490329042077,112,16.49635403897178,0.8166092790181344,0,Condition Parameter,2,3,5000,15000,100,0.95,random,exponential,1.0
CG,1.2022077650763094,112,16.429277135856616,0.8209292062380614,0,Condition Parameter,2,4,5000,15000,100,0.95,random,exponential,1.0
CG,1.1904750308021903,112,16.46449330344218,0.8200371553778469,0,Condition Parameter,2,5,5000,15000,100,0.95,random,exponential,1.0
CG,1.1852007559500635,112,16.663506782893595,0.8168905868160249,0,Condition Parameter,2,6,5000,15000,100,0.95,random,exponential,1.0
