Solver,Time (s),Iterations,Residual,Relative Error,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
LSMR,0.701073323842138,58,8.65705703492486,0.8104961896078176,Condition Parameter,1,1,5000,15000,10,0.95,random,exponential,1.0
LSMR,1.3093143720179796,58,8.359316265463105,0.8153584265068125,Condition Parameter,1,2,5000,15000,10,0.95,random,exponential,1.0
LSMR,1.7173289456404746,59,8.416511582648571,0.8142953244486799,Condition Parameter,1,3,5000,15000,10,0.95,random,exponential,1.0
LSMR,1.2463412610813975,59,8.458639209516349,0.8182319700717905,Condition Parameter,1,4,5000,15000,10,0.95,random,exponential,1.0
LSMR,1.4334990712814033,58,8.502818398062086,0.8176938055367365,Condition Parameter,1,5,5000,15000,10,0.95,random,exponential,1.0
LSMR,0.6336504369974136,58,8.455339485786022,0.8148638916656065,Condition Parameter,1,6,5000,15000,10,0.95,random,exponential,1.0
LSMR,0.6229621530510485,59,8.485876175737321,0.8142677171398177,Condition Parameter,1,7,5000,15000,10,0.95,random,exponential,1.0
LSMR,1.2189935981296003,59,8.38870957617238,0.8140507922936797,Condition Parameter,1,8,5000,15000,10,0.95,random,exponential,1.0
LSMR,0.6594584207050502,58,8.531971612733892,0.8183384239317038,Condition Parameter,1,9,5000,15000,10,0.95,random,exponential,1.0
LSMR,1.597018884960562,58,8.276621587805419,0.8173807300043326,Condition Parameter,1,10,5000,15000,10,0.95,random,exponential,1.0
LSMR,1.7688160431571305,106,16.7758148093003,0.8140145446933369,Condition Parameter,2,1,5000,15000,100,0.95,random,exponential,1.0
LSMR,3.1770720263011754,106,16.23723393389502,0.8178725655053507,Condition Parameter,2,2,5000,15000,100,0.95,random,exponential,1.0
LSMR,2.18492859788239,106,16.496354042282483,0.8166092790385109,Condition Parameter,2,3,5000,15000,100,0.95,random,exponential,1.0
LSMR,2.2411146331578493,107,16.42927713856927,0.8209292062685645,Condition Parameter,2,4,5000,15000,100,0.95,random,exponential,1.0
LSMR,1.9952933164313436,106,16.464493306437483,0.8200371555310343,Condition Parameter,2,5,5000,15000,100,0.95,random,exponential,1.0
LSMR,1.6993747898377478,106,16.663506779241295,0.8168905869585499,Condition Parameter,2,6,5000,15000,100,0.95,random,exponential,1.0
LSMR,2.1652617207728326,106,16.621741498269913,0.8162511168945363,Condition Parameter,2,7,5000,15000,100,0.95,random,exponential,1.0
LSMR,1.1606470053084195,106,16.365348195257603,0.81570262638812,Condition Parameter,2,8,5000,15000,100,0.95,random,exponential,1.0
LSMR,1.1012175190262496,106,16.96756872876736,0.8158882471528336,Condition Parameter,2,9,5000,15000,100,0.95,random,exponential,1.0
LSMR,1.088492008857429,106,16.18525618800653,0.8186351004467062,Condition Parameter,2,10,5000,15000,100,0.95,random,exponential,1.0
LSMR,1.3602433810010552,132,22.04245994045635,0.8287068515760395,Condition Parameter,3,1,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.350499608553946,132,21.591098254804944,0.8311102237789539,Condition Parameter,3,2,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.3597006346099079,132,21.99093102059069,0.8302255617271762,Condition Parameter,3,3,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.3603121032938361,132,21.642616643766612,0.8344704598857134,Condition Parameter,3,4,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.3436047937721014,131,21.784780466166193,0.832758189648651,Condition Parameter,3,5,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.345636319834739,132,22.31538154613912,0.8309345042037577,Condition Parameter,3,6,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.3521344820037484,132,22.153713993431456,0.8291634505722012,Condition Parameter,3,7,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.3526267083361745,132,21.751540399251546,0.8286509245461331,Condition Parameter,3,8,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.3541877772659063,132,22.65084818965408,0.827864184670713,Condition Parameter,3,9,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.345155084040016,132,21.378570320804783,0.8315057501434588,Condition Parameter,3,10,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.3707165359519422,134,22.989395617304687,0.8516569230719678,Condition Parameter,4,1,5000,15000,10000,0.95,random,exponential,1.0
LSMR,1.371001519728452,134,22.692302329564107,0.8533639523354154,Condition Parameter,4,2,5000,15000,10000,0.95,random,exponential,1.0
LSMR,1.377403240185231,134,23.028029785296454,0.8531114184723699,Condition Parameter,4,3,5000,15000,10000,0.95,random,exponential,1.0
LSMR,1.3702475698664784,134,22.55375998404665,0.8559951454116167,Condition Parameter,4,4,5000,15000,10000,0.95,random,exponential,1.0
LSMR,1.4207472573034465,134,22.774925072948964,0.8540579395252054,Condition Parameter,4,5,5000,15000,10000,0.95,random,exponential,1.0
LSMR,1.3919116626493633,135,22.949981928848832,0.8548261817995113,Condition Parameter,4,6,5000,15000,10000,0.95,random,exponential,1.0
LSMR,1.565179097931832,135,22.93289633904576,0.8518160084774613,Condition Parameter,4,7,5000,15000,10000,0.95,random,exponential,1.0
LSMR,1.4360022987239063,136,22.96141907218789,0.850259519860894,Condition Parameter,4,8,5000,15000,10000,0.95,random,exponential,1.0
LSMR,2.7030373183079064,135,23.675000618353096,0.8508008490297349,Condition Parameter,4,9,5000,15000,10000,0.95,random,exponential,1.0
LSMR,1.377636353019625,134,22.51861189545693,0.8527268502616228,Condition Parameter,4,10,5000,15000,10000,0.95,random,exponential,1.0
LSMR,1.3827734682708979,134,22.864299594936515,0.858483591532956,Condition Parameter,5,1,5000,15000,20000,0.95,random,exponential,1.0
LSMR,1.3992232661694288,134,22.582030902430724,0.8601593608316744,Condition Parameter,5,2,5000,15000,20000,0.95,random,exponential,1.0
LSMR,1.3810478667728603,134,22.881354737044678,0.8600518584081106,Condition Parameter,5,3,5000,15000,20000,0.95,random,exponential,1.0
LSMR,1.361748353112489,133,22.44091659887657,0.8623771864940056,Condition Parameter,5,4,5000,15000,20000,0.95,random,exponential,1.0
LSMR,1.3691865671426058,133,22.66990135830796,0.8604914797328383,Condition Parameter,5,5,5000,15000,20000,0.95,random,exponential,1.0
LSMR,1.3795189470984042,135,22.708802148754394,0.8617986844585179,Condition Parameter,5,6,5000,15000,20000,0.95,random,exponential,1.0
LSMR,1.4295556778088212,134,22.725902248112277,0.858583826334455,Condition Parameter,5,7,5000,15000,20000,0.95,random,exponential,1.0
LSMR,1.4504912607371807,135,22.890207998131466,0.8568790373436705,Condition Parameter,5,8,5000,15000,20000,0.95,random,exponential,1.0
LSMR,1.4163559209555387,134,23.526505827169682,0.8578577886505483,Condition Parameter,5,9,5000,15000,20000,0.95,random,exponential,1.0
LSMR,1.4299085829406977,134,22.450736259098996,0.8592529132233058,Condition Parameter,5,10,5000,15000,20000,0.95,random,exponential,1.0
