Solver,Time (s),Iterations,Residual,Relative Error,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
LSQR,1.0812509069219232,60,8.657057034701971,0.8104961896046496,Condition Parameter,1,1,5000,15000,10,0.95,random,exponential,1.0
LSQR,0.6452163578942418,59,8.359316265303688,0.8153584265076035,Condition Parameter,1,2,5000,15000,10,0.95,random,exponential,1.0
LSQR,0.7886910559609532,60,8.416511582498913,0.8142953244443525,Condition Parameter,1,3,5000,15000,10,0.95,random,exponential,1.0
LSQR,0.7905495478771627,60,8.4586392093771,0.8182319700708072,Condition Parameter,1,4,5000,15000,10,0.95,random,exponential,1.0
LSQR,1.2710512140765786,60,8.502818397854936,0.8176938055335093,Condition Parameter,1,5,5000,15000,10,0.95,random,exponential,1.0
LSQR,1.2475648359395564,60,8.455339485583528,0.8148638916455236,Condition Parameter,1,6,5000,15000,10,0.95,random,exponential,1.0
LSQR,0.9275174010545015,60,8.48587617560484,0.8142677171530704,Condition Parameter,1,7,5000,15000,10,0.95,random,exponential,1.0
LSQR,1.1549661280587316,60,8.38870957602912,0.814050792293783,Condition Parameter,1,8,5000,15000,10,0.95,random,exponential,1.0
LSQR,0.9044189071282744,60,8.531971612512288,0.8183384239344458,Condition Parameter,1,9,5000,15000,10,0.95,random,exponential,1.0
LSQR,1.0011733416467905,59,8.276621587639813,0.8173807299988459,Condition Parameter,1,10,5000,15000,10,0.95,random,exponential,1.0
LSQR,2.2710076021030545,110,16.77581480654405,0.8140145445698773,Condition Parameter,2,1,5000,15000,100,0.95,random,exponential,1.0
LSQR,2.299777560867369,111,16.23723393580673,0.8178725655718454,Condition Parameter,2,2,5000,15000,100,0.95,random,exponential,1.0
LSQR,1.8714985181577504,111,16.49635403898805,0.8166092790179582,Condition Parameter,2,3,5000,15000,100,0.95,random,exponential,1.0
LSQR,1.3500690627843142,111,16.42927713587308,0.8209292062377542,Condition Parameter,2,4,5000,15000,100,0.95,random,exponential,1.0
LSQR,1.544605489820242,111,16.464493303456262,0.8200371553888834,Condition Parameter,2,5,5000,15000,100,0.95,random,exponential,1.0
LSQR,1.9526941967196763,111,16.66350677786789,0.8168905868225268,Condition Parameter,2,6,5000,15000,100,0.95,random,exponential,1.0
LSQR,1.60836618905887,110,16.62174149536354,0.8162511169418227,Condition Parameter,2,7,5000,15000,100,0.95,random,exponential,1.0
LSQR,2.0773938153870404,111,16.3653481917063,0.81570262628794,Condition Parameter,2,8,5000,15000,100,0.95,random,exponential,1.0
LSQR,1.723651824053377,111,16.9675687257412,0.8158882473466627,Condition Parameter,2,9,5000,15000,100,0.95,random,exponential,1.0
LSQR,1.6915186611004174,111,16.185256186342,0.8186351005323851,Condition Parameter,2,10,5000,15000,100,0.95,random,exponential,1.0
LSQR,2.355047234799713,139,22.04245993412241,0.8287068502865765,Condition Parameter,3,1,5000,15000,1000,0.95,random,exponential,1.0
LSQR,2.6007059239782393,139,21.591098242139406,0.8311102223363822,Condition Parameter,3,2,5000,15000,1000,0.95,random,exponential,1.0
LSQR,2.190485004335642,139,21.990931012388224,0.8302255600674481,Condition Parameter,3,3,5000,15000,1000,0.95,random,exponential,1.0
LSQR,2.4139581019990146,139,21.64261663305538,0.8344704582769633,Condition Parameter,3,4,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.7330541401170194,138,21.784780460953694,0.8327581871882913,Condition Parameter,3,5,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.4425761951133609,139,22.315381538135604,0.8309345016879991,Condition Parameter,3,6,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.6996266217902303,139,22.153713986226354,0.8291634495871486,Condition Parameter,3,7,5000,15000,1000,0.95,random,exponential,1.0
LSQR,2.8854428133927286,140,21.75154039016758,0.8286509220668055,Condition Parameter,3,8,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.666335635818541,139,22.65084818171287,0.827864182684606,Condition Parameter,3,9,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.4777794540859759,139,21.37857031067932,0.8315057481131084,Condition Parameter,3,10,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.8082402008585632,142,22.989395608833217,0.8516569048543932,Condition Parameter,4,1,5000,15000,10000,0.95,random,exponential,1.0
LSQR,1.871815719641745,142,22.692302321780176,0.8533639342204105,Condition Parameter,4,2,5000,15000,10000,0.95,random,exponential,1.0
LSQR,1.6362207550555468,142,23.02802977928258,0.853111400444925,Condition Parameter,4,3,5000,15000,10000,0.95,random,exponential,1.0
LSQR,2.8691175379790366,141,22.553759976514584,0.8559951285441726,Condition Parameter,4,4,5000,15000,10000,0.95,random,exponential,1.0
LSQR,2.3630842557176948,141,22.774925065552893,0.8540579244553149,Condition Parameter,4,5,5000,15000,10000,0.95,random,exponential,1.0
LSQR,1.4732319717295468,143,22.949981920956812,0.8548261653457605,Condition Parameter,4,6,5000,15000,10000,0.95,random,exponential,1.0
LSQR,1.4772851369343698,143,22.932896323497054,0.8518159928017338,Condition Parameter,4,7,5000,15000,10000,0.95,random,exponential,1.0
LSQR,1.4812649530358613,143,22.96141906259292,0.8502595042903689,Condition Parameter,4,8,5000,15000,10000,0.95,random,exponential,1.0
LSQR,1.4543287181295455,142,23.675000611547926,0.8508008329105015,Condition Parameter,4,9,5000,15000,10000,0.95,random,exponential,1.0
LSQR,1.6762403780594468,142,22.51861188953128,0.8527268323585672,Condition Parameter,4,10,5000,15000,10000,0.95,random,exponential,1.0
LSQR,1.8366126623004675,142,22.864299587546547,0.8584835680485617,Condition Parameter,5,1,5000,15000,20000,0.95,random,exponential,1.0
LSQR,1.8655584687367082,141,22.58203089415601,0.8601593373297071,Condition Parameter,5,2,5000,15000,20000,0.95,random,exponential,1.0
LSQR,1.7531552319414914,142,22.881354727654855,0.8600518364949268,Condition Parameter,5,3,5000,15000,20000,0.95,random,exponential,1.0
LSQR,1.5733860479667783,141,22.4409165932247,0.8623771640671234,Condition Parameter,5,4,5000,15000,20000,0.95,random,exponential,1.0
LSQR,1.6789619629271328,141,22.669901349877154,0.8604914578957655,Condition Parameter,5,5,5000,15000,20000,0.95,random,exponential,1.0
LSQR,2.1500321249477565,142,22.708802141236884,0.8617986625567873,Condition Parameter,5,6,5000,15000,20000,0.95,random,exponential,1.0
LSQR,1.6523303911089897,142,22.725902239182723,0.8585838040732093,Condition Parameter,5,7,5000,15000,20000,0.95,random,exponential,1.0
LSQR,1.4646707368083298,142,22.89020798806871,0.8568790157844666,Condition Parameter,5,8,5000,15000,20000,0.95,random,exponential,1.0
LSQR,1.460582050960511,142,23.526505821684324,0.8578577656311305,Condition Parameter,5,9,5000,15000,20000,0.95,random,exponential,1.0
LSQR,1.4613326098769903,142,22.450736247195053,0.8592528889007809,Condition Parameter,5,10,5000,15000,20000,0.95,random,exponential,1.0
