Solver,Time (s),Iterations,Residual,Relative Error,Info,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
CG,4.126553688663989,322,2.250722963415285e-05,0.813003660177076,0,Lambda,1,1,5000,15000,1000,0.95,random,exponential,0.0
CG,3.2679160432890058,324,2.252424061724438e-05,0.81548915561592,0,Lambda,1,2,5000,15000,1000,0.95,random,exponential,0.0
CG,3.210385754238814,320,2.2386046610195035e-05,0.8141605855385006,0,Lambda,1,3,5000,15000,1000,0.95,random,exponential,0.0
CG,3.2645264849998057,323,2.245203557871379e-05,0.8190882242806062,0,Lambda,1,4,5000,15000,1000,0.95,random,exponential,0.0
CG,3.1842000070028007,319,2.267050446639571e-05,0.8176537513057603,0,Lambda,1,5,5000,15000,1000,0.95,random,exponential,0.0
CG,3.211422414984554,319,2.3387356140042748e-05,0.8145463689822592,0,Lambda,1,6,5000,15000,1000,0.95,random,exponential,0.0
CG,3.2084739417769015,319,2.3383235678773724e-05,0.8132439773630457,0,Lambda,1,7,5000,15000,1000,0.95,random,exponential,0.0
CG,3.2501055020838976,323,2.3823651591369316e-05,0.8138689958194791,0,Lambda,1,8,5000,15000,1000,0.95,random,exponential,0.0
CG,3.194990981835872,320,2.28716150325709e-05,0.8115147226593704,0,Lambda,1,9,5000,15000,1000,0.95,random,exponential,0.0
CG,3.2583276871591806,321,2.2748724752932764e-05,0.8159309861695957,0,Lambda,1,10,5000,15000,1000,0.95,random,exponential,0.0
CG,3.2071653632447124,321,2.368307258805363e-05,0.8130036601372295,0,Lambda,2,1,5000,15000,1000,0.95,random,exponential,1e-08
CG,3.274706954136491,322,2.4369442698627793e-05,0.8154891556746138,0,Lambda,2,2,5000,15000,1000,0.95,random,exponential,1e-08
CG,3.2029165741987526,321,2.130499617454756e-05,0.8141605855137489,0,Lambda,2,3,5000,15000,1000,0.95,random,exponential,1e-08
CG,3.2833771221339703,323,2.2507919543725418e-05,0.8190882242690786,0,Lambda,2,4,5000,15000,1000,0.95,random,exponential,1e-08
CG,3.190153568983078,320,2.161827872249419e-05,0.8176537512852924,0,Lambda,2,5,5000,15000,1000,0.95,random,exponential,1e-08
CG,3.2080607931129634,319,2.3440346629464487e-05,0.814546368965308,0,Lambda,2,6,5000,15000,1000,0.95,random,exponential,1e-08
CG,3.2317823842167854,319,2.3440067060610285e-05,0.81324397734034,0,Lambda,2,7,5000,15000,1000,0.95,random,exponential,1e-08
CG,3.245106786955148,324,2.3019384683312654e-05,0.8138689957980548,0,Lambda,2,8,5000,15000,1000,0.95,random,exponential,1e-08
CG,3.2474360521882772,319,2.3964360763039078e-05,0.811514722639978,0,Lambda,2,9,5000,15000,1000,0.95,random,exponential,1e-08
CG,3.2277317671105266,321,2.2793343564983012e-05,0.8159309861530174,0,Lambda,2,10,5000,15000,1000,0.95,random,exponential,1e-08
CG,3.197986868210137,321,5.0787405687598986e-05,0.813003657909113,0,Lambda,3,1,5000,15000,1000,0.95,random,exponential,1e-06
CG,3.2406775462441146,324,4.9586199506186754e-05,0.8154891543355252,0,Lambda,3,2,5000,15000,1000,0.95,random,exponential,1e-06
CG,3.2128873858600855,321,4.957769142189168e-05,0.814160584788303,0,Lambda,3,3,5000,15000,1000,0.95,random,exponential,1e-06
CG,3.291337062139064,323,4.978194029746849e-05,0.8190882230313832,0,Lambda,3,4,5000,15000,1000,0.95,random,exponential,1e-06
CG,3.2148781483992934,319,4.969250382582427e-05,0.8176537493596323,0,Lambda,3,5,5000,15000,1000,0.95,random,exponential,1e-06
CG,3.242511721793562,319,5.1264433998850966e-05,0.8145463672598277,0,Lambda,3,6,5000,15000,1000,0.95,random,exponential,1e-06
CG,3.2363832630217075,319,5.057991943779539e-05,0.8132439749458323,0,Lambda,3,7,5000,15000,1000,0.95,random,exponential,1e-06
CG,3.288580983877182,323,5.0225774908831656e-05,0.8138689933251227,0,Lambda,3,8,5000,15000,1000,0.95,random,exponential,1e-06
CG,3.2095999997109175,319,5.187314536605042e-05,0.811514719989938,0,Lambda,3,9,5000,15000,1000,0.95,random,exponential,1e-06
CG,3.2794332592748106,321,4.95951405604113e-05,0.8159309845660885,0,Lambda,3,10,5000,15000,1000,0.95,random,exponential,1e-06
CG,3.2414288399741054,321,0.004492343448443938,0.8130034366959031,0,Lambda,4,1,5000,15000,1000,0.95,random,exponential,0.0001
CG,3.263557080179453,324,0.004415928473270755,0.8154890291255298,0,Lambda,4,2,5000,15000,1000,0.95,random,exponential,0.0001
CG,3.2108955048024654,321,0.004476372069074531,0.8141605137836786,0,Lambda,4,3,5000,15000,1000,0.95,random,exponential,0.0001
CG,3.247774301096797,323,0.004444515278477828,0.8190881009953239,0,Lambda,4,4,5000,15000,1000,0.95,random,exponential,0.0001
CG,3.2871017968282104,320,0.004420399141881918,0.8176535581690604,0,Lambda,4,5,5000,15000,1000,0.95,random,exponential,0.0001
CG,3.2078936812467873,319,0.004561434568325546,0.8145461982807319,0,Lambda,4,6,5000,15000,1000,0.95,random,exponential,0.0001
CG,3.2311523533426225,318,0.004484231510187363,0.8132437371876354,0,Lambda,4,7,5000,15000,1000,0.95,random,exponential,0.0001
CG,3.2465007971040905,323,0.00441548378293335,0.813868747958359,0,Lambda,4,8,5000,15000,1000,0.95,random,exponential,0.0001
CG,3.2489594453945756,319,0.004613433289763618,0.8115144568052735,0,Lambda,4,9,5000,15000,1000,0.95,random,exponential,0.0001
CG,3.235700405202806,321,0.0044055058601408775,0.8159308274174589,0,Lambda,4,10,5000,15000,1000,0.95,random,exponential,0.0001
CG,3.1959786959923804,314,0.44119221091258415,0.8129964902087722,0,Lambda,5,1,5000,15000,1000,0.95,random,exponential,0.01
CG,3.169148651883006,315,0.43339468665550673,0.815491775658274,0,Lambda,5,2,5000,15000,1000,0.95,random,exponential,0.01
CG,3.191991087049246,313,0.4397063545747201,0.8141679095147427,0,Lambda,5,3,5000,15000,1000,0.95,random,exponential,0.01
CG,3.2163867033086717,315,0.43636134797300846,0.8190904865820037,0,Lambda,5,4,5000,15000,1000,0.95,random,exponential,0.01
CG,3.1310308570973575,312,0.4342895069014829,0.8176484824548199,0,Lambda,5,5,5000,15000,1000,0.95,random,exponential,0.01
CG,3.1849960582330823,313,0.4482855478777661,0.8145438942762855,0,Lambda,5,6,5000,15000,1000,0.95,random,exponential,0.01
CG,3.1671039848588407,313,0.44083816183560115,0.8132343010311625,0,Lambda,5,7,5000,15000,1000,0.95,random,exponential,0.01
CG,3.200714245904237,315,0.43362065165729546,0.8138587606196325,0,Lambda,5,8,5000,15000,1000,0.95,random,exponential,0.01
CG,3.1268812101334333,311,0.4531824229448372,0.811503814703824,0,Lambda,5,9,5000,15000,1000,0.95,random,exponential,0.01
CG,3.1730745029635727,315,0.43250263691956614,0.8159301202572928,0,Lambda,5,10,5000,15000,1000,0.95,random,exponential,0.01
CG,2.724388704635203,268,3.8536412159688838,0.8138025224840003,0,Lambda,6,1,5000,15000,1000,0.95,random,exponential,0.1
CG,2.6990742180496454,268,3.7717836107830496,0.8163712734222753,0,Lambda,6,2,5000,15000,1000,0.95,random,exponential,0.1
CG,2.703322526998818,266,3.843474284999899,0.8150678073745669,0,Lambda,6,3,5000,15000,1000,0.95,random,exponential,0.1
CG,2.7422395469620824,269,3.803209810146822,0.8199414174544805,0,Lambda,6,4,5000,15000,1000,0.95,random,exponential,0.1
CG,2.6824693107046187,267,3.8015128251105104,0.8184155808818667,0,Lambda,6,5,5000,15000,1000,0.95,random,exponential,0.1
CG,2.690081975888461,268,3.929122341530224,0.8153779966159256,0,Lambda,6,6,5000,15000,1000,0.95,random,exponential,0.1
CG,2.709116061218083,266,3.8730558609797865,0.8139936454106966,0,Lambda,6,7,5000,15000,1000,0.95,random,exponential,0.1
CG,2.714186348952353,270,3.785923798298901,0.8146029569138389,0,Lambda,6,8,5000,15000,1000,0.95,random,exponential,0.1
CG,2.731827079318464,266,3.963039337780955,0.8123123503484503,0,Lambda,6,9,5000,15000,1000,0.95,random,exponential,0.1
CG,2.6829248131252825,268,3.7663719463821086,0.816779884399921,0,Lambda,6,10,5000,15000,1000,0.95,random,exponential,0.1
CG,1.4653176912106574,144,22.042459933263206,0.8287068501952416,0,Lambda,7,1,5000,15000,1000,0.95,random,exponential,1.0
CG,1.4423370850272477,143,21.591098247550384,0.8311102222446362,0,Lambda,7,2,5000,15000,1000,0.95,random,exponential,1.0
CG,1.4683218859136105,144,21.990931012531345,0.8302255599971273,0,Lambda,7,3,5000,15000,1000,0.95,random,exponential,1.0
CG,1.4410308399237692,143,21.64261663375438,0.8344704581821525,0,Lambda,7,4,5000,15000,1000,0.95,random,exponential,1.0
CG,1.4656928461045027,142,21.784780460707314,0.832758186931577,0,Lambda,7,5,5000,15000,1000,0.95,random,exponential,1.0
CG,1.439928307197988,143,22.315381538462535,0.830934501566213,0,Lambda,7,6,5000,15000,1000,0.95,random,exponential,1.0
CG,1.460116851143539,143,22.153713985919996,0.8291634495111397,0,Lambda,7,7,5000,15000,1000,0.95,random,exponential,1.0
CG,1.4578503840602934,144,21.75154039115654,0.8286509218902467,0,Lambda,7,8,5000,15000,1000,0.95,random,exponential,1.0
CG,1.4514690595678985,143,22.650848181613533,0.8278641825288856,0,Lambda,7,9,5000,15000,1000,0.95,random,exponential,1.0
CG,1.4480496100150049,143,21.3785703128044,0.8315057479933333,0,Lambda,7,10,5000,15000,1000,0.95,random,exponential,1.0
