Solver,Time (s),Iterations,Residual,Relative Error,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
LSMR,2.8730371203273535,284,0.0001718210293961948,0.8130036577658876,Lambda,1,1,5000,15000,1000,0.95,random,exponential,0.0
LSMR,2.86691472819075,285,0.00017365186018006567,0.8154891616717848,Lambda,1,2,5000,15000,1000,0.95,random,exponential,0.0
LSMR,2.8556590150110424,281,0.00017278475793805717,0.814160585950655,Lambda,1,3,5000,15000,1000,0.95,random,exponential,0.0
LSMR,2.8587506487965584,285,0.00017184271570430313,0.8190882274020491,Lambda,1,4,5000,15000,1000,0.95,random,exponential,0.0
LSMR,2.8558537769131362,283,0.00016702394317529788,0.8176537561088787,Lambda,1,5,5000,15000,1000,0.95,random,exponential,0.0
LSMR,2.872711001895368,282,0.0001740545080119866,0.8145463715667348,Lambda,1,6,5000,15000,1000,0.95,random,exponential,0.0
LSMR,2.819438999053091,281,0.00017654634428077942,0.8132439817355778,Lambda,1,7,5000,15000,1000,0.95,random,exponential,0.0
LSMR,2.8662337413989007,286,0.00017223404656230583,0.8138689949178749,Lambda,1,8,5000,15000,1000,0.95,random,exponential,0.0
LSMR,2.816866610199213,281,0.00017790493853889558,0.8115147196167833,Lambda,1,9,5000,15000,1000,0.95,random,exponential,0.0
LSMR,2.8446243940852582,284,0.00016959352382422285,0.8159309819266831,Lambda,1,10,5000,15000,1000,0.95,random,exponential,0.0
LSMR,4.73019976913929,473,4.506272665662627e-07,0.8130036601737357,Lambda,2,1,5000,15000,1000,0.95,random,exponential,1e-08
LSMR,4.761598861776292,475,4.430100588345061e-07,0.8154891553032685,Lambda,2,2,5000,15000,1000,0.95,random,exponential,1e-08
LSMR,4.708166778087616,470,4.4895905946355847e-07,0.814160585274082,Lambda,2,3,5000,15000,1000,0.95,random,exponential,1e-08
LSMR,4.783158587757498,474,4.4580525056544523e-07,0.8190882238943761,Lambda,2,4,5000,15000,1000,0.95,random,exponential,1e-08
LSMR,4.73767747124657,470,4.434766992178539e-07,0.8176537513775755,Lambda,2,5,5000,15000,1000,0.95,random,exponential,1e-08
LSMR,4.743949105963111,472,4.574396753268979e-07,0.814546368949261,Lambda,2,6,5000,15000,1000,0.95,random,exponential,1e-08
LSMR,4.743166032247245,473,4.4978082065475335e-07,0.8132439767360898,Lambda,2,7,5000,15000,1000,0.95,random,exponential,1e-08
LSMR,4.895499913021922,477,4.4309873462349836e-07,0.8138689956297654,Lambda,2,8,5000,15000,1000,0.95,random,exponential,1e-08
LSMR,4.759819905739278,472,4.6272646144344217e-07,0.8115147222520446,Lambda,2,9,5000,15000,1000,0.95,random,exponential,1e-08
