Solver,Time (s),Iterations,Residual,Relative Error,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
LSQR,2.8288376801647246,277,0.00016997155702388482,0.8130036582996003,Lambda,1,1,5000,15000,1000,0.95,random,exponential,0.0
LSQR,2.8292764448560774,278,0.0001696408071805911,0.8154891598483058,Lambda,1,2,5000,15000,1000,0.95,random,exponential,0.0
LSQR,2.7769431238994002,274,0.0001704668364642392,0.8141605852700501,Lambda,1,3,5000,15000,1000,0.95,random,exponential,0.0
LSQR,2.8094623535871506,278,0.0001701625316349477,0.8190882275488339,Lambda,1,4,5000,15000,1000,0.95,random,exponential,0.0
LSQR,2.8044913383200765,276,0.0001656980649092676,0.8176537536100361,Lambda,1,5,5000,15000,1000,0.95,random,exponential,0.0
LSQR,2.778434962965548,275,0.0001702791819660697,0.8145463712909394,Lambda,1,6,5000,15000,1000,0.95,random,exponential,0.0
LSQR,2.766882461961359,274,0.00017331884870713888,0.81324398021089,Lambda,1,7,5000,15000,1000,0.95,random,exponential,0.0
LSQR,2.819629719015211,279,0.00016944782016567922,0.8138689946671245,Lambda,1,8,5000,15000,1000,0.95,random,exponential,0.0
LSQR,2.77863525506109,275,0.00017027548214933224,0.811514721032689,Lambda,1,9,5000,15000,1000,0.95,random,exponential,0.0
LSQR,2.8147892840206623,277,0.0001678937039661939,0.8159309830570799,Lambda,1,10,5000,15000,1000,0.95,random,exponential,0.0
LSQR,5.028070096857846,499,4.4937793306523126e-07,0.8130036601746351,Lambda,2,1,5000,15000,1000,0.95,random,exponential,1e-08
LSQR,5.083347822073847,502,4.417359635849656e-07,0.8154891553033119,Lambda,2,2,5000,15000,1000,0.95,random,exponential,1e-08
LSQR,5.005701553076506,497,4.4777313365696545e-07,0.8141605852740563,Lambda,2,3,5000,15000,1000,0.95,random,exponential,1e-08
LSQR,5.048689579125494,500,4.4459230747885895e-07,0.8190882238943802,Lambda,2,4,5000,15000,1000,0.95,random,exponential,1e-08
LSQR,5.008493025321513,498,4.421715945267699e-07,0.8176537513788059,Lambda,2,5,5000,15000,1000,0.95,random,exponential,1e-08
LSQR,5.006271480116993,498,4.5628128340620307e-07,0.8145463689502441,Lambda,2,6,5000,15000,1000,0.95,random,exponential,1e-08
LSQR,5.058223657310009,499,4.4856068064518936e-07,0.8132439767356195,Lambda,2,7,5000,15000,1000,0.95,random,exponential,1e-08
LSQR,5.108608808834106,504,4.416886583125423e-07,0.8138689956291156,Lambda,2,8,5000,15000,1000,0.95,random,exponential,1e-08
LSQR,5.040587939321995,500,4.6147526453746183e-07,0.8115147222525183,Lambda,2,9,5000,15000,1000,0.95,random,exponential,1e-08
LSQR,5.052294430788606,499,4.4069154532535097e-07,0.8159309864375947,Lambda,2,10,5000,15000,1000,0.95,random,exponential,1e-08
LSQR,4.561933582182974,450,4.493113533352733e-05,0.8130036579451063,Lambda,3,1,5000,15000,1000,0.95,random,exponential,1e-06
LSQR,4.597542585339397,452,4.416725388510327e-05,0.8154891540349147,Lambda,3,2,5000,15000,1000,0.95,random,exponential,1e-06
LSQR,4.523015091661364,447,4.477140414626796e-05,0.8141605845484275,Lambda,3,3,5000,15000,1000,0.95,random,exponential,1e-06
LSQR,4.553772239945829,450,4.4453008780888834e-05,0.8190882226583975,Lambda,3,4,5000,15000,1000,0.95,random,exponential,1e-06
LSQR,4.526013735681772,447,4.4211487828390273e-05,0.8176537494497297,Lambda,3,5,5000,15000,1000,0.95,random,exponential,1e-06
LSQR,4.51391977770254,448,4.56218990795576e-05,0.8145463672433267,Lambda,3,6,5000,15000,1000,0.95,random,exponential,1e-06
LSQR,4.538895980920643,450,4.484952184615485e-05,0.8132439743432933,Lambda,3,7,5000,15000,1000,0.95,random,exponential,1e-06
LSQR,4.594003144651651,454,4.416243174192897e-05,0.8138689931608846,Lambda,3,8,5000,15000,1000,0.95,random,exponential,1e-06
LSQR,4.538372925948352,449,4.61421791162121e-05,0.8115147196032829,Lambda,3,9,5000,15000,1000,0.95,random,exponential,1e-06
LSQR,4.536875877063721,451,4.406282587766012e-05,0.8159309848517063,Lambda,3,10,5000,15000,1000,0.95,random,exponential,1e-06
LSQR,4.027031076140702,400,0.004492280421015679,0.8130034367367677,Lambda,4,1,5000,15000,1000,0.95,random,exponential,0.0001
LSQR,4.083522550296038,404,0.00441587263816775,0.8154890288293547,Lambda,4,2,5000,15000,1000,0.95,random,exponential,0.0001
LSQR,4.017662417143583,398,0.004476318918376415,0.8141605135407556,Lambda,4,3,5000,15000,1000,0.95,random,exponential,0.0001
LSQR,4.031632808037102,402,0.004444460165156287,0.8190881006361944,Lambda,4,4,5000,15000,1000,0.95,random,exponential,0.0001
LSQR,3.990417571272701,396,0.004420344069912755,0.8176535582489536,Lambda,4,5,5000,15000,1000,0.95,random,exponential,0.0001
LSQR,4.034825725946575,399,0.004561375497622492,0.8145461982571898,Lambda,4,6,5000,15000,1000,0.95,random,exponential,0.0001
LSQR,4.02607426373288,400,0.004484165226678611,0.8132437365599999,Lambda,4,7,5000,15000,1000,0.95,random,exponential,0.0001
LSQR,4.054202460683882,404,0.004415419685424396,0.8138687478121415,Lambda,4,8,5000,15000,1000,0.95,random,exponential,0.0001
LSQR,4.004990268032998,398,0.004613370494420364,0.8115144564149168,Lambda,4,9,5000,15000,1000,0.95,random,exponential,0.0001
LSQR,4.02723245928064,401,0.004405446871489011,0.8159308277057051,Lambda,4,10,5000,15000,1000,0.95,random,exponential,0.0001
LSQR,3.4574798168614507,343,0.44119220753786076,0.812996490387744,Lambda,5,1,5000,15000,1000,0.95,random,exponential,0.01
LSQR,3.487248404417187,346,0.4333946843740167,0.8154917750740378,Lambda,5,2,5000,15000,1000,0.95,random,exponential,0.01
LSQR,3.4245922681875527,341,0.4397063537374086,0.8141679092765325,Lambda,5,3,5000,15000,1000,0.95,random,exponential,0.01
LSQR,3.475214479956776,344,0.4363613471740653,0.8190904862967212,Lambda,5,4,5000,15000,1000,0.95,random,exponential,0.01
LSQR,3.433408809825778,341,0.43428950507048214,0.8176484824428649,Lambda,5,5,5000,15000,1000,0.95,random,exponential,0.01
LSQR,3.432076054625213,341,0.4482855490778076,0.814543894204565,Lambda,5,6,5000,15000,1000,0.95,random,exponential,0.01
LSQR,3.426792373880744,341,0.4408381591106038,0.8132343005434878,Lambda,5,7,5000,15000,1000,0.95,random,exponential,0.01
LSQR,3.4623064110055566,345,0.43362065022342616,0.8138587606855023,Lambda,5,8,5000,15000,1000,0.95,random,exponential,0.01
LSQR,3.4232923351228237,341,0.4531824244775296,0.8115038145432145,Lambda,5,9,5000,15000,1000,0.95,random,exponential,0.01
LSQR,3.4599991450086236,344,0.4325026369563486,0.8159301204374967,Lambda,5,10,5000,15000,1000,0.95,random,exponential,0.01
LSQR,2.748479991685599,274,3.8536412196205836,0.8138025225562706,Lambda,6,1,5000,15000,1000,0.95,random,exponential,0.1
LSQR,2.747895414941013,274,3.771783611489126,0.8163712733389011,Lambda,6,2,5000,15000,1000,0.95,random,exponential,0.1
LSQR,2.7544777411967516,272,3.8434742837843503,0.8150678073857184,Lambda,6,3,5000,15000,1000,0.95,random,exponential,0.1
LSQR,2.772676989901811,275,3.803209808054241,0.8199414174294424,Lambda,6,4,5000,15000,1000,0.95,random,exponential,0.1
