Solver,Time (s),Iterations,Residual,Relative Error,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
LSMR,1.5191935100592673,132,22.04245994045635,0.8287068515760395,Matrix Size,1,1,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.3471086039207876,132,21.591098254804944,0.8311102237789539,Matrix Size,1,2,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.3344556470401585,132,21.99093102059069,0.8302255617271762,Matrix Size,1,3,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.3317979671992362,132,21.642616643766612,0.8344704598857134,Matrix Size,1,4,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.3645534263923764,131,21.784780466166193,0.832758189648651,Matrix Size,1,5,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.3335978570394218,132,22.31538154613912,0.8309345042037577,Matrix Size,1,6,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.3306194050237536,132,22.153713993431456,0.8291634505722012,Matrix Size,1,7,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.379942033905536,132,21.751540399251546,0.8286509245461331,Matrix Size,1,8,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.3379269149154425,132,22.65084818965408,0.827864184670713,Matrix Size,1,9,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.3454788159579039,132,21.378570320804783,0.8315057501434588,Matrix Size,1,10,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.5525261806324124,116,18.12040490445924,0.8719092358883181,Matrix Size,2,1,5000,20000,1000,0.95,random,exponential,1.0
LSMR,1.5273793959058821,115,18.382976377706306,0.8680563585171295,Matrix Size,2,2,5000,20000,1000,0.95,random,exponential,1.0
LSMR,1.5612913682125509,116,18.328427687368432,0.8703344109214448,Matrix Size,2,3,5000,20000,1000,0.95,random,exponential,1.0
LSMR,1.5498052621260285,116,18.495092181834984,0.8682778912940355,Matrix Size,2,4,5000,20000,1000,0.95,random,exponential,1.0
LSMR,1.5511326752603054,116,18.14123442052209,0.8677200124577766,Matrix Size,2,5,5000,20000,1000,0.95,random,exponential,1.0
LSMR,1.586387611925602,117,18.78045429747884,0.8693240747233477,Matrix Size,2,6,5000,20000,1000,0.95,random,exponential,1.0
LSMR,1.547883230727166,115,17.97458567873662,0.8673897218205686,Matrix Size,2,7,5000,20000,1000,0.95,random,exponential,1.0
LSMR,1.5896407580003142,117,18.43227917423747,0.8671920887341321,Matrix Size,2,8,5000,20000,1000,0.95,random,exponential,1.0
LSMR,1.5682104830630124,117,18.732652530296683,0.864096189898467,Matrix Size,2,9,5000,20000,1000,0.95,random,exponential,1.0
LSMR,1.5563600528985262,115,17.9847700098996,0.8690962205322915,Matrix Size,2,10,5000,20000,1000,0.95,random,exponential,1.0
LSMR,1.681245669722557,62,9.45847042517502,0.9336603379140912,Matrix Size,3,1,5000,40000,1000,0.95,random,exponential,1.0
LSMR,1.666018942836672,62,9.111950032956118,0.9376911838190497,Matrix Size,3,2,5000,40000,1000,0.95,random,exponential,1.0
LSMR,1.66863594064489,62,9.007605942433502,0.935864624511693,Matrix Size,3,3,5000,40000,1000,0.95,random,exponential,1.0
LSMR,1.6811790186911821,62,9.188498783894993,0.9362196109663317,Matrix Size,3,4,5000,40000,1000,0.95,random,exponential,1.0
LSMR,1.693988157901913,62,9.408878016302126,0.9347614258519334,Matrix Size,3,5,5000,40000,1000,0.95,random,exponential,1.0
LSMR,1.7220984869636595,62,9.15023343477038,0.9358042000097339,Matrix Size,3,6,5000,40000,1000,0.95,random,exponential,1.0
LSMR,1.6751479567028582,62,9.015528317309222,0.9357694496870751,Matrix Size,3,7,5000,40000,1000,0.95,random,exponential,1.0
LSMR,1.6712537230923772,62,9.475082272930525,0.934559768351934,Matrix Size,3,8,5000,40000,1000,0.95,random,exponential,1.0
LSMR,1.7672596471384168,62,9.428930206468097,0.9326873612557295,Matrix Size,3,9,5000,40000,1000,0.95,random,exponential,1.0
LSMR,1.6839312729425728,62,9.21510426695961,0.9354946147350799,Matrix Size,3,10,5000,40000,1000,0.95,random,exponential,1.0
