Solver,Time (s),Iterations,Residual,Relative Error,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
LSQR,1.7248447379097342,139,22.04245993412241,0.8287068502865765,Matrix Size,1,1,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.402233469299972,139,21.591098242139406,0.8311102223363822,Matrix Size,1,2,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.4170301109552383,139,21.990931012388224,0.8302255600674481,Matrix Size,1,3,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.404323812108487,139,21.64261663305538,0.8344704582769633,Matrix Size,1,4,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.4028996671549976,138,21.784780460953694,0.8327581871882913,Matrix Size,1,5,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.4132092790678144,139,22.315381538135604,0.8309345016879991,Matrix Size,1,6,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.4111436167731881,139,22.153713986226354,0.8291634495871486,Matrix Size,1,7,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.4277635300531983,140,21.75154039016758,0.8286509220668055,Matrix Size,1,8,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.4200534741394222,139,22.65084818171287,0.827864182684606,Matrix Size,1,9,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.405696677044034,139,21.37857031067932,0.8315057481131084,Matrix Size,1,10,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.62084770668298,122,18.120404899651508,0.8719092360029046,Matrix Size,2,1,5000,20000,1000,0.95,random,exponential,1.0
LSQR,1.6229416700080037,121,18.382976373059222,0.8680563584939647,Matrix Size,2,2,5000,20000,1000,0.95,random,exponential,1.0
LSQR,1.6198767651803792,121,18.328427682254535,0.8703344108869069,Matrix Size,2,3,5000,20000,1000,0.95,random,exponential,1.0
LSQR,1.6172534027136862,122,18.495092177115538,0.8682778913606761,Matrix Size,2,4,5000,20000,1000,0.95,random,exponential,1.0
LSQR,1.6512770047411323,122,18.141234415444366,0.867720012192001,Matrix Size,2,5,5000,20000,1000,0.95,random,exponential,1.0
LSQR,1.6385299260728061,122,18.7804542929518,0.8693240748536823,Matrix Size,2,6,5000,20000,1000,0.95,random,exponential,1.0
LSQR,1.6128448648378253,121,17.974585674932975,0.8673897218115615,Matrix Size,2,7,5000,20000,1000,0.95,random,exponential,1.0
LSQR,1.6396609377115965,123,18.432279169789812,0.8671920886260779,Matrix Size,2,8,5000,20000,1000,0.95,random,exponential,1.0
LSQR,1.6433463781140745,122,18.73265252610617,0.8640961898920262,Matrix Size,2,9,5000,20000,1000,0.95,random,exponential,1.0
LSQR,1.623615822289139,121,17.984770004737694,0.8690962204751151,Matrix Size,2,10,5000,20000,1000,0.95,random,exponential,1.0
LSQR,1.7190081956796348,64,9.45847042488886,0.9336603379143353,Matrix Size,3,1,5000,40000,1000,0.95,random,exponential,1.0
LSQR,1.7189727458171546,64,9.111950032708497,0.9376911838166868,Matrix Size,3,2,5000,40000,1000,0.95,random,exponential,1.0
LSQR,1.6909361290745437,63,9.00760594222231,0.9358646245094887,Matrix Size,3,3,5000,40000,1000,0.95,random,exponential,1.0
LSQR,1.7162576061673462,64,9.188498783646576,0.9362196109683427,Matrix Size,3,4,5000,40000,1000,0.95,random,exponential,1.0
LSQR,1.6883742813952267,63,9.408878016106835,0.9347614258514414,Matrix Size,3,5,5000,40000,1000,0.95,random,exponential,1.0
LSQR,1.7269846531562507,64,9.150233434505633,0.9358042000069707,Matrix Size,3,6,5000,40000,1000,0.95,random,exponential,1.0
LSQR,1.7172523769550025,64,9.015528317045165,0.9357694496818942,Matrix Size,3,7,5000,40000,1000,0.95,random,exponential,1.0
LSQR,1.7319719879887998,64,9.475082272671456,0.9345597683562966,Matrix Size,3,8,5000,40000,1000,0.95,random,exponential,1.0
LSQR,1.700267761014402,63,9.428930206251145,0.932687361258681,Matrix Size,3,9,5000,40000,1000,0.95,random,exponential,1.0
LSQR,1.7219229592010379,64,9.215104266723658,0.9354946147373967,Matrix Size,3,10,5000,40000,1000,0.95,random,exponential,1.0
