Solver,Time (s),Iterations,Residual,Relative Error,Info,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
CG,1.803970535285771,144,22.042459933263206,0.8287068501952416,0,Sparsity Pattern,1,1,5000,15000,1000,0.95,random,exponential,1.0
CG,1.552469844929874,143,21.591098247550384,0.8311102222446362,0,Sparsity Pattern,1,2,5000,15000,1000,0.95,random,exponential,1.0
CG,1.6345036458224058,144,21.990931012531345,0.8302255599971273,0,Sparsity Pattern,1,3,5000,15000,1000,0.95,random,exponential,1.0
CG,1.6146091623231769,143,21.64261663375438,0.8344704581821525,0,Sparsity Pattern,1,4,5000,15000,1000,0.95,random,exponential,1.0
CG,1.4667960638180375,142,21.784780460707314,0.832758186931577,0,Sparsity Pattern,1,5,5000,15000,1000,0.95,random,exponential,1.0
CG,1.596839418169111,143,22.315381538462535,0.830934501566213,0,Sparsity Pattern,1,6,5000,15000,1000,0.95,random,exponential,1.0
CG,1.5346836987882853,143,22.153713985919996,0.8291634495111397,0,Sparsity Pattern,1,7,5000,15000,1000,0.95,random,exponential,1.0
CG,1.4626025282777846,144,21.75154039115654,0.8286509218902467,0,Sparsity Pattern,1,8,5000,15000,1000,0.95,random,exponential,1.0
CG,1.4844019142910838,143,22.650848181613533,0.8278641825288856,0,Sparsity Pattern,1,9,5000,15000,1000,0.95,random,exponential,1.0
CG,1.4661742569878697,143,21.3785703128044,0.8315057479933333,0,Sparsity Pattern,1,10,5000,15000,1000,0.95,random,exponential,1.0
CG,2.2089918763376772,243,18.975064656379114,0.9073053285865311,0,Sparsity Pattern,2,1,5000,15000,1000,0.95,banded,exponential,1.0
CG,2.1944931680336595,243,19.14078898466092,0.9008089434150062,0,Sparsity Pattern,2,2,5000,15000,1000,0.95,banded,exponential,1.0
CG,2.2265041461214423,246,19.05518597846891,0.9065535979188687,0,Sparsity Pattern,2,3,5000,15000,1000,0.95,banded,exponential,1.0
CG,2.22504820022732,243,19.4364156406344,0.9058490623783756,0,Sparsity Pattern,2,4,5000,15000,1000,0.95,banded,exponential,1.0
CG,2.20937295909971,244,19.163224797256017,0.9085174014104819,0,Sparsity Pattern,2,5,5000,15000,1000,0.95,banded,exponential,1.0
CG,2.21048624208197,243,19.792667515420913,0.9002542171574667,0,Sparsity Pattern,2,6,5000,15000,1000,0.95,banded,exponential,1.0
CG,2.1997369951568544,242,19.24358954365314,0.905651726721264,0,Sparsity Pattern,2,7,5000,15000,1000,0.95,banded,exponential,1.0
CG,2.2181199439801276,244,19.437242152012264,0.9027830032767259,0,Sparsity Pattern,2,8,5000,15000,1000,0.95,banded,exponential,1.0
CG,2.2250042292289436,244,19.230204804507544,0.9060369691599345,0,Sparsity Pattern,2,9,5000,15000,1000,0.95,banded,exponential,1.0
CG,2.2048407597467303,243,19.256860601020435,0.9003450506421949,0,Sparsity Pattern,2,10,5000,15000,1000,0.95,banded,exponential,1.0
CG,1.5733386278152466,172,22.366701272073545,0.835872102018062,0,Sparsity Pattern,3,1,5000,15000,1000,0.95,block,exponential,1.0
CG,1.7027607802301645,186,22.0732918966389,0.8343970766277481,0,Sparsity Pattern,3,2,5000,15000,1000,0.95,block,exponential,1.0
CG,1.6317546302452683,178,22.844181261726504,0.8346918006714433,0,Sparsity Pattern,3,3,5000,15000,1000,0.95,block,exponential,1.0
CG,1.7570860353298485,192,22.099588470221796,0.8356882402732753,0,Sparsity Pattern,3,4,5000,15000,1000,0.95,block,exponential,1.0
CG,1.6165383136831224,178,21.875037588792413,0.8363515248814004,0,Sparsity Pattern,3,5,5000,15000,1000,0.95,block,exponential,1.0
CG,1.5568932038731873,170,22.472739264649313,0.8355443104884354,0,Sparsity Pattern,3,6,5000,15000,1000,0.95,block,exponential,1.0
CG,1.6478371350094676,180,21.816159931507848,0.8341112058334376,0,Sparsity Pattern,3,7,5000,15000,1000,0.95,block,exponential,1.0
CG,1.6157476752996445,177,22.415378322612025,0.8348432569442326,0,Sparsity Pattern,3,8,5000,15000,1000,0.95,block,exponential,1.0
CG,1.6860049408860505,184,22.812367993421294,0.8310199033436515,0,Sparsity Pattern,3,9,5000,15000,1000,0.95,block,exponential,1.0
CG,1.4744172259233892,162,22.6655627983494,0.8304697172016446,0,Sparsity Pattern,3,10,5000,15000,1000,0.95,block,exponential,1.0
