Solver,Time (s),Iterations,Residual,Relative Error,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
LSMR,1.4175498960539699,132,22.04245994045635,0.8287068515760395,Sparsity Pattern,1,1,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.378036955371499,132,21.591098254804944,0.8311102237789539,Sparsity Pattern,1,2,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.3841844219714403,132,21.99093102059069,0.8302255617271762,Sparsity Pattern,1,3,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.5805632821284235,132,21.642616643766612,0.8344704598857134,Sparsity Pattern,1,4,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.5672767371870577,131,21.784780466166193,0.832758189648651,Sparsity Pattern,1,5,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.5819618287496269,132,22.31538154613912,0.8309345042037577,Sparsity Pattern,1,6,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.5703958342783153,132,22.153713993431456,0.8291634505722012,Sparsity Pattern,1,7,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.5815352853387594,132,21.751540399251546,0.8286509245461331,Sparsity Pattern,1,8,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.581400542985648,132,22.65084818965408,0.827864184670713,Sparsity Pattern,1,9,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.573400974739343,132,21.378570320804783,0.8315057501434588,Sparsity Pattern,1,10,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.9936018958687782,219,18.975064683255628,0.9073054242789893,Sparsity Pattern,2,1,5000,15000,1000,0.95,banded,exponential,1.0
LSMR,1.982618826907128,218,19.1407890136282,0.9008090422143018,Sparsity Pattern,2,2,5000,15000,1000,0.95,banded,exponential,1.0
LSMR,1.986343678086996,219,19.055186009004707,0.9065537014420681,Sparsity Pattern,2,3,5000,15000,1000,0.95,banded,exponential,1.0
LSMR,2.0053010107949376,219,19.43641567144537,0.9058491562150606,Sparsity Pattern,2,4,5000,15000,1000,0.95,banded,exponential,1.0
LSMR,1.9944645348004997,219,19.163224825239997,0.9085175001681218,Sparsity Pattern,2,5,5000,15000,1000,0.95,banded,exponential,1.0
LSMR,2.0173102100379765,219,19.79266755255948,0.9002543187785566,Sparsity Pattern,2,6,5000,15000,1000,0.95,banded,exponential,1.0
LSMR,2.003573201596737,219,19.243589563146987,0.9056518258471679,Sparsity Pattern,2,7,5000,15000,1000,0.95,banded,exponential,1.0
LSMR,2.0030825468711555,219,19.437242180407473,0.9027830930678457,Sparsity Pattern,2,8,5000,15000,1000,0.95,banded,exponential,1.0
LSMR,2.0111316232942045,219,19.230204828998858,0.90603706474665,Sparsity Pattern,2,9,5000,15000,1000,0.95,banded,exponential,1.0
LSMR,1.992353062145412,219,19.256860632891843,0.9003451468851806,Sparsity Pattern,2,10,5000,15000,1000,0.95,banded,exponential,1.0
LSMR,1.4392099417746067,156,22.366701284199298,0.835872106934702,Sparsity Pattern,3,1,5000,15000,1000,0.95,block,exponential,1.0
LSMR,1.5275985533371568,166,22.073291912358847,0.8343970870891849,Sparsity Pattern,3,2,5000,15000,1000,0.95,block,exponential,1.0
LSMR,1.4734489098191261,162,22.84418127635723,0.8346918053517001,Sparsity Pattern,3,3,5000,15000,1000,0.95,block,exponential,1.0
LSMR,1.5832013599574566,172,22.099588489439878,0.8356882464811567,Sparsity Pattern,3,4,5000,15000,1000,0.95,block,exponential,1.0
LSMR,1.4780467976815999,161,21.875037600542406,0.8363515315372501,Sparsity Pattern,3,5,5000,15000,1000,0.95,block,exponential,1.0
LSMR,1.4043180332519114,153,22.472739277927445,0.835544315707431,Sparsity Pattern,3,6,5000,15000,1000,0.95,block,exponential,1.0
LSMR,1.478171450085938,163,21.816159945788044,0.8341112124880237,Sparsity Pattern,3,7,5000,15000,1000,0.95,block,exponential,1.0
LSMR,1.4407771658152342,157,22.41537833557893,0.8348432636432507,Sparsity Pattern,3,8,5000,15000,1000,0.95,block,exponential,1.0
LSMR,1.4969526431523263,165,22.812368009078778,0.8310199121890224,Sparsity Pattern,3,9,5000,15000,1000,0.95,block,exponential,1.0
LSMR,1.346466519869864,147,22.665562810186696,0.8304697209212961,Sparsity Pattern,3,10,5000,15000,1000,0.95,block,exponential,1.0
