Solver,Time (s),Iterations,Residual,Relative Error,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
LSQR,1.4611342889256775,139,22.04245993412241,0.8287068502865765,Sparsity Pattern,1,1,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.41829281905666,139,21.591098242139406,0.8311102223363822,Sparsity Pattern,1,2,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.4127903329208493,139,21.990931012388224,0.8302255600674481,Sparsity Pattern,1,3,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.40816864464432,139,21.64261663305538,0.8344704582769633,Sparsity Pattern,1,4,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.3983211941085756,138,21.784780460953694,0.8327581871882913,Sparsity Pattern,1,5,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.4077013698406518,139,22.315381538135604,0.8309345016879991,Sparsity Pattern,1,6,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.4132014671340585,139,22.153713986226354,0.8291634495871486,Sparsity Pattern,1,7,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.44841413712129,140,21.75154039016758,0.8286509220668055,Sparsity Pattern,1,8,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.4018828310072422,139,22.65084818171287,0.827864182684606,Sparsity Pattern,1,9,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.4066136898472905,139,21.37857031067932,0.8315057481131084,Sparsity Pattern,1,10,5000,15000,1000,0.95,random,exponential,1.0
LSQR,2.1096236957237124,236,18.97506465496182,0.907305335593797,Sparsity Pattern,2,1,5000,15000,1000,0.95,banded,exponential,1.0
LSQR,2.073369635734707,235,19.14078898563673,0.9008089502578613,Sparsity Pattern,2,2,5000,15000,1000,0.95,banded,exponential,1.0
LSQR,2.105404722969979,237,19.05518597709062,0.9065536057053132,Sparsity Pattern,2,3,5000,15000,1000,0.95,banded,exponential,1.0
LSQR,2.104366162326187,237,19.436415640082284,0.905849066984149,Sparsity Pattern,2,4,5000,15000,1000,0.95,banded,exponential,1.0
LSQR,2.097903956193477,236,19.163224791176134,0.9085174076146517,Sparsity Pattern,2,5,5000,15000,1000,0.95,banded,exponential,1.0
LSQR,2.0997773250564933,237,19.792667521070115,0.900254222455988,Sparsity Pattern,2,6,5000,15000,1000,0.95,banded,exponential,1.0
LSQR,2.1061738510616124,237,19.243589540534508,0.90565173145466,Sparsity Pattern,2,7,5000,15000,1000,0.95,banded,exponential,1.0
LSQR,2.0878991237841547,235,19.437242148918635,0.902783011083122,Sparsity Pattern,2,8,5000,15000,1000,0.95,banded,exponential,1.0
LSQR,2.177525170147419,237,19.23020480528432,0.9060369749369344,Sparsity Pattern,2,9,5000,15000,1000,0.95,banded,exponential,1.0
LSQR,2.114044161979109,236,19.256860603727112,0.900345056842607,Sparsity Pattern,2,10,5000,15000,1000,0.95,banded,exponential,1.0
LSQR,1.49946177797392,166,22.366701271856673,0.8358721022645305,Sparsity Pattern,3,1,5000,15000,1000,0.95,block,exponential,1.0
LSQR,1.5937639926560223,178,22.07329189226983,0.8343970772177433,Sparsity Pattern,3,2,5000,15000,1000,0.95,block,exponential,1.0
LSQR,1.5510278060100973,172,22.844181262648682,0.8346918009354809,Sparsity Pattern,3,3,5000,15000,1000,0.95,block,exponential,1.0
LSQR,1.6572812520898879,184,22.099588470971273,0.8356882405631562,Sparsity Pattern,3,4,5000,15000,1000,0.95,block,exponential,1.0
LSQR,1.5406376300379634,171,21.875037575117375,0.8363515252669189,Sparsity Pattern,3,5,5000,15000,1000,0.95,block,exponential,1.0
LSQR,1.4508795719593763,161,22.47273926349055,0.8355443109948782,Sparsity Pattern,3,6,5000,15000,1000,0.95,block,exponential,1.0
LSQR,1.5622510998509824,174,21.81615993499832,0.8341112061672072,Sparsity Pattern,3,7,5000,15000,1000,0.95,block,exponential,1.0
LSQR,1.5059461151249707,167,22.415378325552307,0.8348432575121617,Sparsity Pattern,3,8,5000,15000,1000,0.95,block,exponential,1.0
LSQR,1.5857548909261823,176,22.81236799429592,0.83101990404842,Sparsity Pattern,3,9,5000,15000,1000,0.95,block,exponential,1.0
LSQR,1.4041378139518201,156,22.665562802223498,0.8304697173913291,Sparsity Pattern,3,10,5000,15000,1000,0.95,block,exponential,1.0
