Solver,Time (s),Iterations,Residual,Relative Error,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
LSMR,3.246272405143827,167,18.886545726382213,0.8276223244759437,Sparsity,1,1,5000,15000,1000,0.9,random,exponential,1.0
LSMR,3.2635651701129973,167,19.06088231400692,0.8246706887464617,Sparsity,1,2,5000,15000,1000,0.9,random,exponential,1.0
LSMR,3.2267384943552315,167,19.306265067192626,0.8244756437648311,Sparsity,1,3,5000,15000,1000,0.9,random,exponential,1.0
LSMR,3.2535360329784453,168,19.19236470754955,0.826299865964768,Sparsity,1,4,5000,15000,1000,0.9,random,exponential,1.0
LSMR,3.270144850946963,168,19.766679396661946,0.8206753780395041,Sparsity,1,5,5000,15000,1000,0.9,random,exponential,1.0
LSMR,3.2591399368830025,168,19.52219295308746,0.8263647533911304,Sparsity,1,6,5000,15000,1000,0.9,random,exponential,1.0
LSMR,3.2505934201180935,168,19.586431453642373,0.8200670693816118,Sparsity,1,7,5000,15000,1000,0.9,random,exponential,1.0
LSMR,3.2378492760472,167,18.985034098980705,0.8223923796262966,Sparsity,1,8,5000,15000,1000,0.9,random,exponential,1.0
LSMR,3.221634841989726,166,19.497578623267156,0.820814001274944,Sparsity,1,9,5000,15000,1000,0.9,random,exponential,1.0
LSMR,3.2304726731963456,167,19.237713152676964,0.8218371753648286,Sparsity,1,10,5000,15000,1000,0.9,random,exponential,1.0
LSMR,1.327208761125803,132,22.04245994045635,0.8287068515760395,Sparsity,2,1,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.3292413149029016,132,21.591098254804944,0.8311102237789539,Sparsity,2,2,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.3300306531600654,132,21.99093102059069,0.8302255617271762,Sparsity,2,3,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.3303714175708592,132,21.642616643766612,0.8344704598857134,Sparsity,2,4,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.3209097785875201,131,21.784780466166193,0.832758189648651,Sparsity,2,5,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.329570037778467,132,22.31538154613912,0.8309345042037577,Sparsity,2,6,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.3331820094026625,132,22.153713993431456,0.8291634505722012,Sparsity,2,7,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.3310931860469282,132,21.751540399251546,0.8286509245461331,Sparsity,2,8,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.3302866257727146,132,22.65084818965408,0.827864184670713,Sparsity,2,9,5000,15000,1000,0.95,random,exponential,1.0
LSMR,1.3247777139768004,132,21.378570320804783,0.8315057501434588,Sparsity,2,10,5000,15000,1000,0.95,random,exponential,1.0
LSMR,0.3740666233934462,94,24.168250506341355,0.8466044179742568,Sparsity,3,1,5000,15000,1000,0.98,random,exponential,1.0
LSMR,0.3721569227054715,93,24.16080484896717,0.8454574428199305,Sparsity,3,2,5000,15000,1000,0.98,random,exponential,1.0
LSMR,0.3706868248991668,93,24.572489115441925,0.8457887549585484,Sparsity,3,3,5000,15000,1000,0.98,random,exponential,1.0
LSMR,0.3742841649800539,94,24.615796327443576,0.8489744492081728,Sparsity,3,4,5000,15000,1000,0.98,random,exponential,1.0
LSMR,0.37062111496925354,93,24.3332132790193,0.8485314942994165,Sparsity,3,5,5000,15000,1000,0.98,random,exponential,1.0
LSMR,0.3716537971049547,93,24.74556347332547,0.8495390706693929,Sparsity,3,6,5000,15000,1000,0.98,random,exponential,1.0
LSMR,0.3735624090768397,93,24.098869832953643,0.8437419689607845,Sparsity,3,7,5000,15000,1000,0.98,random,exponential,1.0
LSMR,0.3760832669213414,94,24.52820064589678,0.8451591726388458,Sparsity,3,8,5000,15000,1000,0.98,random,exponential,1.0
LSMR,0.37630785908550024,94,24.941165816792978,0.8445513575236957,Sparsity,3,9,5000,15000,1000,0.98,random,exponential,1.0
LSMR,0.3731468040496111,93,24.339537229989354,0.8434041870190717,Sparsity,3,10,5000,15000,1000,0.98,random,exponential,1.0
LSMR,0.14384386781603098,72,25.31189654378303,0.8608340628925577,Sparsity,4,1,5000,15000,1000,0.99,random,exponential,1.0
LSMR,0.14075043331831694,71,24.86105918179162,0.8620168369240885,Sparsity,4,2,5000,15000,1000,0.99,random,exponential,1.0
LSMR,0.14579400001093745,73,25.612711668479708,0.861533567916955,Sparsity,4,3,5000,15000,1000,0.99,random,exponential,1.0
LSMR,0.13867488037794828,70,25.62440088923967,0.8616988305540427,Sparsity,4,4,5000,15000,1000,0.99,random,exponential,1.0
LSMR,0.14430040307343006,73,25.483758032289476,0.8632212949091318,Sparsity,4,5,5000,15000,1000,0.99,random,exponential,1.0
LSMR,0.14463038695976138,73,25.57178804068756,0.8644109561812956,Sparsity,4,6,5000,15000,1000,0.99,random,exponential,1.0
LSMR,0.14299910934641957,71,25.796699857858222,0.85701644953204,Sparsity,4,7,5000,15000,1000,0.99,random,exponential,1.0
LSMR,0.1442591017112136,73,25.794822002781704,0.8584124865971411,Sparsity,4,8,5000,15000,1000,0.99,random,exponential,1.0
LSMR,0.14194553717970848,72,25.87450083430134,0.862371947146052,Sparsity,4,9,5000,15000,1000,0.99,random,exponential,1.0
LSMR,0.13998112501576543,71,25.32515645519327,0.8607647665388927,Sparsity,4,10,5000,15000,1000,0.99,random,exponential,1.0
LSMR,0.014315302018076181,34,24.630179173010678,0.9276152751243464,Sparsity,5,1,5000,15000,1000,0.999,random,exponential,1.0
LSMR,0.014458953868597746,34,24.2984620747164,0.9283063253477537,Sparsity,5,2,5000,15000,1000,0.999,random,exponential,1.0
LSMR,0.014174770098179579,34,24.703542201083852,0.9275445218577768,Sparsity,5,3,5000,15000,1000,0.999,random,exponential,1.0
LSMR,0.014152651187032461,34,24.67681296857737,0.9292532038507115,Sparsity,5,4,5000,15000,1000,0.999,random,exponential,1.0
LSMR,0.013788505923002958,33,25.223723544462626,0.9278031348771717,Sparsity,5,5,5000,15000,1000,0.999,random,exponential,1.0
LSMR,0.014180891215801239,34,24.574323190214816,0.928065894365844,Sparsity,5,6,5000,15000,1000,0.999,random,exponential,1.0
LSMR,0.013712355867028236,33,24.778482455356063,0.9272187811734802,Sparsity,5,7,5000,15000,1000,0.999,random,exponential,1.0
LSMR,0.013725575990974903,33,25.018563900987388,0.9272758556787213,Sparsity,5,8,5000,15000,1000,0.999,random,exponential,1.0
LSMR,0.013845817185938358,33,24.832793031484965,0.9279963104387255,Sparsity,5,9,5000,15000,1000,0.999,random,exponential,1.0
LSMR,0.014969440177083015,34,24.32670124779433,0.9286034403643887,Sparsity,5,10,5000,15000,1000,0.999,random,exponential,1.0
