Solver,Time (s),Iterations,Residual,Relative Error,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
LSQR,3.574205451179296,178,18.886545700266804,0.8276223244345143,Sparsity,1,1,5000,15000,1000,0.9,random,exponential,1.0
LSQR,3.511911707930267,178,19.060882299108954,0.8246706872265575,Sparsity,1,2,5000,15000,1000,0.9,random,exponential,1.0
LSQR,3.8012636210769415,178,19.30626504986901,0.8244756424841946,Sparsity,1,3,5000,15000,1000,0.9,random,exponential,1.0
LSQR,3.845322923734784,179,19.192364686213356,0.8262998658233551,Sparsity,1,4,5000,15000,1000,0.9,random,exponential,1.0
LSQR,3.674895605072379,179,19.76667937910548,0.8206753768818322,Sparsity,1,5,5000,15000,1000,0.9,random,exponential,1.0
LSQR,3.747145820874721,179,19.522192936367638,0.8263647536607199,Sparsity,1,6,5000,15000,1000,0.9,random,exponential,1.0
LSQR,3.5715048732236028,179,19.58643144174639,0.8200670694359494,Sparsity,1,7,5000,15000,1000,0.9,random,exponential,1.0
LSQR,3.4689296795986593,177,18.985034082661297,0.8223923780504975,Sparsity,1,8,5000,15000,1000,0.9,random,exponential,1.0
LSQR,3.528057156596333,177,19.49757860471793,0.8208140020225723,Sparsity,1,9,5000,15000,1000,0.9,random,exponential,1.0
LSQR,3.4871136490255594,178,19.23771313538188,0.8218371741006959,Sparsity,1,10,5000,15000,1000,0.9,random,exponential,1.0
LSQR,1.406939391978085,139,22.04245993412241,0.8287068502865765,Sparsity,2,1,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.4107746542431414,139,21.591098242139406,0.8311102223363822,Sparsity,2,2,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.3965765787288547,139,21.990931012388224,0.8302255600674481,Sparsity,2,3,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.4264727556146681,139,21.64261663305538,0.8344704582769633,Sparsity,2,4,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.3927576369605958,138,21.784780460953694,0.8327581871882913,Sparsity,2,5,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.4134733229875565,139,22.315381538135604,0.8309345016879991,Sparsity,2,6,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.407158164307475,139,22.153713986226354,0.8291634495871486,Sparsity,2,7,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.4404044691473246,140,21.75154039016758,0.8286509220668055,Sparsity,2,8,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.436863669194281,139,22.65084818171287,0.827864182684606,Sparsity,2,9,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.4266921081580222,139,21.37857031067932,0.8315057481131084,Sparsity,2,10,5000,15000,1000,0.95,random,exponential,1.0
LSQR,0.3931572209112346,98,24.168250504294956,0.846604414491332,Sparsity,3,1,5000,15000,1000,0.98,random,exponential,1.0
LSQR,0.45114131504669785,97,24.160804846489135,0.8454574389073009,Sparsity,3,2,5000,15000,1000,0.98,random,exponential,1.0
LSQR,0.39000725699588656,97,24.57248911869984,0.8457887514653464,Sparsity,3,3,5000,15000,1000,0.98,random,exponential,1.0
LSQR,0.3968559121713042,98,24.61579632523806,0.8489744455616212,Sparsity,3,4,5000,15000,1000,0.98,random,exponential,1.0
