Solver,Time (s),Iterations,Residual,Relative Error,Experiment,Experiment Number,Run,m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda
LSQR,0.5403665148187429,52,6.473760050191272,0.8113375187931567,Spectrum,1,1,5000,15000,1000,0.95,random,linear,1.0
LSQR,0.5395700649823993,52,6.275314036140522,0.8161129928343933,Spectrum,1,2,5000,15000,1000,0.95,random,linear,1.0
LSQR,0.5403822059743106,52,6.312023711659503,0.8146917541948848,Spectrum,1,3,5000,15000,1000,0.95,random,linear,1.0
LSQR,0.5372220668941736,52,6.3749280298357025,0.8178487121849157,Spectrum,1,4,5000,15000,1000,0.95,random,linear,1.0
LSQR,0.5401475818362087,52,6.420773027407866,0.8171281334267817,Spectrum,1,5,5000,15000,1000,0.95,random,linear,1.0
LSQR,0.5493383549619466,53,6.393458962475677,0.8137842929163901,Spectrum,1,6,5000,15000,1000,0.95,random,linear,1.0
LSQR,0.5568165560252964,52,6.3900529792176775,0.8153368968242732,Spectrum,1,7,5000,15000,1000,0.95,random,linear,1.0
LSQR,0.5563959600403905,52,6.338835868320111,0.8136754091542497,Spectrum,1,8,5000,15000,1000,0.95,random,linear,1.0
LSQR,0.5554064379539341,52,6.4073359194263295,0.8181867652568371,Spectrum,1,9,5000,15000,1000,0.95,random,linear,1.0
LSQR,0.5539414810482413,52,6.246956933983647,0.8173597526182335,Spectrum,1,10,5000,15000,1000,0.95,random,linear,1.0
LSQR,1.4449105749372393,139,22.04245993412241,0.8287068502865765,Spectrum,2,1,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.4226579940877855,139,21.591098242139406,0.8311102223363822,Spectrum,2,2,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.449393349001184,139,21.990931012388224,0.8302255600674481,Spectrum,2,3,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.4218974041286856,139,21.64261663305538,0.8344704582769633,Spectrum,2,4,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.4219596050679684,138,21.784780460953694,0.8327581871882913,Spectrum,2,5,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.4297037990763783,139,22.315381538135604,0.8309345016879991,Spectrum,2,6,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.421767792897299,139,22.153713986226354,0.8291634495871486,Spectrum,2,7,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.4306933518964797,140,21.75154039016758,0.8286509220668055,Spectrum,2,8,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.4894367179367691,139,22.65084818171287,0.827864182684606,Spectrum,2,9,5000,15000,1000,0.95,random,exponential,1.0
LSQR,1.4339452709537,139,21.37857031067932,0.8315057481131084,Spectrum,2,10,5000,15000,1000,0.95,random,exponential,1.0
LSQR,0.8169761011376977,78,10.124773185082853,0.8127586796088024,Spectrum,3,1,5000,15000,1000,0.95,random,polynomial,1.0
LSQR,0.8151267890352756,78,9.821303004147872,0.8162204733135802,Spectrum,3,2,5000,15000,1000,0.95,random,polynomial,1.0
LSQR,0.8312271349132061,78,9.939119492382048,0.8149884534285122,Spectrum,3,3,5000,15000,1000,0.95,random,polynomial,1.0
LSQR,0.822315915953368,79,10.023815048786567,0.8181548232563388,Spectrum,3,4,5000,15000,1000,0.95,random,polynomial,1.0
LSQR,0.8071065009571612,78,9.96627652594895,0.8181351268475943,Spectrum,3,5,5000,15000,1000,0.95,random,polynomial,1.0
LSQR,0.803515835897997,78,9.986451837054606,0.814385863186124,Spectrum,3,6,5000,15000,1000,0.95,random,polynomial,1.0
LSQR,0.8068540480453521,78,10.03377556862091,0.8154116148730178,Spectrum,3,7,5000,15000,1000,0.95,random,polynomial,1.0
LSQR,0.8046345508191735,78,9.918476372160038,0.8138458979686733,Spectrum,3,8,5000,15000,1000,0.95,random,polynomial,1.0
LSQR,0.8145818710327148,79,10.20520290287264,0.8154580349886038,Spectrum,3,9,5000,15000,1000,0.95,random,polynomial,1.0
LSQR,0.8037869699764997,78,9.828445905751297,0.8164387726659713,Spectrum,3,10,5000,15000,1000,0.95,random,polynomial,1.0
LSQR,1.2684680009260774,121,10.245327974549305,0.8140511268927825,Spectrum,4,1,5000,15000,1000,0.95,random,clustered,1.0
LSQR,1.2557321358472109,121,9.95987105622674,0.8155946518948348,Spectrum,4,2,5000,15000,1000,0.95,random,clustered,1.0
LSQR,1.251207010820508,120,10.18960585833829,0.8151485205275728,Spectrum,4,3,5000,15000,1000,0.95,random,clustered,1.0
LSQR,1.261749180033803,122,10.029083724962108,0.8190089414385332,Spectrum,4,4,5000,15000,1000,0.95,random,clustered,1.0
LSQR,1.2301265629939735,119,9.833131513498355,0.8193245675434088,Spectrum,4,5,5000,15000,1000,0.95,random,clustered,1.0
LSQR,1.2289073390420526,120,10.142678764627524,0.8163525779929145,Spectrum,4,6,5000,15000,1000,0.95,random,clustered,1.0
LSQR,1.2349871429614723,121,10.113990335904527,0.8150491195068229,Spectrum,4,7,5000,15000,1000,0.95,random,clustered,1.0
LSQR,1.2385998680256307,120,9.963197142171136,0.8149631564818792,Spectrum,4,8,5000,15000,1000,0.95,random,clustered,1.0
LSQR,1.269713617162779,121,10.286538624040798,0.8131612768774042,Spectrum,4,9,5000,15000,1000,0.95,random,clustered,1.0
LSQR,1.2594797918573022,121,9.93552926255678,0.8158084757897919,Spectrum,4,10,5000,15000,1000,0.95,random,clustered,1.0
