Condition Parameter,Solver,Mean_Time,Std_Time,Mean_Iterations,Mean_Residual,Mean_Relative_Error
10,CG,0.6160195851698518,0.00906191254216344,58.1,8.453286092727591,0.8154977271188623
10,LSMR,1.1139640467707068,0.4236152118573962,58.4,8.453286092885,0.8154977271206978
10,LSQR,0.9812399696558713,0.20833658013695125,59.8,8.45328609271062,0.815497727118659
100,CG,1.1829519573133438,0.010584038562773752,112.0,16.520659460207135,0.8172830428711222
100,LSMR,1.8582217660732567,0.6490290248101338,106.1,16.520659462002726,0.8172830428877542
100,LSQR,1.8390582920052112,0.3133564035685513,110.8,16.52065945976891,0.8172830428717657
1000,CG,1.5087245111819356,0.01273964507953579,143.2,21.930194069776363,0.8305390081040553
1000,LSMR,1.352410089271143,0.006324024850140082,131.9,21.930194077506577,0.8305390100752797
1000,LSQR,2.0465011125430466,0.5069724074717961,139.0,21.930194068958084,0.8305390082295329
10000,CG,1.5491946179885416,0.01642554030750886,147.0,22.907632256918358,0.8528614604571982
10000,LSMR,1.5383882853668183,0.4135300115285233,134.5,22.907632264305338,0.8528614788245801
10000,LSQR,1.8110829627141356,0.4640661165104718,142.1,22.907632256008945,0.8528614620226147
20000,CG,1.556791294598952,0.018610537712586347,146.4,22.774065759912165,0.859593548004522
20000,LSMR,1.3999809911008925,0.029951091797479283,134.0,22.774065767286324,0.8595935727010083
20000,LSQR,1.6896622287575156,0.22079838619234704,141.7,22.774065758982694,0.859593550078246
