Lambda,Solver,Mean_Time,Std_Time,Mean_Iterations,Mean_Residual,Mean_Relative_Error
0.0,CG,3.317690250603482,0.2858254317513733,321.0,2.287546401023912e-05,0.8148500427911614
0.0,LSMR,2.853009003587067,0.020300953263592367,283.2,0.00017274576676115002,0.8148500438662909
0.0,LSQR,2.80073826238513,0.023444788008415176,276.3,0.00016971548341667,0.8148500434835549
1e-08,CG,3.2318437366280706,0.031052620970761526,320.9,2.301412124288581e-05,0.814850042777666
1e-08,LSMR,4.76279308530502,0.051052484346232385,472.9,4.4867952030043467e-07,0.8148500426028557
1e-08,LSQR,5.044028839282691,0.034045728395710635,499.6,4.474348364539539e-07,0.8148500426030282
1e-06,CG,3.2414276238530872,0.0343277016696562,320.9,5.0296415501090986e-05,0.8148500409510765
1e-06,LSMR,4.247391807660461,0.023974874702489834,423.3,4.473839099955154e-05,0.8148500407843671
1e-06,LSQR,4.5484344941098245,0.028606031880588814,449.8,4.4737314763569134e-05,0.814850040783907
0.0001,CG,3.2420964205171914,0.023307684899907623,320.9,0.00447296474224993,0.8148498606418955
0.0001,LSMR,3.7502693846356125,0.022640230369004203,373.5,0.00447290644238379,0.8148498604948935
0.0001,LSQR,4.02975916005671,0.025499787909941587,400.2,0.00447290539882632,0.8148498604741979
0.01,CG,3.1757305997423826,0.028956795657499382,313.6,0.43933735282523684,0.814846603530681
0.01,LSMR,3.19084711316973,0.02055951281411581,317.0,0.4393373564436504,0.8148466036067854
0.01,LSQR,3.4482410098891707,0.023078689064374037,342.7,0.43933735177395494,0.8148466033892167
0.1,CG,2.707963058585301,0.020416098772568825,267.6,3.8391135031981145,0.8156665435306023
0.1,LSMR,2.5466188699472694,0.013951362619349221,253.0,3.839113518301289,0.8156665439274301
0.1,LSQR,2.7575876713730394,0.01813940921843894,273.5,3.839113502435713,0.8156665435148588
1.0,CG,1.4540114560164512,0.010884327422235348,143.2,21.930194069776363,0.8305390081040553
1.0,LSMR,1.3348513138480484,0.006448549760406166,131.9,21.930194077506577,0.8305390100752797
1.0,LSQR,1.4078125981613994,0.0062457795450625376,139.0,21.930194068958084,0.8305390082295329
