Spectrum,Solver,Mean_Time,Std_Time,Mean_Iterations,Mean_Residual,Mean_Relative_Error
clustered,CG,1.1823124077171088,0.006216829420603617,117.4,10.069895425799201,0.8158462415025911
clustered,LSMR,1.176943100336939,0.012360740192677971,115.2,10.069895429359738,0.8158462415353032
clustered,LSQR,1.2498970649670809,0.015588508857004241,120.6,10.069895425687557,0.8158462414945944
exponential,CG,1.4447676067240536,0.008489371694806949,143.2,21.930194069776363,0.8305390081040553
exponential,LSMR,1.3610173614928498,0.009088562171008261,131.9,21.930194077506577,0.8305390100752797
exponential,LSQR,1.436636585998349,0.020973040531576205,139.0,21.930194068958084,0.8305390082295329
linear,CG,0.5084656534250825,0.004357514585739665,50.0,6.363343951893991,0.81554622282175
linear,LSMR,0.5324747178237885,0.005168998098962549,51.1,6.363343951970348,0.8155462228215274
linear,LSQR,0.5469587224535644,0.008127579449423002,52.1,6.363343951865831,0.8155462228204116
polynomial,CG,0.7745974971912801,0.005011458253904571,76.8,9.984763984299793,0.8155797740142854
polynomial,LSMR,0.7836248557781801,0.006358579468209923,75.8,9.984763984890046,0.8155797740203846
polynomial,LSQR,0.8126125717768445,0.009175236878908765,78.2,9.984763984280779,0.8155797740137218
