m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda,Solver,Mean_Time,Std_Time,Mean_Iterations,Mean_Residual,Mean_Relative_Error
5000,15000,10,0.95,random,exponential,1.0,CG,0.6160195851698518,0.00906191254216344,58.1,8.453286092727591,0.8154977271188623
5000,15000,10,0.95,random,exponential,1.0,LSMR,1.1139640467707068,0.4236152118573962,58.4,8.453286092885,0.8154977271206978
5000,15000,10,0.95,random,exponential,1.0,LSQR,0.9812399696558713,0.20833658013695125,59.8,8.45328609271062,0.815497727118659
5000,15000,100,0.95,random,exponential,1.0,CG,1.1829519573133438,0.010584038562773752,112.0,16.520659460207135,0.8172830428711222
5000,15000,100,0.95,random,exponential,1.0,LSMR,1.8582217660732567,0.6490290248101338,106.1,16.520659462002726,0.8172830428877542
5000,15000,100,0.95,random,exponential,1.0,LSQR,1.8390582920052112,0.3133564035685513,110.8,16.52065945976891,0.8172830428717657
5000,15000,1000,0.9,random,exponential,1.0,CG,3.506024525081739,0.023488317417647973,181.2,19.30416873129751,0.8235219273871899
5000,15000,1000,0.9,random,exponential,1.0,LSMR,3.2459947101771833,0.016378613762409955,167.3,19.30416874934479,0.8235219280030319
5000,15000,1000,0.9,random,exponential,1.0,LSQR,3.621035048831254,0.13657000711380188,178.2,19.304168731543875,0.8235219274120888
5000,15000,1000,0.95,banded,exponential,1.0,CG,2.2122598520014436,0.011119957207128968,243.5,19.273124467401367,0.9044105300666849
5000,15000,1000,0.95,banded,exponential,1.0,LSMR,1.9989780590403825,0.010965280723275198,218.9,19.273124496057854,0.9044106273643943
5000,15000,1000,0.95,banded,exponential,1.0,LSQR,2.107608780497685,0.027218278040641974,236.3,19.273124466848227,0.9044105362929085
5000,15000,1000,0.95,block,exponential,1.0,CG,1.626237856829539,0.0802127102040592,177.9,22.344100879999303,0.8342989138283331
5000,15000,1000,0.95,block,exponential,1.0,LSMR,1.466819137474522,0.06521542853602538,160.2,22.344100894145754,0.8342989202343019
